

time(ps), Y
0.240385, 0.00207554
0.480769, 0.00208098
0.721154, 0.00208589
0.961538, 0.00208975
1.20192, 0.00209285
1.44231, 0.00209683
1.68269, 0.0021007
1.92308, 0.00210306
2.16346, 0.00210536
2.40385, 0.00210781
2.64423, 0.00211164
2.88462, 0.00211651
3.125, 0.00212105
3.36538, 0.00212432
3.60577, 0.00212677
3.84615, 0.00213048
4.08654, 0.00213536
4.32692, 0.00213855
4.56731, 0.00214026
4.80769, 0.0021427
5.04808, 0.00214483
5.28846, 0.00214613
5.52885, 0.00214771
5.76923, 0.00215043
6.00962, 0.0021515
6.25, 0.00215266
6.49038, 0.00215449
6.73077, 0.00215592
6.97115, 0.00215933
7.21154, 0.00216265
7.45192, 0.00216546
7.69231, 0.00216788
7.93269, 0.00216927
8.17308, 0.00216983
8.41346, 0.00217098
8.65385, 0.00217259
8.89423, 0.00217365
9.13462, 0.00217459
9.375, 0.00217564
9.61538, 0.0021762
9.85577, 0.00217677
10.0962, 0.00217818
10.3365, 0.00218022
10.5769, 0.00218156
10.8173, 0.00218217
11.0577, 0.00217876
11.2981, 0.0021596
11.5385, 0.00212021
11.7788, 0.00206519
12.0192, 0.00200224
12.2596, 0.0019377
12.5, 0.00187398
12.7404, 0.00181212
12.9808, 0.00175226
13.2212, 0.00169436
13.4615, 0.00163838
13.7019, 0.00158425
13.9423, 0.00153191
14.1827, 0.0014813
14.4231, 0.00143236
14.6635, 0.00138503
14.9038, 0.00133927
15.1442, 0.00129502
15.3846, 0.00125224
15.625, 0.00121087
15.8654, 0.00117086
16.1058, 0.00113218
16.3462, 0.00109477
16.5865, 0.0010586
16.8269, 0.00102362
17.0673, 0.000989804
17.3077, 0.000957102
17.5481, 0.000925481
17.7885, 0.000894904
18.0288, 0.000865337
18.2692, 0.000836747
18.5096, 0.000809101
18.75, 0.000782369
18.9904, 0.000756521
19.2308, 0.000731526
19.4712, 0.000707357
19.7115, 0.000683987
19.9519, 0.000661388
20.1923, 0.000639537
20.4327, 0.000618407
20.6731, 0.000597975
20.9135, 0.000578219
21.1538, 0.000559115
21.3942, 0.000540642
21.6346, 0.00052278
21.875, 0.000505508
22.1154, 0.000488806
22.3558, 0.000472657
22.5962, 0.00045704
22.8365, 0.00044194
23.0769, 0.000427339
23.3173, 0.00041322
23.5577, 0.000399568
23.7981, 0.000386366
24.0385, 0.000373601
24.2788, 0.000361258
24.5192, 0.000349322
24.7596, 0.000337781
25, 0.000326621
25.2404, 0.00031583
25.4808, 0.000305395
25.7212, 0.000295305
25.9615, 0.000285548
26.2019, 0.000276114
26.4423, 0.000272154
26.6827, 0.000284212
26.9231, 0.000317232
27.1635, 0.000366232
27.4038, 0.000422306
27.6442, 0.000479529
27.8846, 0.000536585
28.125, 0.000593109
28.3654, 0.000647152
28.6058, 0.000698921
28.8462, 0.000749817
29.0865, 0.000798993
29.3269, 0.000845468
29.5673, 0.000890245
29.8077, 0.000933499
30.0481, 0.000975296
30.2885, 0.00101573
30.5288, 0.00105623
30.7692, 0.00109499
31.0096, 0.00113081
31.25, 0.00116575
31.4904, 0.00119871
31.7308, 0.00123018
31.9712, 0.00126205
32.2115, 0.00129412
32.4519, 0.00132493
32.6923, 0.00135437
32.9327, 0.00138401
33.1731, 0.00141188
33.4135, 0.00143873
33.6538, 0.00146535
33.8942, 0.00148923
34.1346, 0.00151247
34.375, 0.00153634
34.6154, 0.00155916
34.8558, 0.00158043
35.0962, 0.0016011
35.3365, 0.00162127
35.5769, 0.00164055
35.8173, 0.00165992
36.0577, 0.00167967
36.2981, 0.00169719
36.5385, 0.00171358
36.7788, 0.00173007
37.0192, 0.00174688
37.2596, 0.00176325
37.5, 0.00177845
37.7404, 0.00179323
37.9808, 0.00180654
38.2212, 0.00181946
38.4615, 0.00183238
38.7019, 0.00184555
38.9423, 0.00185913
39.1827, 0.00187139
39.4231, 0.00188321
39.6635, 0.0018952
39.9038, 0.00190678
40.1442, 0.00191676
40.3846, 0.00192644
40.625, 0.00193728
40.8654, 0.00194598
41.1058, 0.00195396
41.3462, 0.00196205
41.5865, 0.00196939
41.8269, 0.00197181
42.0673, 0.00195872
42.3077, 0.00192558
42.5481, 0.00187647
42.7885, 0.00181957
43.0288, 0.00176085
43.2692, 0.00170298
43.5096, 0.00164673
43.75, 0.00159234
43.9904, 0.00153973
44.2308, 0.00148886
44.4712, 0.00143967
44.7115, 0.0013921
44.9519, 0.00134611
45.1923, 0.00130164
45.4327, 0.00125863
45.6731, 0.00121705
45.9135, 0.00117684
46.1538, 0.00113795
46.3942, 0.00110036
46.6346, 0.001064
46.875, 0.00102885
47.1154, 0.000994857
47.3558, 0.000961988
47.5962, 0.000930205
47.8365, 0.000899472
48.0769, 0.000869754
48.3173, 0.000841018
48.5577, 0.000813231
48.7981, 0.000786363
49.0385, 0.000760382
49.2788, 0.00073526
49.5192, 0.000710968
49.7596, 0.000687478
50, 0.000664764
50.2404, 0.000642801
50.4808, 0.000621563
50.7212, 0.000601028
50.9615, 0.00058117
51.2019, 0.000561969
51.4423, 0.000543402
51.6827, 0.000525448
51.9231, 0.000508088
52.1635, 0.000491301
52.4038, 0.000475069
52.6442, 0.000459373
52.8846, 0.000444196
53.125, 0.00042952
53.3654, 0.000415329
53.6058, 0.000401607
53.8462, 0.000388339
