power	10	15	20	25	30	Limit
1	0.0E+00	5.0E-289	3.1E-53	5.1E-19	5.8E-10	1.00E-12
0.9	0.0E+00	1.2E-288	3.2E-53	5.1E-19	5.8E-10	1.00E-12
0.8	0.0E+00	3.5E-288	3.4E-53	5.2E-19	5.9E-10	1.00E-12
0.7	0.0E+00	1.4E-287	3.7E-53	5.3E-19	5.9E-10	1.00E-12
0.6	0.0E+00	8.2E-287	4.1E-53	5.3E-19	5.9E-10	1.00E-12
0.5	0.0E+00	9.5E-286	4.8E-53	5.5E-19	6.0E-10	1.00E-12
0.4	0.0E+00	3.4E-284	5.8E-53	5.7E-19	6.0E-10	1.00E-12
0.3	0.0E+00	1.1E-281	8.0E-53	5.9E-19	6.1E-10	1.00E-12
0.2	0.0E+00	6.5E-277	1.5E-52	6.5E-19	6.3E-10	1.00E-12
0.1	0.0E+00	7.1E-279	7.3E-52	8.2E-19	6.8E-10	1.00E-12
0.09	0.0E+00	1.0E-275	1.0E-51	8.7E-19	6.9E-10	1.00E-12
0.08	0.0E+00	5.5E-272	1.5E-51	9.2E-19	7.0E-10	1.00E-12
0.07	0.0E+00	2.5E-267	2.6E-51	9.9E-19	7.2E-10	1.00E-12
0.06	0.0E+00	2.1E-261	5.1E-51	1.1E-18	7.4E-10	1.00E-12
0.05	0.0E+00	1.5E-253	1.2E-50	1.2E-18	7.7E-10	1.00E-12
0.04	0.0E+00	1.2E-242	4.3E-50	1.5E-18	8.1E-10	1.00E-12
0.03	0.0E+00	1.6E-226	3.1E-49	2.0E-18	8.8E-10	1.00E-12
0.02	0.0E+00	3.3E-200	1.2E-47	3.6E-18	1.0E-09	1.00E-12
0.01	0.0E+00	3.0E-149	1.4E-43	1.6E-17	1.6E-09	1.00E-12
0.009	1.6E-306	2.2E-141	8.4E-43	2.2E-17	1.7E-09	1.00E-12
0.008	1.0E-275	1.1E-132	7.3E-42	3.2E-17	1.9E-09	1.00E-12
0.007	2.0E-244	4.9E-123	1.0E-40	5.1E-17	2.2E-09	1.00E-12
0.006	1.3E-212	3.1E-112	2.6E-39	9.3E-17	2.6E-09	1.00E-12
0.005	3.1E-180	4.3E-100	1.6E-37	2.1E-16	3.2E-09	1.00E-12
0.004	3.2E-147	2.7E-86	3.5E-35	6.4E-16	4.5E-09	1.00E-12
