power	10	15	20	25	30	Limit
0.003	1.8E-113	1.8E-70	6.3E-32	3.3E-15	7.6E-09	1.00E-12
0.002	7.7E-79	3.2E-52	3.9E-27	5.4E-14	1.9E-08	1.00E-12
0.001	7.9E-36	7.8E-30	2.8E-19	1.6E-11	1.7E-07	1.00E-12
0.0009	8.9E-33	1.2E-27	3.4E-18	4.2E-11	2.5E-07	1.00E-12
0.0008	1.1E-29	2.2E-25	5.0E-17	1.2E-10	3.9E-07	1.00E-12
0.0007	1.4E-26	4.8E-23	9.0E-16	3.9E-10	6.6E-07	1.00E-12
0.0006	1.9E-23	1.3E-20	2.0E-14	1.5E-09	1.2E-06	1.00E-12
0.0005	2.8E-20	4.5E-18	6.1E-13	7.0E-09	2.6E-06	1.00E-12
0.0004	4.7E-17	2.0E-15	2.3E-11	4.4E-08	6.7E-06	1.00E-12
0.0003	9.3E-14	1.3E-12	1.1E-09	3.9E-07	2.2E-05	1.00E-12
0.0002	2.2E-10	1.2E-09	1.4E-07	6.0E-06	1.0E-04	1.00E-12
0.0001	4.0E-06	2.3E-06	2.2E-05	1.1E-04	9.0E-04	1.00E-12
0.00009	8.6E-06	5.1E-06	4.0E-05	1.7E-04	1.1E-03	1.00E-12
0.00008	1.9E-05	1.2E-05	7.3E-05	2.7E-04	1.2E-03	1.00E-12
0.00007	4.1E-05	2.8E-05	1.4E-04	4.4E-04	1.7E-03	1.00E-12
0.00006	9.2E-05	6.6E-05	2.6E-04	7.4E-04	2.4E-03	1.00E-12
0.00005	2.1E-04	1.6E-04	5.3E-04	1.3E-03	3.7E-03	1.00E-12
0.00004	5.0E-04	4.2E-04	1.1E-03	2.3E-03	5.8E-03	1.00E-12
0.00003	1.3E-03	1.1E-03	2.4E-03	4.4E-03	1.2E-02	1.00E-12
0.00002	3.4E-03	3.3E-03	5.7E-03	1.2E-02	2.1E-02	1.00E-12
0.00001	4.2E-03	1.4E-02	1.6E-02	1.3E-02	9.5E-03	1.00E-12
0.000009	9.2E-03	1.4E-02	1.6E-02	6.8E-03	1.6E-02	1.00E-12
0.000008	9.2E-03	1.4E-02	1.4E-02	3.4E-03	1.5E-02	1.00E-12
0.000007	1.1E-02	1.4E-02	2.1E-02	7.8E-03	1.4E-02	1.00E-12
0.000006	1.4E-02	1.4E-02	2.8E-02	7.8E-03	1.3E-02	1.00E-12
0.000005	1.3E-02	1.4E-02	2.8E-02	2.3E-02	1.3E-02	1.00E-12
0.000004	1.3E-02	1.5E-02	2.8E-02	2.3E-02	6.2E-02	1.00E-12
0.000003	1.3E-02	2.3E-02	1.1E-02	2.3E-02	3.3E-02	1.00E-12
0.000002	1.3E-02	1.1E-02	2.8E-02	2.2E-02	1.9E-02	1.00E-12
0.000001	1.8E-02	1.1E-02	2.9E-02	2.2E-02	2.6E-02	1.00E-12
0.0000009	2.1E-02	1.1E-02	2.9E-02	2.2E-02	2.6E-02	1.00E-12
0.0000008	2.6E-02	1.1E-02	2.9E-02	2.2E-02	2.6E-02	1.00E-12
0.0000007	3.3E-02	1.1E-02	2.9E-02	2.2E-02	2.6E-02	1.00E-12
0.0000006	4.4E-02	1.1E-02	2.9E-02	2.2E-02	2.6E-02	1.00E-12
0.0000005	5.4E-02	1.0E-02	2.9E-02	2.2E-02	1.8E-02	1.00E-12
0.0000004	7.3E-03	1.0E-02	2.9E-02	2.2E-02	1.8E-02	1.00E-12
0.0000003	7.0E-03	8.0E-03	2.9E-02	2.3E-02	1.7E-02	1.00E-12
0.0000002	6.8E-03	7.3E-03	1.4E-02	2.3E-02	1.7E-02	1.00E-12
0.0000001	1.4E-02	8.5E-02	1.4E-02	2.3E-02	1.8E-02	1.00E-12
