

time(ps), Y
0.260417, 0.00199876
0.520833, 0.00200378
0.78125, 0.00200942
1.04167, 0.00201493
1.30208, 0.00201921
1.5625, 0.00202338
1.82292, 0.00202763
2.08333, 0.00203289
2.34375, 0.00203894
2.60417, 0.00204469
2.86458, 0.0020494
3.125, 0.00205344
3.38542, 0.00205841
3.64583, 0.00206427
3.90625, 0.00206876
4.16667, 0.00207206
4.42708, 0.00207588
4.6875, 0.00207942
4.94792, 0.00208228
5.20833, 0.00208531
5.46875, 0.00208918
5.72917, 0.00209174
5.98958, 0.00209432
6.25, 0.00209739
6.51042, 0.00210011
6.77083, 0.00210434
7.03125, 0.00210849
7.29167, 0.0021122
7.55208, 0.00211558
7.8125, 0.00211812
8.07292, 0.00211998
8.33333, 0.00212227
8.59375, 0.00212489
8.85417, 0.00212705
9.11458, 0.00212907
9.375, 0.00213116
9.63542, 0.00213284
9.89583, 0.00213449
10.1563, 0.00213677
10.4167, 0.00213952
10.6771, 0.0021417
10.9375, 0.00214328
11.1979, 0.00214153
11.4583, 0.0021269
11.7188, 0.00209562
11.9792, 0.00205137
12.2396, 0.00200037
12.5, 0.00194775
12.7604, 0.00189549
13.0208, 0.00184443
13.2813, 0.00179472
13.5417, 0.00174633
13.8021, 0.00169925
14.0625, 0.00165344
14.3229, 0.00160887
14.5833, 0.0015655
14.8438, 0.00152329
15.1042, 0.00148223
15.3646, 0.00144227
15.625, 0.00140339
15.8854, 0.00136555
16.1458, 0.00132874
16.4063, 0.00129292
16.6667, 0.00125806
16.9271, 0.00122415
17.1875, 0.00119115
17.4479, 0.00115903
17.7083, 0.00112779
17.9688, 0.00109738
18.2292, 0.0010678
18.4896, 0.00103901
18.75, 0.001011
19.0104, 0.000983748
19.2708, 0.000957227
19.5313, 0.000931422
19.7917, 0.000906312
20.0521, 0.000881879
20.3125, 0.000858104
20.5729, 0.000834971
20.8333, 0.000812461
21.0937, 0.000790559
21.3542, 0.000769246
21.6146, 0.000748508
21.875, 0.000728329
22.1354, 0.000708695
22.3958, 0.000689589
22.6562, 0.000670999
22.9167, 0.00065291
23.1771, 0.000635308
23.4375, 0.000618181
23.6979, 0.000601516
23.9583, 0.0005853
24.2187, 0.000569521
24.4792, 0.000554167
24.7396, 0.000539228
25, 0.000524691
25.2604, 0.000510546
25.5208, 0.000496782
25.7812, 0.00048339
26.0417, 0.000470358
26.3021, 0.000457678
26.5625, 0.000445339
26.8229, 0.000433334
27.0833, 0.000421652
27.3437, 0.000410284
27.6042, 0.000399224
27.8646, 0.00039266
28.125, 0.000399226
28.3854, 0.000423043
28.6458, 0.000460145
28.9062, 0.00050336
29.1667, 0.000547881
29.4271, 0.000592589
29.6875, 0.000637159
29.9479, 0.000680049
30.2083, 0.0007214
30.4687, 0.000762292
30.7292, 0.000802051
30.9896, 0.000839896
31.25, 0.000876592
31.5104, 0.000912265
31.7708, 0.000946954
32.0312, 0.000980726
32.2917, 0.00101468
