

time(ps), Y
0.625, 0.0402957
1.25, 0.0403863
1.875, 0.0404724
2.5, 0.0405546
3.125, 0.0406314
3.75, 0.0407037
4.375, 0.0407764
5, 0.0408466
5.625, 0.0409104
6.25, 0.0409721
6.875, 0.0410323
7.5, 0.0410946
8.125, 0.041158
8.75, 0.0412188
9.375, 0.0412743
10, 0.0413259
10.625, 0.0413795
11.25, 0.0414349
11.875, 0.0414841
12.5, 0.0415277
13.125, 0.0415719
13.75, 0.041614
14.375, 0.0416525
15, 0.0416906
15.625, 0.0417308
16.25, 0.0417651
16.875, 0.0417986
17.5, 0.041833
18.125, 0.0418652
18.75, 0.0419021
19.375, 0.0419378
20, 0.0419711
20.625, 0.0420024
21.25, 0.0420299
21.875, 0.0420542
22.5, 0.0420794
23.125, 0.0421052
23.75, 0.0421287
24.375, 0.0421511
25, 0.0421732
25.625, 0.0421932
26.25, 0.0422125
26.875, 0.0422337
27.5, 0.0422561
28.125, 0.0422758
28.75, 0.042293
29.375, 0.0422158
30, 0.0418257
30.625, 0.0410191
31.25, 0.0398969
31.875, 0.0386236
32.5, 0.0373194
33.125, 0.0360375
33.75, 0.034795
34.375, 0.0335945
35, 0.0324353
35.625, 0.0313162
36.25, 0.0302356
36.875, 0.0291923
37.5, 0.028185
38.125, 0.0272125
38.75, 0.0262735
39.375, 0.0253669
40, 0.0244917
40.625, 0.0236466
41.25, 0.0228306
41.875, 0.0220429
42.5, 0.0212823
43.125, 0.0205479
43.75, 0.0198389
44.375, 0.0191544
45, 0.0184934
45.625, 0.0178553
46.25, 0.0172392
46.875, 0.0166444
47.5, 0.0160701
48.125, 0.0155156
48.75, 0.0149802
49.375, 0.0144633
50, 0.0139642
50.625, 0.0134824
51.25, 0.0130172
51.875, 0.012568
52.5, 0.0121344
53.125, 0.0117157
53.75, 0.0113114
54.375, 0.0109211
55, 0.0105443
55.625, 0.0101805
56.25, 0.00982918
56.875, 0.00949002
57.5, 0.00916257
58.125, 0.00884641
58.75, 0.00854116
59.375, 0.00824645
60, 0.0079619
60.625, 0.00768718
61.25, 0.00742193
61.875, 0.00716584
62.5, 0.00691858
63.125, 0.00667985
63.75, 0.00644936
64.375, 0.00622682
65, 0.00601197
65.625, 0.00580452
66.25, 0.00560424
66.875, 0.00541086
67.5, 0.00522416
68.125, 0.0050439
68.75, 0.00486986
69.375, 0.00479883
70, 0.00504602
70.625, 0.00571597
71.25, 0.00670667
71.875, 0.00784993
72.5, 0.00902671
73.125, 0.0101868
73.75, 0.0113148
74.375, 0.0124029
75, 0.0134521
75.625, 0.0144676
76.25, 0.0154478
76.875, 0.0163912
77.5, 0.0173016
78.125, 0.0181804
78.75, 0.0190288
79.375, 0.0198481
80, 0.020643
80.625, 0.0214093
81.25, 0.0221445
81.875, 0.0228552
82.5, 0.023539
83.125, 0.0241981
83.75, 0.0248385
84.375, 0.0254604
85, 0.0260603
85.625, 0.0266384
86.25, 0.0272
86.875, 0.0277399
87.5, 0.028261
88.125, 0.0287659
88.75, 0.0292481
89.375, 0.029714
90, 0.0301679
90.625, 0.0306054
91.25, 0.0310255
91.875, 0.0314314
92.5, 0.0318239
93.125, 0.0322021
93.75, 0.0325694
94.375, 0.0329269
95, 0.0332675
95.625, 0.0335949
96.25, 0.0339128
96.875, 0.0342221
97.5, 0.0345211
98.125, 0.0348081
98.75, 0.0350853
99.375, 0.0353502
100, 0.0356061
100.625, 0.0358544
101.25, 0.036096
101.875, 0.0363317
102.5, 0.0365568
103.125, 0.036774
103.75, 0.0369854
104.375, 0.0371894
105, 0.0373829
105.625, 0.0375698
106.25, 0.0377544
106.875, 0.0379276
107.5, 0.0380936
108.125, 0.038255
108.75, 0.0384094
109.375, 0.0384628
110, 0.0381999
110.625, 0.0375174
111.25, 0.0365145
111.875, 0.0353574
112.5, 0.0341653
113.125, 0.0329923
113.75, 0.0318547
114.375, 0.0307557
115, 0.0296945
115.625, 0.0286699
116.25, 0.0276806
116.875, 0.0267255
117.5, 0.0258033
118.125, 0.024913
118.75, 0.0240533
119.375, 0.0232234
120, 0.0224221
120.625, 0.0216484
121.25, 0.0209014
121.875, 0.0201802
122.5, 0.0194839
123.125, 0.0188116
123.75, 0.0181625
124.375, 0.0175358
125, 0.0169307
125.625, 0.0163465
126.25, 0.0157825
126.875, 0.0152379
127.5, 0.0147121
128.125, 0.0142045
128.75, 0.0137143
129.375, 0.0132411
130, 0.0127842
130.625, 0.0123431
131.25, 0.0119172
131.875, 0.011506
132.5, 0.011109
133.125, 0.0107257
133.75, 0.0103556
134.375, 0.00999826
135, 0.00965327
135.625, 0.00932018
136.25, 0.00899859
136.875, 0.00868809
137.5, 0.00838831
138.125, 0.00809887
138.75, 0.00781942
139.375, 0.00754961
140, 0.00728911
140.625, 0.00703759
141.25, 0.00679476
141.875, 0.00656031
142.5, 0.00633394
143.125, 0.00611539
143.75, 0.00590438
144.375, 0.00570064
145, 0.00550394
145.625, 0.00531403
146.25, 0.00513067
146.875, 0.00495363
147.5, 0.00478271
148.125, 0.00461768
148.75, 0.00445835
149.375, 0.00430451
150, 0.00415598
150.625, 0.00401258
151.25, 0.00387412
151.875, 0.00374045
152.5, 0.00361138
153.125, 0.00348677
153.75, 0.00336646
154.375, 0.0032503
155, 0.00313815
155.625, 0.00302986
156.25, 0.00292532
156.875, 0.00282438
157.5, 0.00272692
158.125, 0.00263283
158.75, 0.00254199
159.375, 0.00245427
160, 0.00236959



time(ps), Y
0.625, 0.00228783
1.25, 0.00220888
1.875, 0.00213267
2.5, 0.00205908
3.125, 0.00198803
3.75, 0.00191943
4.375, 0.0018532
5, 0.00178926
5.625, 0.00172752
6.25, 0.00166791
6.875, 0.00161036
7.5, 0.00155479
8.125, 0.00150114
8.75, 0.00144935
9.375, 0.00139934
10, 0.00135105
10.625, 0.00130443
11.25, 0.00125942
11.875, 0.00121597
12.5, 0.00117401
13.125, 0.0011335
13.75, 0.00109439
14.375, 0.00105663
15, 0.00102017
15.625, 0.000984968
16.25, 0.000950981
16.875, 0.000918167
17.5, 0.000886486
18.125, 0.000855898
18.75, 0.000826365
19.375, 0.000797851
20, 0.000770321
20.625, 0.000743741
21.25, 0.000718078
21.875, 0.000693301
22.5, 0.000669378
23.125, 0.000646281
23.75, 0.000623981
24.375, 0.000602451
25, 0.000581663
25.625, 0.000561593
26.25, 0.000542215
26.875, 0.000523505
27.5, 0.000505442
28.125, 0.000488001
28.75, 0.000471163
29.375, 0.000551728
30, 0.000941406
30.625, 0.00174579
31.25, 0.0028728
31.875, 0.00414998
32.5, 0.00545352
33.125, 0.00673416
33.75, 0.00797479
34.375, 0.00917687
35, 0.0103386
35.625, 0.0114557
36.25, 0.0125366
36.875, 0.0135805
37.5, 0.0145851
38.125, 0.0155578
38.75, 0.0164963
39.375, 0.017404
40, 0.0182838
40.625, 0.0191315
41.25, 0.0199515
