

time(ps), Y
0.240385, 0.124123
0.480769, 0.12441
0.721154, 0.124686
0.961538, 0.124946
1.20192, 0.125192
1.44231, 0.125437
1.68269, 0.125675
1.92308, 0.125894
2.16346, 0.126106
2.40385, 0.126313
2.64423, 0.126524
2.88462, 0.126737
3.125, 0.126942
3.36538, 0.127132
3.60577, 0.12731
3.84615, 0.127492
4.08654, 0.127678
4.32692, 0.127846
4.56731, 0.127998
4.80769, 0.128151
5.04808, 0.128298
5.28846, 0.128433
5.52885, 0.128567
5.76923, 0.128705
6.00962, 0.128827
6.25, 0.128945
6.49038, 0.129066
6.73077, 0.129179
6.97115, 0.129305
7.21154, 0.129427
7.45192, 0.129541
7.69231, 0.129649
7.93269, 0.129747
8.17308, 0.129835
8.41346, 0.129925
8.65385, 0.130016
8.89423, 0.1301
9.13462, 0.130181
9.375, 0.13026
9.61538, 0.130332
9.85577, 0.130403
10.0962, 0.130478
10.3365, 0.130556
10.5769, 0.130626
10.8173, 0.130689
11.0577, 0.130471
11.2981, 0.129324
11.5385, 0.126939
11.7788, 0.123615
12.0192, 0.119837
12.2596, 0.115962
12.5, 0.112148
12.7404, 0.108446
12.9808, 0.104863
13.2212, 0.101399
13.4615, 0.0980484
13.7019, 0.094809
13.9423, 0.0916766
14.1827, 0.0886477
14.4231, 0.0857188
14.6635, 0.0828868
14.9038, 0.0801483
15.1442, 0.0775002
15.3846, 0.0749397
15.625, 0.0724638
15.8654, 0.0700696
16.1058, 0.0677546
16.3462, 0.0655161
16.5865, 0.0633515
16.8269, 0.0612584
17.0673, 0.0592345
17.3077, 0.0572774
17.5481, 0.055385
17.7885, 0.0535552
18.0288, 0.0517857
18.2692, 0.0500748
18.5096, 0.0484204
18.75, 0.0468206
18.9904, 0.0452737
19.2308, 0.0437779
19.4712, 0.0423315
19.7115, 0.0409329
19.9519, 0.0395805
20.1923, 0.0382728
20.4327, 0.0370083
20.6731, 0.0357856
20.9135, 0.0346033
21.1538, 0.03346
21.3942, 0.0323545
21.6346, 0.0312856
21.875, 0.0302519
22.1154, 0.0292524
22.3558, 0.028286
22.5962, 0.0273514
22.8365, 0.0264477
23.0769, 0.0255739
23.3173, 0.024729
23.5577, 0.023912
23.7981, 0.0231219
24.0385, 0.022358
24.2788, 0.0216193
24.5192, 0.020905
24.7596, 0.0202144
25, 0.0195465
25.2404, 0.0189007
25.4808, 0.0182762
25.7212, 0.0176724
25.9615, 0.0170885
26.2019, 0.0165239
26.4423, 0.0162655
26.6827, 0.016952
26.9231, 0.0188953
27.1635, 0.0217944
27.4038, 0.0251521
27.6442, 0.0286159
27.8846, 0.0320356
28.125, 0.0353653
28.3654, 0.0385824
28.6058, 0.0416897
28.8462, 0.0447008
29.0865, 0.0476121
29.3269, 0.0504189
29.5673, 0.0531318
29.8077, 0.0557546
30.0481, 0.0582906
30.2885, 0.060743
30.5288, 0.0631251
30.7692, 0.0654254
31.0096, 0.0676369
31.25, 0.0697777
31.4904, 0.0718414
31.7308, 0.0738337
31.9712, 0.0757714
32.2115, 0.0776548
32.4519, 0.0794744
32.6923, 0.0812312
32.9327, 0.082939
33.1731, 0.0845842
33.4135, 0.0861743
33.6538, 0.087717
33.8942, 0.0891943
34.1346, 0.0906239
34.375, 0.0920172
34.6154, 0.0933624
34.8558, 0.0946569
35.0962, 0.0959095
35.3365, 0.0971221
35.5769, 0.098293
35.8173, 0.0994307
36.0577, 0.100539
36.2981, 0.101598
36.5385, 0.102618
36.7788, 0.103609
37.0192, 0.104575
37.2596, 0.105509
37.5, 0.106407
37.7404, 0.107277
37.9808, 0.10811
38.2212, 0.108916
38.4615, 0.109698
38.7019, 0.11046
38.9423, 0.111204
39.1827, 0.111916
39.4231, 0.112604
39.6635, 0.113274
39.9038, 0.113922
40.1442, 0.114539
40.3846, 0.115135
40.625, 0.115724
40.8654, 0.116279
41.1058, 0.116812
41.3462, 0.117331
41.5865, 0.117829
41.8269, 0.118027
42.0673, 0.117285
42.3077, 0.115295
42.5481, 0.112351
42.7885, 0.108944
43.0288, 0.105427
43.2692, 0.101962
43.5096, 0.0985953
43.75, 0.0953382
43.9904, 0.0921884
44.2308, 0.0891425
44.4712, 0.0861974
44.7115, 0.0833495
