bitrate (Gbps)	BER Limit	-1 Volt	-5 Volt	-10 Volt
1	1E-12	0	0	0
2.2375	1E-12	0	0	0
3.475	1E-12	0	0	0
4.7125	1E-12	0	0	0
5.95	1E-12	0	0	0
7.1875	1E-12	0	0	0
8.425	1E-12	2.0701E-135	0	0
9.6625	1E-12	2.42382E-60	0	0
10.9	1E-12	4.06818E-35	0	0
12.1375	1E-12	1.03825E-21	0	0
13.375	1E-12	7.8001E-15	0	0
14.6125	1E-12	6.3183E-11	0	0
15.85	1E-12	1.60816E-08	3.2434E-199	0
17.0875	1E-12	6.07477E-07	3.4754E-122	0
18.325	1E-12	7.43224E-06	2.86484E-80	0
19.5625	1E-12	4.49386E-05	3.661E-60	0
20.8	1E-12	0.000171068	1.05075E-43	0
22.0375	1E-12	0.000379132	5.35797E-33	0
23.275	1E-12	0.000872911	9.63607E-26	0
24.5125	1E-12	0.001700787	1.18386E-20	0
25.75	1E-12	0.002927656	5.65588E-17	0
26.9875	1E-12	0.004587647	3.03739E-14	0
28.225	1E-12	0.00668544	3.5917E-12	0
29.4625	1E-12	0.009202377	1.44944E-10	0
30.7	1E-12	0.012103752	2.67325E-09	0
31.9375	1E-12	0.015345463	2.7642E-08	0
33.175	1E-12	0.018879044	1.84663E-07	0
34.4125	1E-12	0.022673575	8.82308E-07	0
35.65	1E-12	0.026672271	3.24698E-06	0
36.8875	1E-12	0.029637393	9.72434E-06	0
38.125	1E-12	0.033797144	2.47036E-05	1.0568E-250
39.3625	1E-12	0.036205954	5.49402E-05	3.3113E-201
40.6	1E-12	0.036803574	0.000109615	1.0257E-163
41.8375	1E-12	0.042018447	0.000199876	6.7764E-135
43.075	1E-12	0.043980484	0.000265926	1.9409E-112
44.3125	1E-12	0.046018239	0.000430923	1.01485E-94
45.55	1E-12	0.041913121	0.000661074	1.40605E-80
46.7875	1E-12	0.042383811	0.000967966	3.59335E-69
48.025	1E-12	0.042958588	0.001361946	1.38388E-64
49.2625	1E-12	0.044765145	0.001851697	2.64302E-56
50.5	1E-12	0.041416176	0.002443881	1.95119E-49
51.7375	1E-12	0.041322825	0.003143258	1.07424E-43
52.975	1E-12	0.04119647	0.003952483	7.31981E-39
54.2125	1E-12	0.041257224	0.004872479	9.1601E-35
55.45	1E-12	0.041366616	0.005902419	2.86748E-31
56.6875	1E-12	0.04152121	0.007040281	2.86814E-28
57.925	1E-12	0.041720548	0.008282472	1.11429E-25
59.1625	1E-12	0.027806735	0.009624762	1.96743E-23
60.4	1E-12	0.027834281	0.011062162	1.79184E-21
61.6375	1E-12	0.027779217	0.012589254	9.33469E-20
62.875	1E-12	0.049676387	0.014200054	3.02761E-18
64.1125	1E-12	0.050214599	0.015888394	6.55541E-17
65.35	1E-12	0.050689733	0.017648183	1.00415E-15
66.5875	1E-12	0.026088554	0.01947332	1.14183E-14
67.825	1E-12	0.038626023	0.021366333	1.00346E-13
69.0625	1E-12	0.039003178	0.023314709	7.0518E-13
70.3	1E-12	0.040681785	0.025312206	4.0785E-12
71.5375	1E-12	0.040997748	0.027353317	1.9893E-11
72.775	1E-12	0.041136752	0.029432693	8.35218E-11
74.0125	1E-12	0.041343763	0.030331927	3.07461E-10
75.25	1E-12	0.03922383	0.032413804	1.00726E-09
76.4875	1E-12	0.039277153	0.034519937	2.97598E-09
77.725	1E-12	0.055083306	0.035759382	8.02121E-09
78.9625	1E-12	0.015256679	0.036472035	1.9909E-08
80.2	1E-12	0.015092806	0.03685785	4.59145E-08
81.4375	1E-12	0.014939635	0.036784936	9.91608E-08
82.675	1E-12	0.009486806	0.031707354	2.01897E-07
83.9125	1E-12	0.009301222	0.042353568	3.8978E-07
85.15	1E-12	0.014941011	0.043334122	7.17233E-07
86.3875	1E-12	0.073763243	0.044332273	1.2636E-06
87.625	1E-12	0.073279079	0.045346106	2.14008E-06
88.8625	1E-12	0.072821564	0.041599681	3.49687E-06
90.1	1E-12	0.072390237	0.041797471	5.53006E-06
91.3375	1E-12	0.07198301	0.04201361	8.48829E-06
92.575	1E-12	0.015209677	0.042247401	1.26786E-05
93.8125	1E-12	0.015066418	0.042491298	1.84693E-05
95.05	1E-12	0.014929663	0.042783864	2.62948E-05
96.2875	1E-12	0.014798919	0.031565306	3.66547E-05
97.525	1E-12	0.014867913	0.041573827	5.0113E-05
98.7625	1E-12	0.014749931	0.044684819	6.72946E-05
100	1E-12	0.014637941	0.041457203	8.88833E-05
