

time(ps), Y
1.20192, 0.0200598
2.40385, 0.0201058
3.60577, 0.0201498
4.80769, 0.0201911
6.00962, 0.0202301
7.21154, 0.0202691
8.41346, 0.020307
9.61538, 0.0203416
10.8173, 0.0203751
12.0192, 0.0204078
13.2212, 0.0204414
14.4231, 0.0204756
15.625, 0.0205084
16.8269, 0.0205385
18.0288, 0.0205666
19.2308, 0.0205957
20.4327, 0.0206256
21.6346, 0.0206524
22.8365, 0.0206764
24.0385, 0.0207006
25.2404, 0.0207238
26.4423, 0.0207451
27.6442, 0.0207661
28.8462, 0.0207881
30.0481, 0.0208072
31.25, 0.0208259
32.4519, 0.0208449
33.6538, 0.0208628
34.8558, 0.0208829
36.0577, 0.0209025
37.2596, 0.0209208
38.4615, 0.020938
39.6635, 0.0209534
40.8654, 0.0209672
42.0673, 0.0209813
43.2692, 0.0209957
44.4712, 0.0210089
45.6731, 0.0210215
46.875, 0.021034
48.0769, 0.0210453
49.2788, 0.0210564
50.4808, 0.0210682
51.6827, 0.0210807
52.8846, 0.0210918
54.0865, 0.0211016
55.2885, 0.0210659
56.4904, 0.0208792
57.6923, 0.0204914
58.8942, 0.019951
60.0962, 0.019337
61.2981, 0.0187074
62.5, 0.0180877
63.7019, 0.0174864
64.9038, 0.0169046
66.1058, 0.0163421
67.3077, 0.0157984
68.5096, 0.0152727
69.7115, 0.0147646
70.9135, 0.0142733
72.1154, 0.0137984
73.3173, 0.0133393
74.5192, 0.0128954
75.7212, 0.0124664
76.9231, 0.0120516
78.125, 0.0116506
79.3269, 0.0112629
80.5288, 0.0108882
81.7308, 0.0105259
82.9327, 0.0101757
84.1346, 0.00983711
85.3365, 0.0095098
86.5385, 0.00919338
87.7404, 0.00888749
88.9423, 0.00859178
90.1442, 0.00830591
91.3462, 0.00802954
92.5481, 0.00776238
93.75, 0.0075041
94.9519, 0.00725442
96.1538, 0.00701304
97.3558, 0.0067797
98.5577, 0.00655412
99.7596, 0.00633605
100.962, 0.00612523
102.163, 0.00592142
103.365, 0.0057244
104.567, 0.00553393
105.769, 0.0053498
106.971, 0.0051718
108.173, 0.00499972
109.375, 0.00483336
110.577, 0.00467254
111.779, 0.00451708
112.981, 0.00436678
114.183, 0.00422148
115.385, 0.00408102
116.587, 0.00394524
117.788, 0.00381397
118.99, 0.00368707
120.192, 0.00356439
121.394, 0.00344579
122.596, 0.00333114
123.798, 0.0032203
125, 0.00311315
126.202, 0.00300957
127.404, 0.00290943
128.606, 0.00281263
129.808, 0.00271904
131.01, 0.00262857
132.212, 0.0025879
133.413, 0.00270082
134.615, 0.00301794
135.817, 0.0034903
137.019, 0.00403697
138.221, 0.0046006
139.423, 0.00515702
140.625, 0.00569882
141.827, 0.00622207
143.029, 0.00672727
144.231, 0.00721683
145.433, 0.00769005
146.635, 0.00814602
147.837, 0.00858659
149.038, 0.00901244
150.24, 0.00942408
151.442, 0.00982206
152.644, 0.0102087
153.846, 0.010582
155.048, 0.0109405
156.25, 0.0112875
157.452, 0.0116219
158.654, 0.0119445
159.856, 0.0122584
161.058, 0.0125636
162.26, 0.0128584
163.462, 0.0131429
164.663, 0.0134195
165.865, 0.0136859
167.067, 0.0139432
168.269, 0.0141929
169.471, 0.0144317
170.673, 0.0146628
171.875, 0.0148881
173.077, 0.0151055
174.279, 0.0153146
175.481, 0.0155169
176.683, 0.0157128
177.885, 0.0159018
179.087, 0.0160855
180.288, 0.0162645
181.49, 0.0164354
182.692, 0.0165998
183.894, 0.0167596
185.096, 0.0169154
186.298, 0.0170661
187.5, 0.0172109
188.702, 0.017351
189.904, 0.0174851
191.106, 0.0176148
192.308, 0.0177407
193.51, 0.0178635
194.712, 0.0179833
195.913, 0.0180979
197.115, 0.0182087
198.317, 0.0183165
199.519, 0.0184208
200.721, 0.0185199
201.923, 0.0186157
203.125, 0.0187104
204.327, 0.0187994
205.529, 0.0188849
206.731, 0.0189681
207.933, 0.0190478
209.135, 0.0190788
210.337, 0.0189571
211.538, 0.0186328
212.74, 0.0181534
213.942, 0.017599
215.144, 0.0170269
216.346, 0.0164632
217.548, 0.0159158
218.75, 0.0153863
219.952, 0.0148744
221.154, 0.0143795
222.356, 0.013901
223.558, 0.0134385
224.76, 0.0129913
225.962, 0.0125591
227.163, 0.0121412
228.365, 0.0117372
229.567, 0.0113467
230.769, 0.0109692
231.971, 0.0106042
233.173, 0.0102514
234.375, 0.00991027
235.577, 0.00958052
236.779, 0.00926175
237.981, 0.00895359
239.183, 0.00865568
240.385, 0.00836768
241.587, 0.00808926
242.788, 0.00782011
243.99, 0.00755991
245.192, 0.00730837
246.394, 0.0070652
247.596, 0.00683012
248.798, 0.00660286
250, 0.00638317
251.202, 0.00617078
252.404, 0.00596546
253.606, 0.00576697
254.808, 0.00557509
256.01, 0.00538959
257.212, 0.00521026
258.413, 0.0050369
259.615, 0.00486931
260.817, 0.00470729
262.019, 0.00455067
263.221, 0.00439926
264.423, 0.00425288
265.625, 0.00411137
266.827, 0.00397458
268.029, 0.00384233
269.231, 0.00371449
270.433, 0.00359089
271.635, 0.00347142
272.837, 0.00335591
274.038, 0.00324425
275.24, 0.00313631
276.442, 0.00303195
277.644, 0.00293107
278.846, 0.00283354
280.048, 0.00273926
281.25, 0.00264812
282.452, 0.00256001
283.654, 0.00247483
284.856, 0.00239249
286.058, 0.00231288
287.26, 0.00223593
288.462, 0.00216153
289.663, 0.00208961
290.865, 0.00202008
292.067, 0.00195287
293.269, 0.00188789
294.471, 0.00182508
295.673, 0.00176435
296.875, 0.00170565
298.077, 0.00164889
299.279, 0.00159403
300.481, 0.00154099
301.683, 0.00148972
302.885, 0.00144015
304.087, 0.00139223
305.288, 0.00134591
306.49, 0.00130113
307.692, 0.00125784



time(ps), Y
1.20192, 0.00121598
2.40385, 0.00117552
3.60577, 0.00113641
4.80769, 0.0010986
6.00962, 0.00106205
7.21154, 0.00102671
8.41346, 0.000992548
9.61538, 0.000959523
10.8173, 0.000927597
12.0192, 0.000896733
13.2212, 0.000866896
14.4231, 0.000838052
15.625, 0.000810168
16.8269, 0.000783211
18.0288, 0.000757151
19.2308, 0.000731959
20.4327, 0.000707604
21.6346, 0.00068406
22.8365, 0.0006613
24.0385, 0.000639296
25.2404, 0.000618025
26.4423, 0.000597462
27.6442, 0.000577582
28.8462, 0.000558364
30.0481, 0.000539786
31.25, 0.000521826
32.4519, 0.000504463
33.6538, 0.000487678
34.8558, 0.000471452
36.0577, 0.000455765
37.2596, 0.000440601
38.4615, 0.000425941
39.6635, 0.000411768
40.8654, 0.000398068
42.0673, 0.000384823
43.2692, 0.000372019
44.4712, 0.000359641
45.6731, 0.000347674
46.875, 0.000336106
48.0769, 0.000324923
49.2788, 0.000314112
50.4808, 0.00030366
51.6827, 0.000293557
52.8846, 0.000283789
54.0865, 0.000274347
55.2885, 0.000311911
56.4904, 0.000498573
57.6923, 0.000885427
58.8942, 0.00142841
60.0962, 0.00204448
61.2981, 0.00267397
62.5, 0.00329316
63.7019, 0.00389375
64.9038, 0.00447645
66.1058, 0.00504032
67.3077, 0.00558315
68.5096, 0.00610915
69.7115, 0.00661772
70.9135, 0.00710781
72.1154, 0.00758289
73.3173, 0.00804193
74.5192, 0.00848641
75.7212, 0.0089178
76.9231, 0.00933398
78.125, 0.00973711
79.3269, 0.010127
80.5288, 0.0105028
81.7308, 0.0108664
82.9327, 0.0112167
84.1346, 0.011556
85.3365, 0.0118844
86.5385, 0.0121999
87.7404, 0.0125058
88.9423, 0.0128024
90.1442, 0.0130883
91.3462, 0.0133659
92.5481, 0.0136355
93.75, 0.0138958
94.9519, 0.0141474
96.1538, 0.0143904
97.3558, 0.0146263
