

time(ps), Y
0.223214, 0.00192764
0.446429, 0.00193428
0.669643, 0.00193975
0.892857, 0.00194511
1.11607, 0.00195051
1.33929, 0.00195684
1.5625, 0.00196389
1.78571, 0.00197064
2.00893, 0.00197642
2.23214, 0.00198156
2.45536, 0.00198754
2.67857, 0.00199433
2.90179, 0.00199985
3.125, 0.00200424
3.34821, 0.0020091
3.57143, 0.00201368
3.79464, 0.00201761
4.01786, 0.00202168
4.24107, 0.00202652
4.46429, 0.00203012
4.6875, 0.00203372
4.91071, 0.00203775
5.13393, 0.00204144
5.35714, 0.00204653
5.58036, 0.00205151
5.80357, 0.00205609
6.02679, 0.00206034
6.25, 0.0020638
6.47321, 0.00206662
6.69643, 0.0020698
6.91964, 0.00207329
7.14286, 0.00207633
7.36607, 0.00207923
7.58929, 0.00208217
7.8125, 0.00208471
8.03571, 0.00208721
8.25893, 0.00209028
8.48214, 0.00209377
8.70536, 0.00209672
8.92857, 0.00209911
9.15179, 0.00209865
9.375, 0.00208708
9.59821, 0.00206117
9.82143, 0.002024
10.0446, 0.00198085
10.2679, 0.00193613
10.4911, 0.00189151
10.7143, 0.00184776
10.9375, 0.00180499
11.1607, 0.0017632
11.3839, 0.00172238
11.6071, 0.0016825
11.8304, 0.00164355
12.0536, 0.0016055
12.2768, 0.00156833
12.5, 0.00153202
12.7232, 0.00149655
12.9464, 0.0014619
13.1696, 0.00142806
13.3929, 0.00139499
13.6161, 0.0013627
13.8393, 0.00133115
14.0625, 0.00130033
14.2857, 0.00127023
14.5089, 0.00124082
14.7321, 0.00121209
14.9554, 0.00118403
15.1786, 0.00115662
15.4018, 0.00112984
15.625, 0.00110368
15.8482, 0.00107813
16.0714, 0.00105317
16.2946, 0.00102879
16.5179, 0.00100497
16.7411, 0.000981702
16.9643, 0.000958974
17.1875, 0.000936772
17.4107, 0.000915085
17.6339, 0.000893899
17.8571, 0.000873204
18.0804, 0.000852988
18.3036, 0.000833239
18.5268, 0.000813949
18.75, 0.000795104
18.9732, 0.000776696
19.1964, 0.000758715
19.4196, 0.000741149
19.6429, 0.00072399
19.8661, 0.000707229
20.0893, 0.000690855
20.3125, 0.000674861
20.5357, 0.000659237
20.7589, 0.000643974
20.9821, 0.000629065
21.2054, 0.000614501
21.4286, 0.000600275
21.6518, 0.000586377
21.875, 0.000572802
22.0982, 0.00055954
22.3214, 0.000546586
22.5446, 0.000533932
22.7679, 0.00052157
22.9911, 0.000509495
23.2143, 0.0004977
23.4375, 0.000489806
23.6607, 0.000493236
23.8839, 0.000511556
24.1071, 0.000541416
24.3304, 0.00057666
24.5536, 0.000613172
24.7768, 0.000650063
25, 0.000687078
25.2232, 0.00072279
25.4464, 0.000757318
25.6696, 0.000791657
25.8929, 0.000825172
26.1161, 0.000857129
