bitrate (Gbps)	BER Limit	-1 Volt	-5 Volt	-10 Volt
1	1E-12	0	0	0
2.2375	1E-12	0	0	0
3.475	1E-12	0	0	0
4.7125	1E-12	0	0	0
5.95	1E-12	0	0	0
7.1875	1E-12	0	0	0
8.425	1E-12	1.6255E-135	0	0
9.6625	1E-12	2.24233E-60	0	0
10.9	1E-12	3.88508E-35	0	0
12.1375	1E-12	1.01461E-21	0	0
13.375	1E-12	7.67008E-15	0	0
14.6125	1E-12	6.24022E-11	0	0
15.85	1E-12	1.59434E-08	1.6482E-199	0
17.0875	1E-12	6.03351E-07	2.5351E-122	0
18.325	1E-12	7.38448E-06	2.39552E-80	0
19.5625	1E-12	4.4656E-05	7.85959E-56	0
20.8	1E-12	0.000170192	9.57194E-44	0
22.0375	1E-12	0.00037739	5.03617E-33	0
23.275	1E-12	0.000869521	9.22996E-26	0
24.5125	1E-12	0.001695118	1.14762E-20	0
25.75	1E-12	0.002919107	5.5195E-17	0
26.9875	1E-12	0.004575726	2.9744E-14	0
28.225	1E-12	0.00666991	3.52533E-12	0
29.4625	1E-12	0.009183115	1.42485E-10	0
30.7	1E-12	0.012080642	2.63585E-09	0
31.9375	1E-12	0.01531828	2.73168E-08	0
33.175	1E-12	0.018848639	1.8281E-07	0
34.4125	1E-12	0.022640708	8.74641E-07	0
35.65	1E-12	0.026635448	3.22055E-06	0
36.8875	1E-12	0.029597157	9.64806E-06	0
38.125	1E-12	0.033754369	2.45132E-05	1.5668E-251
39.3625	1E-12	0.036159299	5.45218E-05	8.9331E-202
40.6	1E-12	0.036797643	0.00010878	4.0832E-164
41.8375	1E-12	0.04201361	0.000198454	3.4914E-135
43.075	1E-12	0.043974408	0.000264058	1.1885E-112
44.3125	1E-12	0.04601718	0.000428164	6.97108E-95
45.55	1E-12	0.041879357	0.000657189	1.04568E-80
46.7875	1E-12	0.042349667	0.00096272	2.82683E-69
48.025	1E-12	0.042923982	0.001355127	5.78229E-60
49.2625	1E-12	0.044747626	0.00184302	2.10039E-56
50.5	1E-12	0.041389483	0.002433212	1.61473E-49
51.7375	1E-12	0.041299044	0.003130401	9.1791E-44
52.975	1E-12	0.041180347	0.003937223	6.41653E-39
54.2125	1E-12	0.04123538	0.004854785	8.19596E-35
55.45	1E-12	0.041345667	0.005882203	2.60795E-31
56.6875	1E-12	0.041498271	0.007017299	2.64363E-28
57.925	1E-12	0.041697498	0.008256766	1.03848E-25
59.1625	1E-12	0.027799693	0.009596437	1.85012E-23
60.4	1E-12	0.02782595	0.01103113	1.69746E-21
61.6375	1E-12	0.027791373	0.012555384	8.9002E-20
62.875	1E-12	0.049642083	0.014163481	2.90202E-18
64.1125	1E-12	0.050184546	0.015848932	6.31248E-17
65.35	1E-12	0.050657062	0.017606377	9.7051E-16
66.5875	1E-12	0.026056735	0.019431217	1.10713E-14
67.825	1E-12	0.038582468	0.021322101	9.74765E-14
69.0625	1E-12	0.038956506	0.023267515	6.86278E-13
70.3	1E-12	0.040690216	0.025262132	3.97466E-12
71.5375	1E-12	0.040969437	0.027299834	1.94089E-11
72.775	1E-12	0.04110456	0.028224743	8.16018E-11
74.0125	1E-12	0.041338051	0.030274711	3.00621E-10
75.25	1E-12	0.039242801	0.03235415	9.85667E-10
76.4875	1E-12	0.039295245	0.034458788	2.91434E-09
77.725	1E-12	0.055174702	0.035694393	7.86013E-09
78.9625	1E-12	0.015230705	0.03640659	1.95303E-08
80.2	1E-12	0.015066418	0.036850213	4.50972E-08
81.4375	1E-12	0.014912828	0.03677562	9.75079E-08
82.675	1E-12	0.009502765	0.041384718	1.98733E-07
83.9125	1E-12	0.009315368	0.042345767	3.84025E-07
85.15	1E-12	0.014992015	0.04332614	7.07229E-07
86.3875	1E-12	0.014848412	0.044324108	1.24695E-06
87.625	1E-12	0.073397286	0.045342974	2.11339E-06
88.8625	1E-12	0.072939033	0.046386329	3.45541E-06
90.1	1E-12	0.072507011	0.041748416	5.46764E-06
91.3375	1E-12	0.072100786	0.041964302	8.39711E-06
92.575	1E-12	0.01521318	0.042197819	1.25456E-05
93.8125	1E-12	0.015069887	0.04244827	1.82789E-05
95.05	1E-12	0.014932757	0.042735619	2.6028E-05
96.2875	1E-12	0.014801646	0.043045722	3.62877E-05
97.525	1E-12	0.014676753	0.041513562	4.96169E-05
98.7625	1E-12	0.01475129	0.044660132	6.66346E-05
100	1E-12	0.014638952	0.041419991	8.80197E-05
