

time(ps), Y
0.625, 0.00201805
1.25, 0.0020232
1.875, 0.00202787
2.5, 0.00203215
3.125, 0.00203572
3.75, 0.00203876
4.375, 0.00204232
5, 0.00204578
5.625, 0.00204823
6.25, 0.00205061
6.875, 0.00205306
7.5, 0.00205634
8.125, 0.00206026
8.75, 0.00206394
9.375, 0.00206677
10, 0.00206906
10.625, 0.00207212
11.25, 0.0020759
11.875, 0.00207857
12.5, 0.00208028
13.125, 0.00208242
13.75, 0.00208435
14.375, 0.00208573
15, 0.00208726
15.625, 0.0020895
16.25, 0.00209068
16.875, 0.00209188
17.5, 0.0020935
18.125, 0.00209485
18.75, 0.00209744
19.375, 0.00209996
20, 0.00210214
20.625, 0.00210405
21.25, 0.00210528
21.875, 0.00210598
22.5, 0.00210704
23.125, 0.00210839
23.75, 0.00210937
24.375, 0.00211025
25, 0.00211121
25.625, 0.00211183
26.25, 0.00211246
26.875, 0.0021136
27.5, 0.00211514
28.125, 0.00211623
28.75, 0.00211684
29.375, 0.00211311
30, 0.00209358
30.625, 0.00205344
31.25, 0.00199756
31.875, 0.0019339
32.5, 0.00186871
33.125, 0.00180453
33.75, 0.00174232
34.375, 0.00168221
35, 0.00162416
35.625, 0.00156812
36.25, 0.00151401
36.875, 0.00146177
37.5, 0.00141133
38.125, 0.00136263
38.75, 0.00131561
39.375, 0.00127022
40, 0.00122639
40.625, 0.00118407
41.25, 0.00114322
41.875, 0.00110377
42.5, 0.00106568
43.125, 0.00102891
43.75, 0.000993409
44.375, 0.000959132
45, 0.000926037
45.625, 0.000894084
46.25, 0.000863233
46.875, 0.000833447
47.5, 0.000804689
48.125, 0.000776923
48.75, 0.000750115
49.375, 0.000724232
50, 0.000699243
50.625, 0.000675115
51.25, 0.00065182
51.875, 0.000629329
52.5, 0.000607614
53.125, 0.000586648
53.75, 0.000566406
54.375, 0.000546862
55, 0.000527992
55.625, 0.000509774
56.25, 0.000492184
56.875, 0.000475201
57.5, 0.000458804
58.125, 0.000442973
58.75, 0.000427688
59.375, 0.000412931
60, 0.000398683
60.625, 0.000384926
61.25, 0.000371644
61.875, 0.00035882
62.5, 0.000346439
63.125, 0.000334485
63.75, 0.000322944
64.375, 0.000311801
65, 0.000301042
65.625, 0.000290654
66.25, 0.000280625
