power	1	5	10	13	15	Limit
1	0.0E+00	0.0E+00	5.5E-54	1.8E-16	4.9E-10	1.00E-12
0.9	0.0E+00	0.0E+00	5.7E-54	1.8E-16	4.9E-10	1.00E-12
0.8	0.0E+00	0.0E+00	5.9E-54	1.8E-16	4.9E-10	1.00E-12
0.7	0.0E+00	0.0E+00	6.2E-54	1.8E-16	4.9E-10	1.00E-12
0.6	0.0E+00	0.0E+00	6.6E-54	1.8E-16	4.9E-10	1.00E-12
0.5	0.0E+00	0.0E+00	7.2E-54	1.8E-16	4.9E-10	1.00E-12
0.4	0.0E+00	0.0E+00	8.1E-54	1.9E-16	5.0E-10	1.00E-12
0.3	0.0E+00	0.0E+00	9.8E-54	1.9E-16	5.0E-10	1.00E-12
0.2	0.0E+00	0.0E+00	1.4E-53	2.0E-16	5.1E-10	1.00E-12
0.1	0.0E+00	0.0E+00	3.5E-53	2.2E-16	5.4E-10	1.00E-12
0.09	0.0E+00	0.0E+00	4.3E-53	2.3E-16	5.4E-10	1.00E-12
0.08	0.0E+00	0.0E+00	5.5E-53	2.3E-16	5.5E-10	1.00E-12
0.07	0.0E+00	0.0E+00	7.4E-53	2.4E-16	5.6E-10	1.00E-12
0.06	0.0E+00	0.0E+00	1.1E-52	2.5E-16	5.7E-10	1.00E-12
0.05	0.0E+00	0.0E+00	1.8E-52	2.7E-16	5.8E-10	1.00E-12
0.04	0.0E+00	0.0E+00	4.0E-52	2.9E-16	6.0E-10	1.00E-12
0.03	0.0E+00	0.0E+00	1.4E-51	3.3E-16	6.3E-10	1.00E-12
0.02	0.0E+00	0.0E+00	1.2E-50	4.2E-16	6.9E-10	1.00E-12
0.01	0.0E+00	0.0E+00	3.8E-48	8.1E-16	8.9E-10	1.00E-12
0.009	0.0E+00	0.0E+00	1.2E-47	9.3E-16	9.3E-10	1.00E-12
0.008	0.0E+00	0.0E+00	5.1E-47	1.1E-15	9.9E-10	1.00E-12
0.007	0.0E+00	0.0E+00	2.9E-46	1.3E-15	1.1E-09	1.00E-12
0.006	0.0E+00	0.0E+00	2.8E-45	1.8E-15	1.2E-09	1.00E-12
0.005	0.0E+00	0.0E+00	5.3E-44	2.5E-15	1.4E-09	1.00E-12
0.004	1.8E-257	1.0E-275	3.0E-42	4.3E-15	1.6E-09	1.00E-12
0.003	2.9E-195	1.5E-212	1.2E-39	9.7E-15	2.2E-09	1.00E-12
0.002	9.9E-133	3.9E-147	1.9E-35	4.3E-14	4.0E-09	1.00E-12
0.001	1.6E-69	9.2E-79	2.8E-27	1.5E-12	1.7E-08	1.00E-12
0.0009	3.8E-63	1.1E-71	5.1E-26	2.8E-12	2.3E-08	1.00E-12
0.0008	9.8E-57	1.4E-64	1.3E-24	6.0E-12	3.2E-08	1.00E-12
0.0007	2.7E-50	2.0E-57	4.7E-23	1.5E-11	4.9E-08	1.00E-12
0.0006	7.7E-44	7.9E-42	2.6E-21	4.3E-11	8.2E-08	1.00E-12
0.0005	2.5E-37	8.6E-36	2.4E-19	1.6E-10	1.6E-07	1.00E-12
0.0004	8.9E-31	1.1E-29	4.5E-17	8.5E-10	3.6E-07	1.00E-12
0.0003	3.8E-24	2.0E-23	1.9E-14	7.4E-09	1.2E-06	1.00E-12
0.0002	2.1E-17	4.9E-17	2.2E-11	1.4E-07	6.4E-06	1.00E-12
