power	1	5	10	13	15	Limit
0.0001	2.1E-10	2.3E-10	1.3E-07	1.1E-05	1.0E-04	1.00E-12
0.00009	1.1E-09	2.7E-08	3.4E-07	2.0E-05	1.5E-04	1.00E-12
0.00008	6.0E-09	1.0E-07	9.1E-07	3.6E-05	2.2E-04	1.00E-12
0.00007	3.3E-08	3.9E-07	2.5E-06	6.2E-05	3.5E-04	1.00E-12
0.00006	1.9E-07	9.4E-07	7.3E-06	1.1E-04	5.7E-04	1.00E-12
0.00005	1.1E-06	4.1E-06	2.2E-05	1.6E-04	8.9E-04	1.00E-12
0.00004	6.7E-06	1.9E-05	7.4E-05	3.7E-04	1.2E-03	1.00E-12
0.00003	4.4E-05	9.4E-05	2.7E-04	9.5E-04	2.4E-03	1.00E-12
0.00002	3.2E-04	5.1E-04	1.1E-03	2.8E-03	5.7E-03	1.00E-12
0.00001	2.9E-03	3.5E-03	5.8E-03	1.2E-02	9.1E-03	1.00E-12
0.000009	3.6E-03	4.3E-03	7.0E-03	1.8E-02	9.1E-03	1.00E-12
0.000008	4.7E-03	5.3E-03	9.1E-03	1.9E-02	9.2E-03	1.00E-12
0.000007	6.0E-03	6.7E-03	1.4E-02	9.3E-03	9.2E-03	1.00E-12
0.000006	7.8E-03	8.5E-03	1.4E-02	9.4E-03	9.3E-03	1.00E-12
0.000005	2.7E-03	9.2E-03	1.6E-02	8.0E-03	9.4E-03	1.00E-12
0.000004	4.1E-03	9.2E-03	1.4E-02	7.9E-03	1.5E-02	1.00E-12
0.000003	5.4E-04	1.4E-02	2.8E-02	2.3E-02	1.3E-02	1.00E-12
0.000002	6.5E-04	1.4E-02	2.8E-02	2.2E-02	6.4E-02	1.00E-12
0.000001	2.8E-02	1.4E-02	2.8E-02	2.1E-02	2.0E-02	1.00E-12
0.0000009	2.1E-02	1.4E-02	2.8E-02	2.1E-02	2.0E-02	1.00E-12
0.0000008	1.5E-02	1.5E-02	2.8E-02	2.1E-02	2.0E-02	1.00E-12
0.0000007	1.0E-02	1.5E-02	2.8E-02	2.1E-02	2.7E-02	1.00E-12
0.0000006	6.6E-03	1.6E-02	2.9E-02	2.1E-02	1.8E-02	1.00E-12
0.0000005	3.9E-03	1.8E-02	2.9E-02	2.1E-02	1.8E-02	1.00E-12
0.0000004	2.1E-03	2.5E-02	2.9E-02	2.1E-02	1.8E-02	1.00E-12
0.0000003	9.9E-03	3.2E-02	2.9E-02	2.1E-02	1.8E-02	1.00E-12
0.0000002	1.0E-02	5.1E-03	1.5E-02	2.1E-02	1.7E-02	1.00E-12
0.0000001	1.1E-02	4.4E-03	2.6E-02	2.1E-02	1.7E-02	1.00E-12
