Vdark	Idark	Vphoto	Iphoto	R	Vphoto
-20	4.07E-15	-20	2.62591	2.63	-20
-19.9	4.07E-15	-19.9	2.62591	2.63	-19.9
-19.8	4.08E-15	-19.8	2.62591	2.63	-19.8
-19.7	4.08E-15	-19.7	2.62591	2.63	-19.7
-19.6	4.08E-15	-19.6	2.6259	2.63	-19.6
-19.5	4.09E-15	-19.5	2.6259	2.63	-19.5
-19.4	4.07E-15	-19.4	2.6259	2.63	-19.4
-19.3	4.04E-15	-19.3	2.6259	2.63	-19.3
-19.2	4.05E-15	-19.2	2.6259	2.63	-19.2
-19.1	4.05E-15	-19.1	2.6259	2.63	-19.1
-19	4.05E-15	-19	2.6259	2.63	-19
-18.9	4.05E-15	-18.9	2.6259	2.63	-18.9
-18.8	4.06E-15	-18.8	2.62589	2.63	-18.8
-18.7	4.06E-15	-18.7	2.62589	2.63	-18.7
-18.6	4.07E-15	-18.6	2.62589	2.63	-18.6
-18.5	4.06E-15	-18.5	2.62589	2.63	-18.5
-18.4	4.07E-15	-18.4	2.62589	2.63	-18.4
-18.3	4.07E-15	-18.3	2.625890022	2.63	-18.3
-18.2	4.01E-15	-18.2	2.625880114	2.63	-18.2
-18.1	4.01E-15	-18.1	2.625880202	2.63	-18.1
-18	4.01E-15	-18	2.625880287	2.63	-18
-17.9	4.01E-15	-17.9	2.62588037	2.63	-17.9
-17.8	4.01E-15	-17.8	2.625880449	2.63	-17.8
-17.7	4.02E-15	-17.7	2.625880526	2.63	-17.7
-17.6	4.02E-15	-17.6	2.625870601	2.63	-17.6
-17.5	4.02E-15	-17.5	2.625870673	2.63	-17.5
-17.4	4.03E-15	-17.4	2.625870744	2.63	-17.4
-17.3	4.02E-15	-17.3	2.625870812	2.63	-17.3
-17.2	4.03E-15	-17.2	2.625860879	2.63	-17.2
-17.1	4.04E-15	-17.1	2.625860943	2.63	-17.1
-17	4.04E-15	-17	2.625861006	2.63	-17
-16.9	4.04E-15	-16.9	2.625861068	2.63	-16.9
-16.8	4.05E-15	-16.8	2.625851128	2.63	-16.8
-16.7	4.07E-15	-16.7	2.625851187	2.63	-16.7
-16.6	4.05E-15	-16.6	2.625851244	2.63	-16.6
-16.5	3.93E-15	-16.5	2.6258513	2.63	-16.5
-16.4	3.94E-15	-16.4	2.625841355	2.63	-16.4
-16.3	3.95E-15	-16.3	2.625841408	2.63	-16.3
-16.2	3.94E-15	-16.2	2.625841461	2.63	-16.2
-16.1	3.93E-15	-16.1	2.625831512	2.63	-16.1
-16	3.94E-15	-16	2.625831562	2.63	-16
-15.9	3.95E-15	-15.9	2.625821612	2.63	-15.9
-15.8	3.96E-15	-15.8	2.62582166	2.63	-15.8
-15.7	3.97E-15	-15.7	2.625821708	2.63	-15.7
-15.6	3.94E-15	-15.6	2.625811755	2.63	-15.6
-15.5	3.95E-15	-15.5	2.6258118	2.63	-15.5
-15.4	3.96E-15	-15.4	2.625801845	2.63	-15.4
-15.3	3.96E-15	-15.3	2.62580189	2.63	-15.3
-15.2	3.97E-15	-15.2	2.625791933	2.63	-15.2
-15.1	3.99E-15	-15.1	2.625791976	2.63	-15.1
-15	3.98E-15	-15	2.625782018	2.63	-15
-14.9	3.96E-15	-14.9	2.62578206	2.63	-14.9
-14.8	3.96E-15	-14.8	2.625772101	2.63	-14.8
-14.7	3.98E-15	-14.7	2.625762141	2.63	-14.7
-14.6	3.98E-15	-14.6	2.625762181	2.63	-14.6
-14.5	4.00E-15	-14.5	2.62575222	2.63	-14.5
-14.4	4.02E-15	-14.4	2.625742258	2.63	-14.4
-14.3	4.01E-15	-14.3	2.625742296	2.63	-14.3
-14.2	4.04E-15	-14.2	2.625732333	2.63	-14.2
-14.1	4.01E-15	-14.1	2.62572237	2.63	-14.1
-14	3.98E-15	-14	2.625712407	2.63	-14
-13.9	3.99E-15	-13.9	2.625702443	2.63	-13.9
-13.8	4.02E-15	-13.8	2.625702478	2.63	-13.8
-13.7	4.01E-15	-13.7	2.625692513	2.63	-13.7
-13.6	4.03E-15	-13.6	2.625682548	2.63	-13.6
-13.5	4.04E-15	-13.5	2.625672582	2.63	-13.5
-13.4	4.06E-15	-13.4	2.625662616	2.63	-13.4
-13.3	4.09E-15	-13.3	2.625642649	2.63	-13.3
-13.2	3.91E-15	-13.2	2.625632682	2.63	-13.2
-13.1	3.91E-15	-13.1	2.625622714	2.63	-13.1
-13	3.88E-15	-13	2.625612746	2.63	-13
-12.9	3.90E-15	-12.9	2.625602778	2.63	-12.9
-12.8	3.90E-15	-12.8	2.62558281	2.63	-12.8
-12.7	3.91E-15	-12.7	2.625572841	2.63	-12.7
-12.6	3.91E-15	-12.6	2.625552871	2.63	-12.6
-12.5	3.94E-15	-12.5	2.625542902	2.63	-12.5
-12.4	3.94E-15	-12.4	2.625522932	2.63	-12.4
-12.3	3.97E-15	-12.3	2.625512962	2.63	-12.3
-12.2	3.93E-15	-12.2	2.625492991	2.63	-12.2
-12.1	3.90E-15	-12.1	2.62547302	2.63	-12.1
-12	3.89E-15	-12	2.625453049	2.63	-12
-11.9	3.92E-15	-11.9	2.625433078	2.63	-11.9
-11.8	3.93E-15	-11.8	2.625413106	2.63	-11.8
-11.7	3.93E-15	-11.7	2.625393134	2.63	-11.7
-11.6	3.96E-15	-11.6	2.625373162	2.63	-11.6
-11.5	3.95E-15	-11.5	2.625353189	2.63	-11.5
-11.4	3.96E-15	-11.4	2.625333216	2.63	-11.4
-11.3	4.00E-15	-11.3	2.625313243	2.63	-11.3
-11.2	3.99E-15	-11.2	2.62528327	2.63	-11.2
-11.1	4.02E-15	-11.1	2.625263297	2.63	-11.1
-11	4.02E-15	-11	2.625243323	2.63	-11
-10.9	4.07E-15	-10.9	2.625213349	2.63	-10.9
-10.8	4.07E-15	-10.8	2.625183375	2.63	-10.8
-10.7	3.94E-15	-10.7	2.6251634	2.63	-10.7
-10.6	3.93E-15	-10.6	2.625133425	2.63	-10.6
-10.5	3.97E-15	-10.5	2.625103451	2.63	-10.5
-10.4	3.96E-15	-10.4	2.625073475	2.63	-10.4
-10.3	4.01E-15	-10.3	2.6250435	2.63	-10.3
-10.2	3.64E-15	-10.2	2.625013525	2.63	-10.2
-10.1	3.64E-15	-10.1	2.624983549	2.62	-10.1
-10	3.60E-15	-10	2.624943573	2.62	-10
-9.9	3.64E-15	-9.9	2.624913597	2.62	-9.9
-9.8	3.60E-15	-9.8	2.624883621	2.62	-9.8
-9.7	3.64E-15	-9.7	2.624843644	2.62	-9.7
-9.6	3.68E-15	-9.6	2.624803667	2.62	-9.6
-9.5	3.71E-15	-9.5	2.624763691	2.62	-9.5
-9.4	3.70E-15	-9.4	2.624723714	2.62	-9.4
-9.3	3.64E-15	-9.3	2.624683736	2.62	-9.3
-9.2	3.63E-15	-9.2	2.624643759	2.62	-9.2
-9.1	3.56E-15	-9.1	2.624603782	2.62	-9.1
-9	3.59E-15	-9	2.624563804	2.62	-9
-8.9	3.63E-15	-8.9	2.624513826	2.62	-8.9
-8.8	3.67E-15	-8.8	2.624473848	2.62	-8.8
-8.7	3.71E-15	-8.7	2.62442387	2.62	-8.7
-8.6	3.75E-15	-8.6	2.624373891	2.62	-8.6
-8.5	3.79E-15	-8.5	2.624323913	2.62	-8.5
-8.4	3.83E-15	-8.4	2.624273934	2.62	-8.4
-8.3	3.87E-15	-8.3	2.624213956	2.62	-8.3
-8.2	3.84E-15	-8.2	2.624163977	2.62	-8.2
-8.1	3.71E-15	-8.1	2.624103998	2.62	-8.1
-8	3.67E-15	-8	2.624044018	2.62	-8
-7.9	3.53E-15	-7.9	2.623974039	2.62	-7.9
-7.8	3.55E-15	-7.8	2.62391406	2.62	-7.8
-7.7	3.58E-15	-7.7	2.62384408	2.62	-7.7
-7.6	3.62E-15	-7.6	2.6237741	2.62	-7.6
-7.5	3.65E-15	-7.5	2.62369412	2.62	-7.5
-7.4	3.31E-15	-7.4	2.62361414	2.62	-7.4
-7.3	3.35E-15	-7.3	2.62353416	2.62	-7.3
-7.2	3.38E-15	-7.2	2.62344418	2.62	-7.2
-7.1	3.41E-15	-7.1	2.6233642	2.62	-7.1
-7	3.42E-15	-7	2.623274219	2.62	-7
