Vdark	Idark	Vphoto	Iphoto	R	Vphoto
-20	4.54E-15	-20	2.26327	2.26	-20
-19.9	4.54E-15	-19.9	2.26324	2.26	-19.9
-19.8	4.53E-15	-19.8	2.26322	2.26	-19.8
-19.7	4.53E-15	-19.7	2.26319	2.26	-19.7
-19.6	4.52E-15	-19.6	2.26316	2.26	-19.6
-19.5	4.52E-15	-19.5	2.26313	2.26	-19.5
-19.4	4.51E-15	-19.4	2.2631	2.26	-19.4
-19.3	4.51E-15	-19.3	2.26307	2.26	-19.3
-19.2	4.50E-15	-19.2	2.26304	2.26	-19.2
-19.1	4.50E-15	-19.1	2.26301	2.26	-19.1
-19	4.49E-15	-19	2.26298	2.26	-19
-18.9	4.49E-15	-18.9	2.26295	2.26	-18.9
-18.8	4.48E-15	-18.8	2.26292	2.26	-18.8
-18.7	4.48E-15	-18.7	2.26289	2.26	-18.7
-18.6	4.48E-15	-18.6	2.26286	2.26	-18.6
-18.5	4.47E-15	-18.5	2.26283	2.26	-18.5
-18.4	4.47E-15	-18.4	2.26279	2.26	-18.4
-18.3	4.46E-15	-18.3	2.262760022	2.26	-18.3
-18.2	4.46E-15	-18.2	2.262730114	2.26	-18.2
-18.1	4.45E-15	-18.1	2.262700202	2.26	-18.1
-18	4.45E-15	-18	2.262670287	2.26	-18
-17.9	4.44E-15	-17.9	2.26263037	2.26	-17.9
-17.8	4.44E-15	-17.8	2.262600449	2.26	-17.8
-17.7	4.43E-15	-17.7	2.262570526	2.26	-17.7
-17.6	4.43E-15	-17.6	2.262530601	2.26	-17.6
-17.5	4.42E-15	-17.5	2.262500673	2.26	-17.5
-17.4	4.42E-15	-17.4	2.262460744	2.26	-17.4
-17.3	4.42E-15	-17.3	2.262430812	2.26	-17.3
-17.2	4.41E-15	-17.2	2.262390879	2.26	-17.2
-17.1	4.41E-15	-17.1	2.262360943	2.26	-17.1
-17	4.40E-15	-17	2.262321006	2.26	-17
-16.9	4.40E-15	-16.9	2.262291068	2.26	-16.9
-16.8	4.39E-15	-16.8	2.262251128	2.26	-16.8
-16.7	4.39E-15	-16.7	2.262211187	2.26	-16.7
-16.6	4.38E-15	-16.6	2.262171244	2.26	-16.6
-16.5	4.38E-15	-16.5	2.2621413	2.26	-16.5
-16.4	4.37E-15	-16.4	2.262101355	2.26	-16.4
-16.3	4.37E-15	-16.3	2.262061408	2.26	-16.3
-16.2	4.36E-15	-16.2	2.262021461	2.26	-16.2
-16.1	4.36E-15	-16.1	2.261981512	2.26	-16.1
-16	4.35E-15	-16	2.261931562	2.26	-16
-15.9	4.35E-15	-15.9	2.261891612	2.26	-15.9
-15.8	4.34E-15	-15.8	2.26185166	2.26	-15.8
-15.7	4.34E-15	-15.7	2.261811708	2.26	-15.7
-15.6	4.33E-15	-15.6	2.261761755	2.26	-15.6
-15.5	4.33E-15	-15.5	2.2617218	2.26	-15.5
-15.4	4.32E-15	-15.4	2.261671845	2.26	-15.4
-15.3	4.32E-15	-15.3	2.26163189	2.26	-15.3
-15.2	4.32E-15	-15.2	2.261581933	2.26	-15.2
-15.1	4.31E-15	-15.1	2.261531976	2.26	-15.1
-15	4.31E-15	-15	2.261492018	2.26	-15
-14.9	4.30E-15	-14.9	2.26144206	2.26	-14.9
-14.8	4.30E-15	-14.8	2.261392101	2.26	-14.8
