Vdark	Idark	Vphoto	Iphoto	R	Vphoto
-9.9	3.92E-15	-9.9	1.689503597	1.69	-9.9
-9.8	3.95E-15	-9.8	1.689473621	1.69	-9.8
-9.7	3.94E-15	-9.7	1.689443644	1.69	-9.7
-9.6	3.97E-15	-9.6	1.689413667	1.69	-9.6
-9.5	3.98E-15	-9.5	1.689373691	1.69	-9.5
-9.4	3.98E-15	-9.4	1.689343714	1.69	-9.4
-9.3	4.01E-15	-9.3	1.689313736	1.69	-9.3
-9.2	4.00E-15	-9.2	1.689283759	1.69	-9.2
-9.1	4.03E-15	-9.1	1.689243782	1.69	-9.1
-9	4.00E-15	-9	1.689213804	1.69	-9
-8.9	4.01E-15	-8.9	1.689173826	1.69	-8.9
-8.8	3.97E-15	-8.8	1.689133848	1.69	-8.8
-8.7	3.96E-15	-8.7	1.68909387	1.69	-8.7
-8.6	3.84E-15	-8.6	1.689053891	1.69	-8.6
-8.5	3.82E-15	-8.5	1.689013913	1.69	-8.5
-8.4	3.65E-15	-8.4	1.688973934	1.69	-8.4
-8.3	3.62E-15	-8.3	1.688933956	1.69	-8.3
-8.2	3.66E-15	-8.2	1.688893977	1.69	-8.2
-8.1	3.67E-15	-8.1	1.688843998	1.69	-8.1
-8	3.66E-15	-8	1.688804018	1.69	-8
-7.9	3.66E-15	-7.9	1.688754039	1.69	-7.9
-7.8	3.65E-15	-7.8	1.68871406	1.69	-7.8
-7.7	3.65E-15	-7.7	1.68866408	1.69	-7.7
-7.6	3.64E-15	-7.6	1.6886141	1.69	-7.6
-7.5	3.68E-15	-7.5	1.68856412	1.69	-7.5
-7.4	3.67E-15	-7.4	1.68850414	1.69	-7.4
-7.3	3.72E-15	-7.3	1.68845416	1.69	-7.3
-7.2	3.75E-15	-7.2	1.68839418	1.69	-7.2
-7.1	3.81E-15	-7.1	1.6883442	1.69	-7.1
-7	3.78E-15	-7	1.688284219	1.69	-7
-6.9	3.74E-15	-6.9	1.688224238	1.69	-6.9
-6.8	3.70E-15	-6.8	1.688164258	1.69	-6.8
-6.7	3.67E-15	-6.7	1.688104277	1.69	-6.7
-6.6	3.94E-15	-6.6	1.688044296	1.69	-6.6
-6.5	3.94E-15	-6.5	1.687974315	1.69	-6.5
-6.4	3.95E-15	-6.4	1.687914334	1.69	-6.4
-6.3	3.71E-15	-6.3	1.687844352	1.69	-6.3
-6.2	3.58E-15	-6.2	1.687784371	1.69	-6.2
-6.1	3.56E-15	-6.1	1.687714389	1.69	-6.1
-6	3.60E-15	-6	1.687644408	1.69	-6
-5.9	3.64E-15	-5.9	1.687574426	1.69	-5.9
-5.8	3.68E-15	-5.8	1.687494444	1.69	-5.8
-5.7	3.72E-15	-5.7	1.687424462	1.69	-5.7
-5.6	3.69E-15	-5.6	1.68735448	1.69	-5.6
-5.5	3.74E-15	-5.5	1.687274498	1.69	-5.5
-5.4	3.69E-15	-5.4	1.687194516	1.69	-5.4
-5.3	3.64E-15	-5.3	1.687114533	1.69	-5.3
-5.2	3.53E-15	-5.2	1.687034551	1.69	-5.2
-5.1	3.47E-15	-5.1	1.686954568	1.69	-5.1
-5	3.52E-15	-5	1.686864586	1.69	-5
-4.9	3.54E-15	-4.9	1.686774603	1.69	-4.9
-4.8	3.58E-15	-4.8	1.68669462	1.69	-4.8
-4.7	3.60E-15	-4.7	1.686604637	1.69	-4.7
-4.6	3.65E-15	-4.6	1.686514654	1.69	-4.6
-4.5	3.70E-15	-4.5	1.686414671	1.69	-4.5
-4.4	3.70E-15	-4.4	1.686324688	1.69	-4.4
-4.3	3.76E-15	-4.3	1.686224705	1.69	-4.3
-4.2	3.65E-15	-4.2	1.686124722	1.69	-4.2
-4.1	3.51E-15	-4.1	1.686024738	1.69	-4.1
-4	3.53E-15	-4	1.685924755	1.69	-4
-3.9	3.53E-15	-3.9	1.685824771	1.69	-3.9
-3.8	3.60E-15	-3.8	1.685714787	1.69	-3.8
-3.7	3.66E-15	-3.7	1.685604804	1.69	-3.7
-3.6	3.65E-15	-3.6	1.68548482	1.69	-3.6
-3.5	3.66E-15	-3.5	1.685364836	1.69	-3.5
-3.4	3.73E-15	-3.4	1.685244852	1.69	-3.4
-3.3	3.45E-15	-3.3	1.685114868	1.69	-3.3
-3.2	3.45E-15	-3.2	1.684974884	1.68	-3.2
-3.1	3.51E-15	-3.1	1.6848349	1.68	-3.1
-3	3.51E-15	-3	1.684684915	1.68	-3
-2.9	3.52E-15	-2.9	1.684534931	1.68	-2.9
-2.8	3.56E-15	-2.8	1.684364946	1.68	-2.8
-2.7	3.61E-15	-2.7	1.684194962	1.68	-2.7
-2.6	3.62E-15	-2.6	1.684004977	1.68	-2.6
-2.5	3.66E-15	-2.5	1.683814993	1.68	-2.5
-2.4	3.65E-15	-2.4	1.683615008	1.68	-2.4
-2.3	3.68E-15	-2.3	1.683405023	1.68	-2.3
-2.2	3.74E-15	-2.2	1.683195038	1.68	-2.2
-2.1	3.80E-15	-2.1	1.682975053	1.68	-2.1
-2	3.79E-15	-2	1.682745068	1.68	-2
-1.9	3.82E-15	-1.9	1.682505083	1.68	-1.9
-1.8	3.88E-15	-1.8	1.682255098	1.68	-1.8
-1.7	3.90E-15	-1.7	1.681995113	1.68	-1.7
-1.6	3.67E-15	-1.6	1.681715128	1.68	-1.6
-1.5	3.57E-15	-1.5	1.681425143	1.68	-1.5
-1.4	3.55E-15	-1.4	1.681095157	1.68	-1.4
-1.3	3.59E-15	-1.3	1.680745172	1.68	-1.3
-1.2	3.62E-15	-1.2	1.680355186	1.68	-1.2
-1.1	3.60E-15	-1.1	1.679925201	1.68	-1.1
-1	3.62E-15	-1	1.679455215	1.68	-1
-0.9	3.66E-15	-0.9	1.678935229	1.68	-0.9
-0.8	3.54E-15	-0.8	1.678355244	1.68	-0.8
-0.7	3.57E-15	-0.7	1.677735258	1.68	-0.7
-0.6	3.53E-15	-0.6	1.677035272	1.68	-0.6
-0.5	3.57E-15	-0.5	1.676255286	1.68	-0.5
-0.4	3.64E-15	-0.4	1.6753753	1.68	-0.4
-0.3	3.62E-15	-0.3	1.674385314	1.67	-0.3
-0.2	3.55E-15	-0.2	1.673295328	1.67	-0.2
-0.1	3.47E-15	-0.1	1.672065342	1.67	-0.1
0	1.54E-30	0	1.67064	1.67	0
0.1	1.64874E-13	0.1	1.74340446	1.74	0.1
0.2	8.01615E-12	0.2	1.752350053	1.75	0.2
0.3	3.79798E-10	0.3	1.756334772	1.76	0.3
0.4	1.61149E-08	0.4	1.757657798	1.76	0.4
0.5	1.40746E-07	0.5	1.75522117	1.76	0.5
0.6	6.38166E-07	0.6	1.720825334	1.72	0.6
0.7	1.75228E-05	0.7	1.484090051	1.48	0.7
0.8	0.000238151	0.8	0.863621624	0.86	0.8
0.9	0.000676139	0.9	0.250683462	0.25	0.9
1	0.00122293	1	0.485272764	0.48	1
1.1	0.00216142	1.1	0.786237538	0.78	1.1
1.2	0.00261859	1.2	0.857219304	0.85	1.2
1.3	0.00295889	1.3	0.880576775	0.88	1.3
1.4	0.00328804	1.4	0.895796877	0.89	1.4
1.5	0.00362615	1.5	0.908747676	0.91	1.5
1.6	0.00398189	1.6	0.920309027	0.92	1.6
1.7	0.00436346	1.7	0.930530578	0.93	1.7
1.8	0.0047788	1.8	0.939828321	0.94	1.8
1.9	0.00523411	1.9	0.948878144	0.94	1.9
2	0.00573328	2	0.957726383	0.95	2
2.1	0.00627857	2.1	0.965934086	0.96	2.1
2.2	0.0068713	2.2	0.973458749	0.97	2.2
2.3	0.00751232	2.3	0.980553868	0.97	2.3
2.4	0.00820228	2.4	0.987432204	0.98	2.4
2.5	0.00894163	2.5	0.994229779	0.99	2.5
2.6	0.00973071	2.6	1.001013986	0.99	2.6
2.7	0.0105698	2.7	1.007720666	1.00	2.7
2.8	0.011459	2.8	1.014152289	1.00	2.8
2.9	0.0123985	2.9	1.020187512	1.01	2.9
3	0.0133883	3	1.025861624	1.01	3
3.1	0.0144286	3.1	1.031299727	1.02	3.1
3.2	0.0155194	3.2	1.036633111	1.02	3.2
3.3	0.0166608	3.3	1.041964326	1.03	3.3
3.4	0.0178526	3.4	1.047372662	1.03	3.4
