Vdark	Idark	Vphoto	Iphoto	R	Vphoto
-20	4.13E-15	-20	2.1483	2.15	-20
-19.9	4.14E-15	-19.9	2.14829	2.15	-19.9
-19.8	4.12E-15	-19.8	2.14829	2.15	-19.8
-19.7	4.12E-15	-19.7	2.14829	2.15	-19.7
-19.6	4.12E-15	-19.6	2.14829	2.15	-19.6
-19.5	4.13E-15	-19.5	2.14829	2.15	-19.5
-19.4	4.13E-15	-19.4	2.14829	2.15	-19.4
-19.3	4.10E-15	-19.3	2.14829	2.15	-19.3
-19.2	4.11E-15	-19.2	2.14829	2.15	-19.2
-19.1	4.11E-15	-19.1	2.14828	2.15	-19.1
-19	4.12E-15	-19	2.14828	2.15	-19
-18.9	4.12E-15	-18.9	2.14828	2.15	-18.9
-18.8	4.11E-15	-18.8	2.14828	2.15	-18.8
-18.7	4.08E-15	-18.7	2.14828	2.15	-18.7
-18.6	4.09E-15	-18.6	2.14828	2.15	-18.6
-18.5	4.09E-15	-18.5	2.14828	2.15	-18.5
-18.4	4.10E-15	-18.4	2.14827	2.15	-18.4
-18.3	4.08E-15	-18.3	2.148270022	2.15	-18.3
-18.2	4.08E-15	-18.2	2.148270114	2.15	-18.2
-18.1	4.09E-15	-18.1	2.148270202	2.15	-18.1
-18	4.06E-15	-18	2.148270287	2.15	-18
-17.9	4.07E-15	-17.9	2.14827037	2.15	-17.9
-17.8	4.07E-15	-17.8	2.148270449	2.15	-17.8
-17.7	4.08E-15	-17.7	2.148270526	2.15	-17.7
-17.6	4.08E-15	-17.6	2.148260601	2.15	-17.6
-17.5	4.05E-15	-17.5	2.148260673	2.15	-17.5
-17.4	4.06E-15	-17.4	2.148260744	2.15	-17.4
-17.3	4.06E-15	-17.3	2.148260812	2.15	-17.3
-17.2	4.07E-15	-17.2	2.148260879	2.15	-17.2
-17.1	4.07E-15	-17.1	2.148260943	2.15	-17.1
-17	4.08E-15	-17	2.148261006	2.15	-17
-16.9	4.04E-15	-16.9	2.148251068	2.15	-16.9
-16.8	4.04E-15	-16.8	2.148251128	2.15	-16.8
-16.7	4.05E-15	-16.7	2.148251187	2.15	-16.7
-16.6	4.05E-15	-16.6	2.148251244	2.15	-16.6
-16.5	4.02E-15	-16.5	2.1482513	2.15	-16.5
-16.4	4.02E-15	-16.4	2.148251355	2.15	-16.4
-16.3	4.02E-15	-16.3	2.148251408	2.15	-16.3
-16.2	4.02E-15	-16.2	2.148241461	2.15	-16.2
-16.1	4.03E-15	-16.1	2.148241512	2.15	-16.1
-16	4.03E-15	-16	2.148241562	2.15	-16
-15.9	4.03E-15	-15.9	2.148241612	2.15	-15.9
-15.8	4.05E-15	-15.8	2.14824166	2.15	-15.8
-15.7	4.04E-15	-15.7	2.148241708	2.15	-15.7
-15.6	4.05E-15	-15.6	2.148231755	2.15	-15.6
-15.5	4.06E-15	-15.5	2.1482318	2.15	-15.5
-15.4	3.98E-15	-15.4	2.148231845	2.15	-15.4
