Vdark	Idark	Vphoto	Iphoto	R	Vphoto
-20	4.38E-15	-20	1.60464	1.60	-20
-19.9	4.38E-15	-19.9	1.60463	1.60	-19.9
-19.8	4.37E-15	-19.8	1.60462	1.60	-19.8
-19.7	4.37E-15	-19.7	1.60461	1.60	-19.7
-19.6	4.37E-15	-19.6	1.60459	1.60	-19.6
-19.5	4.36E-15	-19.5	1.60458	1.60	-19.5
-19.4	4.36E-15	-19.4	1.60457	1.60	-19.4
-19.3	4.36E-15	-19.3	1.60456	1.60	-19.3
-19.2	4.35E-15	-19.2	1.60455	1.60	-19.2
-19.1	4.35E-15	-19.1	1.60454	1.60	-19.1
-19	4.34E-15	-19	1.60453	1.60	-19
-18.9	4.34E-15	-18.9	1.60452	1.60	-18.9
-18.8	4.34E-15	-18.8	1.6045	1.60	-18.8
-18.7	4.33E-15	-18.7	1.60449	1.60	-18.7
-18.6	4.33E-15	-18.6	1.60448	1.60	-18.6
-18.5	4.32E-15	-18.5	1.60447	1.60	-18.5
-18.4	4.32E-15	-18.4	1.60446	1.60	-18.4
-18.3	4.32E-15	-18.3	1.604440022	1.60	-18.3
-18.2	4.31E-15	-18.2	1.604430114	1.60	-18.2
-18.1	4.31E-15	-18.1	1.604420202	1.60	-18.1
-18	4.31E-15	-18	1.604400287	1.60	-18
-17.9	4.30E-15	-17.9	1.60439037	1.60	-17.9
-17.8	4.30E-15	-17.8	1.604380449	1.60	-17.8
-17.7	4.29E-15	-17.7	1.604370526	1.60	-17.7
-17.6	4.29E-15	-17.6	1.604350601	1.60	-17.6
-17.5	4.28E-15	-17.5	1.604340673	1.60	-17.5
-17.4	4.28E-15	-17.4	1.604330744	1.60	-17.4
-17.3	4.28E-15	-17.3	1.604310812	1.60	-17.3
-17.2	4.27E-15	-17.2	1.604300879	1.60	-17.2
-17.1	4.27E-15	-17.1	1.604280943	1.60	-17.1
-17	4.27E-15	-17	1.604271006	1.60	-17
-16.9	4.26E-15	-16.9	1.604251068	1.60	-16.9
-16.8	4.26E-15	-16.8	1.604241128	1.60	-16.8
-16.7	4.25E-15	-16.7	1.604231187	1.60	-16.7
-16.6	4.25E-15	-16.6	1.604211244	1.60	-16.6
-16.5	4.25E-15	-16.5	1.6041913	1.60	-16.5
-16.4	4.24E-15	-16.4	1.604181355	1.60	-16.4
-16.3	4.24E-15	-16.3	1.604161408	1.60	-16.3
-16.2	4.23E-15	-16.2	1.604151461	1.60	-16.2
-16.1	4.23E-15	-16.1	1.604131512	1.60	-16.1
-16	4.23E-15	-16	1.604121562	1.60	-16
-15.9	4.22E-15	-15.9	1.604101612	1.60	-15.9
-15.8	4.22E-15	-15.8	1.60408166	1.60	-15.8
-15.7	4.22E-15	-15.7	1.604071708	1.60	-15.7
-15.6	4.21E-15	-15.6	1.604051755	1.60	-15.6
-15.5	4.21E-15	-15.5	1.6040318	1.60	-15.5
-15.4	4.20E-15	-15.4	1.604011845	1.60	-15.4
-15.3	4.20E-15	-15.3	1.60400189	1.60	-15.3
-15.2	4.20E-15	-15.2	1.603981933	1.60	-15.2
-15.1	4.19E-15	-15.1	1.603961976	1.60	-15.1
-15	4.19E-15	-15	1.603942018	1.60	-15
-14.9	4.18E-15	-14.9	1.60392206	1.60	-14.9
-14.8	4.18E-15	-14.8	1.603912101	1.60	-14.8
-14.7	4.17E-15	-14.7	1.603892141	1.60	-14.7
-14.6	4.18E-15	-14.6	1.603872181	1.60	-14.6
-14.5	4.17E-15	-14.5	1.60385222	1.60	-14.5
-14.4	4.17E-15	-14.4	1.603832258	1.60	-14.4
-14.3	4.16E-15	-14.3	1.603812296	1.60	-14.3
-14.2	4.15E-15	-14.2	1.603792333	1.60	-14.2
-14.1	4.16E-15	-14.1	1.60377237	1.60	-14.1
-14	4.14E-15	-14	1.603752407	1.60	-14
-13.9	4.14E-15	-13.9	1.603732443	1.60	-13.9
-13.8	4.14E-15	-13.8	1.603712478	1.60	-13.8
-13.7	4.13E-15	-13.7	1.603692513	1.60	-13.7
-13.6	4.14E-15	-13.6	1.603662548	1.60	-13.6
-13.5	4.13E-15	-13.5	1.603642582	1.60	-13.5
-13.4	4.13E-15	-13.4	1.603622616	1.60	-13.4
-13.3	4.12E-15	-13.3	1.603602649	1.60	-13.3
-13.2	4.11E-15	-13.2	1.603572682	1.60	-13.2
-13.1	4.11E-15	-13.1	1.603552714	1.60	-13.1
-13	4.12E-15	-13	1.603532746	1.60	-13
-12.9	4.10E-15	-12.9	1.603502778	1.60	-12.9
-12.8	4.10E-15	-12.8	1.60348281	1.60	-12.8
-12.7	4.10E-15	-12.7	1.603452841	1.60	-12.7
-12.6	4.10E-15	-12.6	1.603432871	1.60	-12.6
-12.5	4.08E-15	-12.5	1.603402902	1.60	-12.5
-12.4	4.09E-15	-12.4	1.603372932	1.60	-12.4
-12.3	4.08E-15	-12.3	1.603352962	1.60	-12.3
-12.2	4.08E-15	-12.2	1.603322991	1.60	-12.2
-12.1	4.07E-15	-12.1	1.60329302	1.60	-12.1
-12	4.07E-15	-12	1.603273049	1.60	-12
-11.9	4.06E-15	-11.9	1.603243078	1.60	-11.9
-11.8	4.06E-15	-11.8	1.603213106	1.60	-11.8
-11.7	4.06E-15	-11.7	1.603183134	1.60	-11.7
-11.6	4.05E-15	-11.6	1.603153162	1.60	-11.6
-11.5	4.06E-15	-11.5	1.603123189	1.60	-11.5
-11.4	4.04E-15	-11.4	1.603093216	1.60	-11.4
-11.3	4.04E-15	-11.3	1.603063243	1.60	-11.3
