Vdark	Idark	Vphoto	Iphoto	R	Vphoto
-20	4.10E-15	-20	3.38254	3.38	-20
-19.9	4.02E-15	-19.9	3.38253	3.38	-19.9
-19.8	4.03E-15	-19.8	3.38252	3.38	-19.8
-19.7	4.02E-15	-19.7	3.38251	3.38	-19.7
-19.6	4.03E-15	-19.6	3.3825	3.38	-19.6
-19.5	4.04E-15	-19.5	3.38248	3.38	-19.5
-19.4	4.03E-15	-19.4	3.38247	3.38	-19.4
-19.3	4.04E-15	-19.3	3.38246	3.38	-19.3
-19.2	4.05E-15	-19.2	3.38245	3.38	-19.2
-19.1	4.04E-15	-19.1	3.38243	3.38	-19.1
-19	4.05E-15	-19	3.38242	3.38	-19
-18.9	4.06E-15	-18.9	3.38241	3.38	-18.9
-18.8	4.05E-15	-18.8	3.38239	3.38	-18.8
-18.7	4.06E-15	-18.7	3.38238	3.38	-18.7
-18.6	4.07E-15	-18.6	3.38237	3.38	-18.6
-18.5	4.06E-15	-18.5	3.38235	3.38	-18.5
-18.4	4.06E-15	-18.4	3.38234	3.38	-18.4
-18.3	4.07E-15	-18.3	3.382320022	3.38	-18.3
-18.2	4.09E-15	-18.2	3.382310114	3.38	-18.2
-18.1	3.94E-15	-18.1	3.382290202	3.38	-18.1
-18	3.95E-15	-18	3.382280287	3.38	-18
-17.9	3.96E-15	-17.9	3.38226037	3.38	-17.9
-17.8	3.97E-15	-17.8	3.382250449	3.38	-17.8
-17.7	3.97E-15	-17.7	3.382230526	3.38	-17.7
-17.6	3.94E-15	-17.6	3.382220601	3.38	-17.6
-17.5	3.96E-15	-17.5	3.382200673	3.38	-17.5
-17.4	3.97E-15	-17.4	3.382180744	3.38	-17.4
-17.3	3.98E-15	-17.3	3.382160812	3.38	-17.3
-17.2	3.99E-15	-17.2	3.382150879	3.38	-17.2
-17.1	4.00E-15	-17.1	3.382130943	3.38	-17.1
-17	3.97E-15	-17	3.382111006	3.38	-17
-16.9	3.97E-15	-16.9	3.382091068	3.38	-16.9
-16.8	3.98E-15	-16.8	3.382071128	3.38	-16.8
-16.7	3.98E-15	-16.7	3.382051187	3.38	-16.7
-16.6	3.99E-15	-16.6	3.382031244	3.38	-16.6
-16.5	3.99E-15	-16.5	3.3820113	3.38	-16.5
-16.4	4.02E-15	-16.4	3.381991355	3.38	-16.4
-16.3	3.97E-15	-16.3	3.381971408	3.38	-16.3
-16.2	3.97E-15	-16.2	3.381951461	3.38	-16.2
-16.1	4.00E-15	-16.1	3.381931512	3.38	-16.1
-16	4.01E-15	-16	3.381911562	3.38	-16
-15.9	3.99E-15	-15.9	3.381881612	3.38	-15.9
-15.8	4.03E-15	-15.8	3.38186166	3.38	-15.8
-15.7	4.02E-15	-15.7	3.381841708	3.38	-15.7
-15.6	4.04E-15	-15.6	3.381811755	3.38	-15.6
-15.5	4.04E-15	-15.5	3.3817918	3.38	-15.5
-15.4	4.07E-15	-15.4	3.381761845	3.38	-15.4
-15.3	3.98E-15	-15.3	3.38174189	3.38	-15.3
-15.2	4.03E-15	-15.2	3.381711933	3.38	-15.2
-15.1	3.99E-15	-15.1	3.381681976	3.38	-15.1
-15	4.03E-15	-15	3.381662018	3.38	-15
-14.9	4.05E-15	-14.9	3.38163206	3.38	-14.9
-14.8	4.03E-15	-14.8	3.381602101	3.38	-14.8
-14.7	4.07E-15	-14.7	3.381572141	3.38	-14.7
-14.6	4.09E-15	-14.6	3.381542181	3.38	-14.6
-14.5	4.06E-15	-14.5	3.38151222	3.38	-14.5
-14.4	4.11E-15	-14.4	3.381482258	3.38	-14.4
-14.3	4.15E-15	-14.3	3.381442296	3.38	-14.3
-14.2	4.09E-15	-14.2	3.381412333	3.38	-14.2
-14.1	4.13E-15	-14.1	3.38138237	3.38	-14.1
-14	3.81E-15	-14	3.381342407	3.38	-14
-13.9	3.85E-15	-13.9	3.381312443	3.38	-13.9
-13.8	3.63E-15	-13.8	3.381272478	3.38	-13.8
-13.7	3.66E-15	-13.7	3.381232513	3.38	-13.7
-13.6	3.69E-15	-13.6	3.381192548	3.38	-13.6
-13.5	3.73E-15	-13.5	3.381152582	3.38	-13.5
-13.4	3.71E-15	-13.4	3.381112616	3.38	-13.4
-13.3	3.63E-15	-13.3	3.381072649	3.38	-13.3
-13.2	3.89E-15	-13.2	3.381032682	3.38	-13.2
-13.1	3.93E-15	-13.1	3.380982714	3.38	-13.1
-13	3.97E-15	-13	3.380942746	3.38	-13
-12.9	3.91E-15	-12.9	3.380892778	3.38	-12.9
-12.8	3.95E-15	-12.8	3.38084281	3.38	-12.8
-12.7	3.99E-15	-12.7	3.380792841	3.38	-12.7
-12.6	3.96E-15	-12.6	3.380742871	3.38	-12.6
-12.5	3.96E-15	-12.5	3.380682902	3.38	-12.5
-12.4	4.00E-15	-12.4	3.380632932	3.38	-12.4
-12.3	4.05E-15	-12.3	3.380572962	3.38	-12.3
-12.2	4.00E-15	-12.2	3.380512991	3.38	-12.2
-12.1	4.00E-15	-12.1	3.38045302	3.38	-12.1
-12	4.04E-15	-12	3.380393049	3.38	-12
-11.9	4.08E-15	-11.9	3.380333078	3.38	-11.9
-11.8	4.13E-15	-11.8	3.380263106	3.38	-11.8
-11.7	3.89E-15	-11.7	3.380193134	3.38	-11.7
-11.6	3.92E-15	-11.6	3.380133162	3.38	-11.6
-11.5	3.96E-15	-11.5	3.380053189	3.38	-11.5
-11.4	4.00E-15	-11.4	3.379983216	3.38	-11.4
-11.3	3.68E-15	-11.3	3.379903243	3.38	-11.3
-11.2	3.72E-15	-11.2	3.37982327	3.38	-11.2
-11.1	3.61E-15	-11.1	3.379743297	3.38	-11.1
-11	3.57E-15	-11	3.379663323	3.38	-11
-10.9	3.60E-15	-10.9	3.379573349	3.38	-10.9
-10.8	3.63E-15	-10.8	3.379483375	3.38	-10.8
-10.7	3.67E-15	-10.7	3.3793934	3.38	-10.7
-10.6	3.70E-15	-10.6	3.379293425	3.38	-10.6
-10.5	3.74E-15	-10.5	3.379193451	3.38	-10.5
-10.4	3.77E-15	-10.4	3.379093475	3.38	-10.4
-10.3	3.71E-15	-10.3	3.3789835	3.38	-10.3
-10.2	3.54E-15	-10.2	3.378883525	3.38	-10.2
-10.1	3.58E-15	-10.1	3.378773549	3.38	-10.1
-10	3.60E-15	-10	3.378653573	3.38	-10
-9.9	3.63E-15	-9.9	3.378533597	3.38	-9.9
-9.8	3.66E-15	-9.8	3.378413621	3.38	-9.8
-9.7	3.71E-15	-9.7	3.378293644	3.38	-9.7
-9.6	3.74E-15	-9.6	3.378163667	3.38	-9.6
-9.5	3.77E-15	-9.5	3.378033691	3.38	-9.5
-9.4	3.81E-15	-9.4	3.377903714	3.38	-9.4
-9.3	3.84E-15	-9.3	3.377763736	3.38	-9.3
-9.2	3.89E-15	-9.2	3.377613759	3.38	-9.2
-9.1	3.93E-15	-9.1	3.377463782	3.38	-9.1
-9	3.65E-15	-9	3.377313804	3.38	-9
-8.9	3.51E-15	-8.9	3.377153826	3.38	-8.9
-8.8	3.54E-15	-8.8	3.376983848	3.38	-8.8
-8.7	3.58E-15	-8.7	3.37681387	3.38	-8.7
-8.6	3.60E-15	-8.6	3.376633891	3.38	-8.6
-8.5	3.63E-15	-8.5	3.376453913	3.38	-8.5
-8.4	3.65E-15	-8.4	3.376263934	3.38	-8.4
-8.3	3.68E-15	-8.3	3.376063956	3.38	-8.3
-8.2	3.73E-15	-8.2	3.375863977	3.38	-8.2
-8.1	3.39E-15	-8.1	3.375663998	3.38	-8.1
-8	3.40E-15	-8	3.375454018	3.38	-8
-7.9	3.44E-15	-7.9	3.375234039	3.38	-7.9
-7.8	3.45E-15	-7.8	3.37501406	3.38	-7.8
-7.7	3.50E-15	-7.7	3.37479408	3.37	-7.7
-7.6	3.50E-15	-7.6	3.3745541	3.37	-7.6
-7.5	3.55E-15	-7.5	3.37432412	3.37	-7.5
-7.4	3.55E-15	-7.4	3.37407414	3.37	-7.4
-7.3	3.60E-15	-7.3	3.37382416	3.37	-7.3
-7.2	3.65E-15	-7.2	3.37356418	3.37	-7.2
-7.1	3.64E-15	-7.1	3.3732942	3.37	-7.1
-7	3.70E-15	-7	3.373014219	3.37	-7
-6.9	3.74E-15	-6.9	3.372724238	3.37	-6.9
-6.8	3.73E-15	-6.8	3.372414258	3.37	-6.8
-6.7	3.80E-15	-6.7	3.372094277	3.37	-6.7
-6.6	3.53E-15	-6.6	3.371764296	3.37	-6.6
-6.5	3.53E-15	-6.5	3.371414315	3.37	-6.5
-6.4	3.58E-15	-6.4	3.371054334	3.37	-6.4
-6.3	3.63E-15	-6.3	3.370674352	3.37	-6.3
-6.2	3.62E-15	-6.2	3.370284371	3.37	-6.2
-6.1	3.67E-15	-6.1	3.369884389	3.37	-6.1
-6	3.71E-15	-6	3.369464408	3.37	-6
-5.9	3.71E-15	-5.9	3.369034426	3.37	-5.9
-5.8	3.75E-15	-5.8	3.368604444	3.37	-5.8
-5.7	3.80E-15	-5.7	3.368154462	3.37	-5.7
-5.6	3.79E-15	-5.6	3.36768448	3.37	-5.6
-5.5	3.47E-15	-5.5	3.367204498	3.37	-5.5
-5.4	3.53E-15	-5.4	3.366704516	3.37	-5.4
-5.3	3.57E-15	-5.3	3.366194533	3.37	-5.3
-5.2	3.56E-15	-5.2	3.365654551	3.37	-5.2
-5.1	3.52E-15	-5.1	3.365094568	3.37	-5.1
-5	3.65E-15	-5	3.364514586	3.36	-5
-4.9	3.66E-15	-4.9	3.363924603	3.36	-4.9
-4.8	3.65E-15	-4.8	3.36330462	3.36	-4.8
-4.7	3.54E-15	-4.7	3.362664637	3.36	-4.7
-4.6	3.69E-15	-4.6	3.362004654	3.36	-4.6
-4.5	3.56E-15	-4.5	3.361324671	3.36	-4.5
-4.4	3.68E-15	-4.4	3.360624688	3.36	-4.4
-4.3	3.82E-15	-4.3	3.359894705	3.36	-4.3
-4.2	3.78E-15	-4.2	3.359144722	3.36	-4.2
-4.1	3.82E-15	-4.1	3.358354738	3.36	-4.1
-4	3.57E-15	-4	3.357534755	3.36	-4
-3.9	3.86E-15	-3.9	3.356684771	3.36	-3.9
-3.8	3.96E-15	-3.8	3.355794787	3.36	-3.8
-3.7	3.56E-15	-3.7	3.354864804	3.35	-3.7
-3.6	3.84E-15	-3.6	3.35389482	3.35	-3.6
-3.5	3.54E-15	-3.5	3.352884836	3.35	-3.5
-3.4	3.08E-15	-3.4	3.351824852	3.35	-3.4
-3.3	3.66E-15	-3.3	3.350704868	3.35	-3.3
-3.2	3.68E-15	-3.2	3.349514884	3.35	-3.2
-3.1	3.64E-15	-3.1	3.3482449	3.35	-3.1
-3	3.69E-15	-3	3.346894915	3.35	-3
-2.9	3.73E-15	-2.9	3.345464931	3.35	-2.9
-2.8	3.78E-15	-2.8	3.343964946	3.34	-2.8
-2.7	3.82E-15	-2.7	3.342384962	3.34	-2.7
-2.6	3.87E-15	-2.6	3.340724977	3.34	-2.6
-2.5	3.87E-15	-2.5	3.338964993	3.34	-2.5
-2.4	3.91E-15	-2.4	3.337125008	3.34	-2.4
-2.3	3.93E-15	-2.3	3.335215023	3.34	-2.3
-2.2	3.67E-15	-2.2	3.333245038	3.33	-2.2
-2.1	3.71E-15	-2.1	3.331215053	3.33	-2.1
-2	3.75E-15	-2	3.329115068	3.33	-2
-1.9	3.68E-15	-1.9	3.326905083	3.33	-1.9
-1.8	3.60E-15	-1.8	3.324555098	3.32	-1.8
-1.7	3.63E-15	-1.7	3.322025113	3.32	-1.7
-1.6	3.66E-15	-1.6	3.319295128	3.32	-1.6
-1.5	3.69E-15	-1.5	3.316375143	3.32	-1.5
-1.4	3.71E-15	-1.4	3.313265157	3.31	-1.4
-1.3	3.60E-15	-1.3	3.309955172	3.31	-1.3
-1.2	3.64E-15	-1.2	3.306445186	3.31	-1.2
-1.1	3.67E-15	-1.1	3.302725201	3.30	-1.1
-1	3.70E-15	-1	3.298795215	3.30	-1
-0.9	3.48E-15	-0.9	3.294655229	3.29	-0.9
-0.8	3.54E-15	-0.8	3.290235244	3.29	-0.8
-0.7	3.57E-15	-0.7	3.285485258	3.29	-0.7
-0.6	3.62E-15	-0.6	3.280345272	3.28	-0.6
-0.5	3.66E-15	-0.5	3.274745286	3.27	-0.5
-0.4	3.50E-15	-0.4	3.2686153	3.27	-0.4
-0.3	3.54E-15	-0.3	3.261865314	3.26	-0.3
-0.2	3.56E-15	-0.2	3.254345328	3.25	-0.2
-0.1	3.44E-15	-0.1	3.245905342	3.25	-0.1
0	1.54E-30	0	3.23639	3.24	0
0.1	1.63788E-13	0.1	3.30003446	3.30	0.1
0.2	7.94732E-12	0.2	3.298390053	3.30	0.2
0.3	3.7504E-10	0.3	3.289634772	3.29	0.3
0.4	1.57954E-08	0.4	3.275307798	3.28	0.4
0.5	1.40347E-07	0.5	3.25310117	3.25	0.5
0.6	6.35114E-07	0.6	3.182395334	3.18	0.6
0.7	1.70199E-05	0.7	2.736800051	2.74	0.7
0.8	0.000230515	0.8	1.566560624	1.57	0.8
0.9	0.000681202	0.9	0.448748462	0.45	0.9
1	0.00120468	1	0.899694764	0.90	1
1.1	0.00192133	1.1	1.408974538	1.41	1.1
1.2	0.00222496	1.2	1.520512304	1.52	1.2
1.3	0.002417	1.3	1.552630775	1.55	1.3
1.4	0.00258909	1.4	1.571906877	1.57	1.4
1.5	0.00275936	1.5	1.587613676	1.58	1.5
1.6	0.0029325	1.6	1.601362027	1.60	1.6
1.7	0.00311125	1.7	1.613820578	1.61	1.7
1.8	0.003298	1.8	1.625426321	1.62	1.8
1.9	0.00349492	1.9	1.636215144	1.63	1.9
2	0.00370363	2	1.646142383	1.64	2
2.1	0.00392532	2.1	1.655222086	1.65	2.1
2.2	0.00416096	2.2	1.663567749	1.66	2.2
2.3	0.00441126	2.3	1.671492868	1.67	2.3
2.4	0.00467675	2.4	1.679290204	1.67	2.4
2.5	0.00495792	2.5	1.687081779	1.68	2.5
2.6	0.00525527	2.6	1.694919986	1.69	2.6
2.7	0.00556935	2.7	1.702756666	1.70	2.7
2.8	0.00590069	2.8	1.710433289	1.70	2.8
2.9	0.00624976	2.9	1.717791512	1.71	2.9
3	0.00661691	3	1.724792624	1.72	3
3.1	0.00700244	3.1	1.731537727	1.72	3.1
3.2	0.00740654	3.2	1.738128111	1.73	3.2
3.3	0.00782937	3.3	1.744624326	1.74	3.3
3.4	0.00827101	3.4	1.751047662	1.74	3.4
3.5	0.00873156	3.5	1.757368669	1.75	3.5
