Vdark	Idark	Vphoto	Iphoto	R	Vphoto
-20	4.77E-15	-20	2.23286	2.23	-20
-19.9	4.77E-15	-19.9	2.23282	2.23	-19.9
-19.8	4.76E-15	-19.8	2.23278	2.23	-19.8
-19.7	4.76E-15	-19.7	2.23275	2.23	-19.7
-19.6	4.75E-15	-19.6	2.23271	2.23	-19.6
-19.5	4.74E-15	-19.5	2.23267	2.23	-19.5
-19.4	4.74E-15	-19.4	2.23264	2.23	-19.4
-19.3	4.73E-15	-19.3	2.2326	2.23	-19.3
-19.2	4.73E-15	-19.2	2.23256	2.23	-19.2
-19.1	4.72E-15	-19.1	2.23252	2.23	-19.1
-19	4.72E-15	-19	2.23248	2.23	-19
-18.9	4.71E-15	-18.9	2.23244	2.23	-18.9
-18.8	4.70E-15	-18.8	2.2324	2.23	-18.8
-18.7	4.70E-15	-18.7	2.23236	2.23	-18.7
-18.6	4.69E-15	-18.6	2.23232	2.23	-18.6
-18.5	4.69E-15	-18.5	2.23228	2.23	-18.5
-18.4	4.68E-15	-18.4	2.23224	2.23	-18.4
-18.3	4.67E-15	-18.3	2.232200022	2.23	-18.3
-18.2	4.67E-15	-18.2	2.232160114	2.23	-18.2
-18.1	4.66E-15	-18.1	2.232110202	2.23	-18.1
-18	4.66E-15	-18	2.232070287	2.23	-18
-17.9	4.65E-15	-17.9	2.23203037	2.23	-17.9
-17.8	4.65E-15	-17.8	2.231980449	2.23	-17.8
-17.7	4.64E-15	-17.7	2.231940526	2.23	-17.7
-17.6	4.63E-15	-17.6	2.231900601	2.23	-17.6
-17.5	4.63E-15	-17.5	2.231850673	2.23	-17.5
-17.4	4.62E-15	-17.4	2.231810744	2.23	-17.4
-17.3	4.62E-15	-17.3	2.231760812	2.23	-17.3
-17.2	4.61E-15	-17.2	2.231720879	2.23	-17.2
-17.1	4.60E-15	-17.1	2.231670943	2.23	-17.1
-17	4.60E-15	-17	2.231621006	2.23	-17
-16.9	4.59E-15	-16.9	2.231581068	2.23	-16.9
-16.8	4.59E-15	-16.8	2.231531128	2.23	-16.8
-16.7	4.58E-15	-16.7	2.231481187	2.23	-16.7
-16.6	4.58E-15	-16.6	2.231431244	2.23	-16.6
-16.5	4.57E-15	-16.5	2.2313813	2.23	-16.5
-16.4	4.56E-15	-16.4	2.231331355	2.23	-16.4
-16.3	4.56E-15	-16.3	2.231281408	2.23	-16.3
-16.2	4.55E-15	-16.2	2.231231461	2.23	-16.2
