Vdark	Idark	Vphoto	Iphoto	R	Vphoto
-20	4.28E-15	-20	1.52761	1.53	-20
-19.9	4.28E-15	-19.9	1.5276	1.53	-19.9
-19.8	4.27E-15	-19.8	1.52759	1.53	-19.8
-19.7	4.27E-15	-19.7	1.52759	1.53	-19.7
-19.6	4.27E-15	-19.6	1.52758	1.53	-19.6
-19.5	4.26E-15	-19.5	1.52757	1.53	-19.5
-19.4	4.26E-15	-19.4	1.52756	1.53	-19.4
-19.3	4.26E-15	-19.3	1.52755	1.53	-19.3
-19.2	4.25E-15	-19.2	1.52754	1.53	-19.2
-19.1	4.25E-15	-19.1	1.52753	1.53	-19.1
-19	4.25E-15	-19	1.52752	1.53	-19
-18.9	4.24E-15	-18.9	1.52751	1.53	-18.9
-18.8	4.24E-15	-18.8	1.52751	1.53	-18.8
-18.7	4.24E-15	-18.7	1.5275	1.53	-18.7
-18.6	4.23E-15	-18.6	1.52749	1.53	-18.6
-18.5	4.23E-15	-18.5	1.52748	1.53	-18.5
-18.4	4.22E-15	-18.4	1.52747	1.53	-18.4
-18.3	4.22E-15	-18.3	1.527460022	1.53	-18.3
-18.2	4.22E-15	-18.2	1.527450114	1.53	-18.2
-18.1	4.21E-15	-18.1	1.527440202	1.53	-18.1
-18	4.21E-15	-18	1.527420287	1.53	-18
-17.9	4.21E-15	-17.9	1.52741037	1.53	-17.9
-17.8	4.20E-15	-17.8	1.527400449	1.53	-17.8
-17.7	4.21E-15	-17.7	1.527390526	1.53	-17.7
-17.6	4.20E-15	-17.6	1.527380601	1.53	-17.6
-17.5	4.19E-15	-17.5	1.527370673	1.53	-17.5
-17.4	4.19E-15	-17.4	1.527360744	1.53	-17.4
-17.3	4.19E-15	-17.3	1.527350812	1.53	-17.3
-17.2	4.19E-15	-17.2	1.527330879	1.53	-17.2
-17.1	4.18E-15	-17.1	1.527320943	1.53	-17.1
-17	4.18E-15	-17	1.527311006	1.53	-17
-16.9	4.17E-15	-16.9	1.527301068	1.53	-16.9
-16.8	4.18E-15	-16.8	1.527281128	1.53	-16.8
-16.7	4.17E-15	-16.7	1.527271187	1.53	-16.7
-16.6	4.16E-15	-16.6	1.527261244	1.53	-16.6
-16.5	4.16E-15	-16.5	1.5272513	1.53	-16.5
-16.4	4.17E-15	-16.4	1.527231355	1.53	-16.4
-16.3	4.15E-15	-16.3	1.527221408	1.53	-16.3
-16.2	4.16E-15	-16.2	1.527201461	1.53	-16.2
-16.1	4.14E-15	-16.1	1.527191512	1.53	-16.1
-16	4.15E-15	-16	1.527181562	1.53	-16
-15.9	4.13E-15	-15.9	1.527161612	1.53	-15.9
-15.8	4.13E-15	-15.8	1.52715166	1.53	-15.8
-15.7	4.14E-15	-15.7	1.527131708	1.53	-15.7
-15.6	4.12E-15	-15.6	1.527121755	1.53	-15.6
-15.5	4.12E-15	-15.5	1.5271018	1.53	-15.5
-15.4	4.13E-15	-15.4	1.527091845	1.53	-15.4
-15.3	4.13E-15	-15.3	1.52707189	1.53	-15.3
-15.2	4.11E-15	-15.2	1.527061933	1.53	-15.2
-15.1	4.11E-15	-15.1	1.527041976	1.53	-15.1
-15	4.12E-15	-15	1.527032018	1.53	-15
-14.9	4.11E-15	-14.9	1.52701206	1.53	-14.9
-14.8	4.09E-15	-14.8	1.527002101	1.53	-14.8
-14.7	4.10E-15	-14.7	1.526982141	1.53	-14.7
-14.6	4.10E-15	-14.6	1.526962181	1.53	-14.6
-14.5	4.11E-15	-14.5	1.52695222	1.53	-14.5
-14.4	4.07E-15	-14.4	1.526932258	1.53	-14.4
-14.3	4.08E-15	-14.3	1.526912296	1.53	-14.3
-14.2	4.08E-15	-14.2	1.526902333	1.53	-14.2
-14.1	4.08E-15	-14.1	1.52688237	1.53	-14.1
-14	4.09E-15	-14	1.526862407	1.53	-14
-13.9	4.09E-15	-13.9	1.526842443	1.53	-13.9
-13.8	4.04E-15	-13.8	1.526832478	1.53	-13.8
-13.7	4.05E-15	-13.7	1.526812513	1.53	-13.7
-13.6	4.05E-15	-13.6	1.526792548	1.53	-13.6
-13.5	4.06E-15	-13.5	1.526772582	1.53	-13.5
-13.4	4.07E-15	-13.4	1.526752616	1.53	-13.4
-13.3	4.07E-15	-13.3	1.526732649	1.53	-13.3
-13.2	4.03E-15	-13.2	1.526712682	1.53	-13.2
-13.1	4.04E-15	-13.1	1.526692714	1.53	-13.1
-13	4.05E-15	-13	1.526672746	1.53	-13
-12.9	4.05E-15	-12.9	1.526652778	1.53	-12.9
-12.8	4.05E-15	-12.8	1.52663281	1.53	-12.8
-12.7	4.02E-15	-12.7	1.526612841	1.53	-12.7
