lambda	100 nm	150 nm	200 nm	250 nm	300 nm	350 nm	400 nm	425 nm
670	0.0922424	0.108649	0.120123	0.112365	0.121508	0.107328	0.108996	0.121024
675	0.0857884	0.0949585	0.127311	0.117662	0.127617	0.108449	0.105396	0.112274
680	0.0814821	0.0811631	0.127141	0.119865	0.133995	0.111368	0.103545	0.106968
685	0.080094	0.0700721	0.116533	0.116875	0.139799	0.11657	0.103766	0.104115
690	0.0825387	0.0632203	0.101349	0.11503	0.14577	0.124433	0.106546	0.103542
695	0.0884128	0.0606313	0.0889972	0.118524	0.153027	0.136211	0.112931	0.105899
700	0.0959402	0.0613948	0.0814203	0.118874	0.160534	0.153519	0.125004	0.112589
705	0.103133	0.0643617	0.077433	0.109541	0.161329	0.175689	0.146495	0.126337
710	0.108766	0.0685402	0.075644	0.0967131	0.145474	0.192762	0.181471	0.151906
715	0.112525	0.0732268	0.075226	0.0865019	0.119563	0.177832	0.218713	0.190508
720	0.114593	0.0779726	0.0757755	0.0799065	0.0993904	0.138077	0.210047	0.21501
725	0.115156	0.0824016	0.0767009	0.0760521	0.0879801	0.107191	0.159474	0.18551
730	0.114308	0.0860788	0.0755787	0.0731783	0.0820291	0.0907726	0.119721	0.140819
735	0.112645	0.0889005	0.0697924	0.0685461	0.0788826	0.0827529	0.0977478	0.1112
740	0.111248	0.0915009	0.065042	0.0642517	0.0771265	0.0788629	0.0859645	0.0943926
745	0.109765	0.0938869	0.0636818	0.0622151	0.0759439	0.0768593	0.0795899	0.0850098
750	0.107333	0.0951044	0.0633367	0.0612821	0.0750889	0.0757625	0.075664	0.0791055
755	0.105662	0.0963009	0.0633933	0.0608391	0.0745075	0.0752882	0.0731157	0.0750689
760	0.103925	0.0972993	0.0635832	0.0606976	0.0738489	0.0748767	0.071447	0.0723298
765	0.101939	0.0974757	0.06329	0.0605946	0.0732865	0.0747644	0.0700496	0.0698925
770	0.100706	0.0980773	0.0630804	0.0606493	0.0724809	0.0746214	0.06901	0.0680249
775	0.0988302	0.0976515	0.0619672	0.0604338	0.0714086	0.0743542	0.0678737	0.0659324
780	0.096655	0.0966595	0.0600006	0.0596497	0.0692776	0.0735595	0.0664055	0.0637161
785	0.0856202	0.0858306	0.0520407	0.0538574	0.0630951	0.0696412	0.0625389	0.0593001
790	0.0687658	0.0666105	0.039942	0.042455	0.0528214	0.0625804	0.0581178	0.054704
795	0.0606581	0.0566374	0.0334424	0.0357077	0.0462494	0.0566419	0.0562383	0.0531563
800	0.0565264	0.0510383	0.0305698	0.0327014	0.0444927	0.0536088	0.0556061	0.0534493
805	0.0545141	0.0476933	0.0318905	0.0332545	0.0457037	0.0546114	0.0558701	0.0538324
810	0.0538551	0.045669	0.0335019	0.0338874	0.0453386	0.0553691	0.0564417	0.0536147
815	0.0547018	0.0448536	0.0323965	0.0323985	0.0433272	0.0544847	0.0569807	0.0535014
820	0.0582845	0.0461059	0.0305046	0.0303456	0.0409229	0.0525838	0.0573385	0.0536235
825	0.0648872	0.0501595	0.0287939	0.0285066	0.0386103	0.0501935	0.0574683	0.0539288
830	0.0672691	0.0529094	0.0273271	0.0269197	0.0365153	0.0475773	0.0574483	0.054563
835	0.0598699	0.048703	0.026028	0.0255261	0.0347309	0.0451445	0.057444	0.055604
840	0.0523216	0.0432264	0.0248669	0.0243037	0.0333924	0.0432477	0.0577264	0.0573825
845	0.0483244	0.0399008	0.0238369	0.0232402	0.0326165	0.0420688	0.0583965	0.0600209
850	0.0470955	0.038548	0.0229246	0.0223139	0.0319417	0.0408742	0.0579702	0.0615361
855	0.0466995	0.0380454	0.0221096	0.021498	0.0306881	0.0387292	0.0555923	0.0606911
860	0.0434408	0.0359243	0.0213718	0.0207686	0.0294898	0.0368161	0.0535826	0.0602269
865	0.0388327	0.0328126	0.0206952	0.0201081	0.0288196	0.0359722	0.0529745	0.0614485
870	0.0356955	0.0305488	0.0200691	0.0195061	0.0287225	0.0362438	0.0535421	0.0639009
875	0.0337505	0.029068	0.019488	0.0189573	0.0286849	0.0363161	0.0528559	0.0638436
880	0.032453	0.0280545	0.0189509	0.0184582	0.0276987	0.0341404	0.0481809	0.0578795
885	0.031556	0.0273655	0.0184604	0.0180021	0.0261151	0.0308962	0.0423675	0.0505866
890	0.0309687	0.0269683	0.0180163	0.0175713	0.0247511	0.0282735	0.0379701	0.0452978
895	0.0306685	0.0268828	0.0176024	0.0171381	0.0236953	0.0264191	0.0349476	0.0417713
900	0.0306704	0.0271235	0.0171809	0.0166829	0.0228081	0.0250574	0.0327975	0.039286
905	0.0306909	0.0273436	0.0167231	0.0162253	0.0220313	0.0239774	0.0311362	0.0373608
910	0.029958	0.0268009	0.0162736	0.0158251	0.0214022	0.0230018	0.0294476	0.0352599
915	0.0289003	0.0259955	0.0159414	0.0155112	0.0209222	0.0219631	0.0272861	0.0323882
920	0.0280168	0.0254828	0.0157198	0.0152075	0.0204642	0.02098	0.0252308	0.0296371
925	0.0270146	0.024961	0.0154057	0.0148234	0.0199089	0.0200255	0.0234746	0.027329
930	0.0261499	0.0244577	0.0149792	0.0144389	0.0194564	0.0192624	0.022007	0.0253912
935	0.0259389	0.0245125	0.0147643	0.0141839	0.0192226	0.0188715	0.0210462	0.0240537
940	0.0257572	0.0248015	0.0146601	0.0139231	0.0188764	0.0184145	0.0201922	0.022891
945	0.0253919	0.024899	0.0142809	0.013547	0.0184695	0.0178436	0.0191893	0.0215639
950	0.0260308	0.0258629	0.014102	0.0133038	0.0183332	0.0176387	0.0185884	0.020688
955	0.0271794	0.0276186	0.0140984	0.0130995	0.0181162	0.0173187	0.0179898	0.0198656
960	0.0286724	0.0296431	0.0137363	0.0127429	0.0179439	0.0169777	0.0172704	0.0188796
965	0.0304461	0.0317798	0.0138012	0.0125955	0.0180062	0.0169777	0.016993	0.0184089
970	0.0291857	0.0309259	0.0136742	0.0123399	0.0177092	0.0166091	0.0163957	0.0175972
975	0.0269507	0.0289432	0.0135617	0.0120971	0.0174383	0.0164645	0.0160815	0.0171019
980	0.0248442	0.027399	0.013724	0.0119892	0.017057	0.0161296	0.0156562	0.0165398
985	0.0232195	0.0261402	0.0135312	0.0116886	0.0167605	0.0159147	0.0152911	0.0160111
990	0.0223922	0.0258661	0.0138719	0.0116702	0.0165532	0.0157159	0.0150216	0.0156459
995	0.0214826	0.0253629	0.0137194	0.0113723	0.0163329	0.0155362	0.0146996	0.0151757
1000	0.0213124	0.0257719	0.0141832	0.0114143	0.0162495	0.0154267	0.0145172	0.0149142
1005	0.0210249	0.0259413	0.014148	0.0111505	0.0161509	0.0153612	0.0143238	0.014588
1010	0.0214242	0.0270463	0.0147022	0.0112423	0.0162162	0.0153492	0.0142001	0.0143739
1015	0.0222532	0.0284897	0.01491	0.011069	0.016379	0.0155399	0.0142651	0.014315
1020	0.0236378	0.0308232	0.0154625	0.0111571	0.016737	0.015759	0.0142829	0.0141851
1025	0.0258491	0.0337546	0.016132	0.0112094	0.0172868	0.0162813	0.0146807	0.014464
1030	0.0263325	0.0346031	0.0166258	0.0112153	0.0175171	0.0164336	0.014687	0.0143239
1035	0.0252872	0.0334408	0.0178329	0.0115975	0.0174118	0.0163341	0.0146198	0.0142491
1040	0.0226654	0.0305746	0.0186598	0.0116835	0.0169464	0.0160285	0.0143649	0.013969
1045	0.0203523	0.028308	0.0200625	0.0121979	0.0167051	0.0157997	0.0140731	0.0136258
1050	0.0191131	0.0270931	0.0219542	0.0128897	0.0167231	0.0158844	0.0141402	0.0136614
1055	0.0177785	0.0258337	0.023766	0.0135151	0.0168267	0.0160826	0.0142324	0.0136349
1060	0.0170657	0.0253584	0.0265813	0.0148516	0.0173565	0.0165753	0.014503	0.0137475
1065	0.0170244	0.025486	0.030265	0.0166469	0.0182355	0.0174904	0.0152188	0.0142865
1070	0.0168171	0.0254692	0.0345334	0.0188675	0.0194658	0.0188383	0.0162668	0.0150355
1075	0.0170515	0.0260757	0.0404882	0.0224992	0.0215492	0.0209563	0.0178871	0.0162139
1080	0.0182229	0.0276701	0.0486933	0.0280569	0.024603	0.0240486	0.0204325	0.0182028
1085	0.0196977	0.0295172	0.059085	0.0360337	0.0280329	0.027572	0.0235181	0.0206632
1090	0.0209007	0.0309551	0.0723255	0.0481365	0.0306684	0.0301968	0.0259281	0.0225845
1095	0.0212292	0.0311364	0.0889126	0.0664735	0.0319502	0.0314536	0.0271333	0.0235449
1100	0.020172	0.0295912	0.107357	0.0913645	0.0331449	0.0328764	0.0284286	0.024562
1105	0.0182232	0.0271252	0.123874	0.11821	0.0357205	0.0359668	0.0312312	0.0267561
1110	0.0162318	0.0247612	0.133897	0.136335	0.0398847	0.0406385	0.035697	0.0303145
1115	0.0147695	0.0230854	0.134849	0.137946	0.0437886	0.044434	0.0399017	0.0338759
1120	0.0139935	0.0221852	0.127834	0.126969	0.0443301	0.0440113	0.040583	0.0349061
1125	0.0137144	0.0218035	0.116246	0.111937	0.0410055	0.0395736	0.037279	0.0327575
1130	0.0136963	0.0216908	0.103306	0.0979198	0.0362483	0.0340954	0.0325685	0.0292532
1135	0.0138977	0.021835	0.0910068	0.0864554	0.0320332	0.0294705	0.0283745	0.0259577
1140	0.0144562	0.0223959	0.0802487	0.0775501	0.0289805	0.0261097	0.0252034	0.0233751
1145	0.0154593	0.0234242	0.0712384	0.0707578	0.0270563	0.0238592	0.0229714	0.021504
1150	0.0166151	0.0245017	0.0638213	0.0655516	0.0260266	0.0224461	0.021468	0.020211
1155	0.0171353	0.0247227	0.0576988	0.0614504	0.0255572	0.0215453	0.0204507	0.0193234
1160	0.0164736	0.0236337	0.0525684	0.0580752	0.0252326	0.0207869	0.0196452	0.0186347
1165	0.0150609	0.0218444	0.0481904	0.0551579	0.0247945	0.0199584	0.0188679	0.0179924
1170	0.0136259	0.0201265	0.0443983	0.0525295	0.0243374	0.0191348	0.0181307	0.0173863
1175	0.0125225	0.0188046	0.0410822	0.0500881	0.0240551	0.0184562	0.017506	0.016863
1180	0.0118205	0.0179244	0.0381673	0.0477758	0.0240326	0.0179784	0.0170213	0.0164429
1185	0.0115128	0.0174671	0.0355961	0.0455604	0.0242739	0.0177013	0.0166703	0.0161213
1190	0.0115971	0.0174221	0.0333201	0.0434232	0.024758	0.0176134	0.016439	0.0158868
1195	0.0120707	0.0177723	0.031297	0.0413558	0.0254574	0.0177098	0.0163165	0.015728
1200	0.0128504	0.0184007	0.029489	0.0393554	0.0263267	0.0179859	0.0162951	0.0156366
1205	0.0136217	0.0189433	0.0278638	0.0374236	0.0272659	0.0184142	0.0163634	0.0156056
1210	0.0138452	0.01886	0.0263944	0.0355651	0.028088	0.0189109	0.0164939	0.015626
1215	0.0132437	0.0179725	0.0250585	0.0337846	0.02861	0.0193702	0.0166499	0.0156863
1220	0.0121598	0.0166977	0.0238386	0.0320874	0.0288321	0.0197902	0.0168233	0.0157807
1225	0.011109	0.0155273	0.0227209	0.0304785	0.0288857	0.0202756	0.017044	0.0159149
