100 nm


lambda, Y
900, 0.180451
905, 0.185763
910, 0.191152
915, 0.197109
920, 0.203358
925, 0.210306
930, 0.218428
935, 0.226647
940, 0.23453
945, 0.243773
950, 0.253501
955, 0.262258
960, 0.271443
965, 0.277522
970, 0.28218
975, 0.289636
980, 0.297302
985, 0.307496
990, 0.316165
995, 0.326602
1000, 0.335185
1005, 0.345376
1010, 0.353315
1015, 0.362482
1020, 0.368292
1025, 0.37264
1030, 0.37361
1035, 0.374468
1040, 0.37915
1045, 0.383382
1050, 0.388678
1055, 0.393979
1060, 0.397068
1065, 0.400478
1070, 0.403589
1075, 0.404317
1080, 0.403998
1085, 0.402909
1090, 0.39913
1095, 0.393769
1100, 0.39053
1105, 0.389968
1110, 0.38983
1115, 0.38876
1120, 0.387079
1125, 0.38541
1130, 0.383666
1135, 0.381229
1140, 0.377555
1145, 0.372495
1150, 0.366475
1155, 0.360708
1160, 0.356493
1165, 0.353854
1170, 0.351902
1175, 0.349922
1180, 0.347602
1185, 0.344841
1190, 0.341592
1195, 0.337805
1200, 0.33347
1205, 0.328833
1210, 0.324561
1215, 0.321269
1220, 0.318884
1225, 0.316913
1230, 0.31497
1235, 0.312858
1240, 0.310481
1245, 0.307791
1250, 0.304852
1255, 0.301956
1260, 0.299481
1265, 0.297511
1270, 0.29579
1275, 0.294048
1280, 0.292175
1285, 0.290227
1290, 0.288384
1295, 0.286891
1300, 0.285875
1305, 0.285139
1310, 0.284262
1315, 0.282947
1320, 0.28129
1325, 0.279779
1330, 0.278936
1335, 0.278804
1340, 0.278781
1345, 0.278125
1350, 0.276779
1355, 0.275587
1360, 0.275418
1365, 0.275975
1370, 0.275927
1375, 0.274697
1380, 0.273534
1385, 0.273834
1390, 0.274786
1395, 0.274394
1400, 0.27296
1405, 0.272925
1410, 0.274417
1415, 0.274573
1420, 0.273129
1425, 0.273452
1430, 0.275577
1435, 0.275602
1440, 0.274371
1445, 0.276301
1450, 0.279023
1455, 0.278306
1460, 0.279139
1465, 0.284674
1470, 0.287604
1475, 0.289296
1480, 0.303986
1485, 0.377481
1490, 0.406694
1495, 0.395431
1500, 0.426671
1505, 0.412217
1510, 0.383026
1515, 0.363593
1520, 0.353423
1525, 0.346716
1530, 0.343555
1535, 0.345906
1540, 0.349873
