100 nm


lambda, Y
780, 0.0966595
785, 0.0858306
790, 0.0666105
795, 0.0566374
800, 0.0510383
805, 0.0476933
810, 0.045669
815, 0.0448536
820, 0.0461059
825, 0.0501595
830, 0.0529094
835, 0.048703
840, 0.0432264
845, 0.0399008
850, 0.038548
855, 0.0380454
860, 0.0359243
865, 0.0328126
870, 0.0305488
875, 0.029068
880, 0.0280545
885, 0.0273655
890, 0.0269683
895, 0.0268828
900, 0.0271235
905, 0.0273436
910, 0.0268009
915, 0.0259955
920, 0.0254828
925, 0.024961
930, 0.0244577
935, 0.0245125
940, 0.0248015
945, 0.024899
950, 0.0258629
955, 0.0276186
960, 0.0296431
965, 0.0317798
970, 0.0309259
975, 0.0289432
980, 0.027399
985, 0.0261402
990, 0.0258661
995, 0.0253629
1000, 0.0257719
1005, 0.0259413
1010, 0.0270463
1015, 0.0284897
1020, 0.0308232
1025, 0.0337546
1030, 0.0346031
1035, 0.0334408
1040, 0.0305746
1045, 0.028308
1050, 0.0270931
1055, 0.0258337
1060, 0.0253584
1065, 0.025486
1070, 0.0254692
1075, 0.0260757
1080, 0.0276701
1085, 0.0295172
1090, 0.0309551
1095, 0.0311364
1100, 0.0295912
1105, 0.0271252
1110, 0.0247612
1115, 0.0230854
1120, 0.0221852
1125, 0.0218035
1130, 0.0216908
1135, 0.021835
1140, 0.0223959
1145, 0.0234242
1150, 0.0245017
1155, 0.0247227
1160, 0.0236337
1165, 0.0218444
1170, 0.0201265
1175, 0.0188046
1180, 0.0179244
1185, 0.0174671
1190, 0.0174221
1195, 0.0177723
1200, 0.0184007
1205, 0.0189433
1210, 0.01886
1215, 0.0179725
1220, 0.0166977
1225, 0.0155273
1230, 0.0146899
1235, 0.0142307
1240, 0.0141278
1245, 0.0143097
1250, 0.0145934
1255, 0.0146635
1260, 0.0142817
1265, 0.0135447
1270, 0.0127427
1275, 0.012078
1280, 0.011614
1285, 0.0113286
1290, 0.0111335
1295, 0.0108943
1300, 0.0105351
1305, 0.0101126
1310, 0.00971463
1315, 0.00935107
1320, 0.00897436
1325, 0.00855466
1330, 0.00813436
1335, 0.0077977
1340, 0.00755761
1345, 0.00731319
1350, 0.00696732
1355, 0.00656699
1360, 0.00627131
1365, 0.0061543
1370, 0.00608826
1375, 0.00590445
1380, 0.00564357
1385, 0.00550829
1390, 0.0055364
1395, 0.00551523
1400, 0.00533939
1405, 0.00521352
1410, 0.00528162
1415, 0.005338
1420, 0.00522744
1425, 0.00517529
1430, 0.00532572
1435, 0.0054279
1440, 0.00539262
1445, 0.00551455
1450, 0.00581869
1455, 0.00601698
1460, 0.00622244
1465, 0.00678314
1470, 0.00759465
1475, 0.00850038
1480, 0.0105348
1485, 0.0194832
1490, 0.0175258
1495, 0.0197444
1500, 0.0252985
1505, 0.0260609
1510, 0.0248541
1515, 0.0256418
1520, 0.0271528
1525, 0.0290402
1530, 0.0313243
1535, 0.0325358
1540, 0.0329843
1545, 0.0319596
1550, 0.0294394
1555, 0.0264907
1560, 0.0227822
1565, 0.0195385
1570, 0.0165366
1575, 0.0138654
1580, 0.0119264
1585, 0.0100067
1590, 0.00873651
1595, 0.00752664
1600, 0.00656357

200 nm


lambda, Y
300, 0.155465
305, 0.161308
310, 0.169764
315, 0.172467
320, 0.17945
325, 0.18007
330, 0.185168
335, 0.187849
340, 0.19073
345, 0.1908
350, 0.190932
355, 0.188717
360, 0.188597
365, 0.187889
370, 0.19345
375, 0.201405
380, 0.208003
385, 0.211476
390, 0.216508
395, 0.222555
400, 0.218725
405, 0.211085
410, 0.210698
415, 0.217171
420, 0.226647
425, 0.222698
430, 0.202165
435, 0.197608
440, 0.19909
445, 0.204699
450, 0.209078
455, 0.211371
460, 0.211501
465, 0.210249
470, 0.20809
475, 0.205608
480, 0.202522
485, 0.201937
490, 0.202727
495, 0.205416
500, 0.210561
505, 0.218464
510, 0.22093
515, 0.206865
520, 0.188333
525, 0.173698
530, 0.162083
535, 0.152316
540, 0.144391
545, 0.137836
550, 0.13227
555, 0.127445
560, 0.12293
565, 0.118306
570, 0.113137
575, 0.108152
580, 0.104477
585, 0.101663
590, 0.0989843
595, 0.096729
600, 0.0949514
605, 0.0934399
610, 0.0920409
615, 0.090589
620, 0.0889601
625, 0.0875064
630, 0.0869563
635, 0.0870638
640, 0.0876694
645, 0.0899117
650, 0.0924413
655, 0.0969243
660, 0.102551
665, 0.110956
670, 0.120123
675, 0.127311
680, 0.127141
685, 0.116533
690, 0.101349
695, 0.0889972
700, 0.0814203
705, 0.077433
710, 0.075644
715, 0.075226
720, 0.0757755
725, 0.0767009
730, 0.0755787
735, 0.0697924
740, 0.065042
745, 0.0636818
750, 0.0633367
755, 0.0633933
760, 0.0635832
765, 0.06329
770, 0.0630804
775, 0.0619672
780, 0.0600006
785, 0.0520407
790, 0.039942
795, 0.0334424
800, 0.0305698
805, 0.0318905
810, 0.0335019
815, 0.0323965
820, 0.0305046
825, 0.0287939
830, 0.0273271
835, 0.026028
840, 0.0248669
845, 0.0238369
850, 0.0229246
855, 0.0221096
860, 0.0213718
865, 0.0206952
870, 0.0200691
875, 0.019488
880, 0.0189509
885, 0.0184604
890, 0.0180163
895, 0.0176024
900, 0.0171809
905, 0.0167231
910, 0.0162736
915, 0.0159414
920, 0.0157198
925, 0.0154057
930, 0.0149792
935, 0.0147643
940, 0.0146601
945, 0.0142809
950, 0.014102
955, 0.0140984
960, 0.0137363
965, 0.0138012
970, 0.0136742
975, 0.0135617
980, 0.013724
985, 0.0135312
990, 0.0138719
995, 0.0137194
1000, 0.0141832
1005, 0.014148
1010, 0.0147022
1015, 0.01491
1020, 0.0154625
1025, 0.016132
1030, 0.0166258
1035, 0.0178329
1040, 0.0186598
1045, 0.0200625
1050, 0.0219542
1055, 0.023766
1060, 0.0265813
1065, 0.030265
1070, 0.0345334
1075, 0.0404882
1080, 0.0486933
1085, 0.059085
1090, 0.0723255
1095, 0.0889126
1100, 0.107357
