lambda	100 nm	150 nm	200 nm	250 nm	300 nm	350 nm	400 nm	425 nm
655	0.0886391	0.0554169	0.0368375	0.0323675	0.0190898	0.015685	0.0235115	0.0414058
660	0.0932426	0.0601158	0.0392576	0.0351483	0.0214271	0.0161595	0.0195025	0.0355448
665	0.101847	0.0660574	0.0434298	0.0403175	0.0253342	0.0175166	0.016266	0.0296832
670	0.114283	0.0722911	0.0500033	0.0494318	0.0306559	0.0191523	0.0141398	0.0231031
675	0.130245	0.0775961	0.0586923	0.063633	0.0358886	0.0205725	0.0133359	0.0170307
680	0.148249	0.0810015	0.0667876	0.0803912	0.0386447	0.0215893	0.0131648	0.0136467
685	0.165187	0.082144	0.0693581	0.0890716	0.0379995	0.0222327	0.0131478	0.0122686
690	0.177157	0.0813177	0.0648987	0.0823837	0.035031	0.0230039	0.0132102	0.0118311
695	0.181174	0.0791217	0.0570123	0.0670256	0.0309586	0.0234442	0.0133964	0.0118397
700	0.17679	0.0761259	0.0493051	0.050947	0.0260572	0.0237695	0.0137802	0.0123067
705	0.16607	0.0727459	0.043241	0.0388242	0.0201241	0.0233783	0.0144501	0.013272
710	0.152063	0.0692594	0.0390881	0.0319028	0.0143479	0.0200479	0.0154091	0.0150896
715	0.137328	0.065846	0.0368921	0.028803	0.0111419	0.0148631	0.0160457	0.0178541
720	0.123395	0.0626066	0.0370144	0.0284394	0.0103713	0.0110589	0.0150074	0.0194989
725	0.110903	0.0595744	0.0403536	0.0310147	0.0105164	0.0102143	0.0132146	0.01781
730	0.100007	0.0567565	0.0460947	0.0365978	0.0108132	0.010736	0.0122306	0.0149763
735	0.0907373	0.0542094	0.0452571	0.0379633	0.0110799	0.0113785	0.0119196	0.013361
740	0.0829948	0.0519841	0.0371016	0.031799	0.0113184	0.0120054	0.0119332	0.0126136
745	0.0763583	0.0499536	0.030761	0.026736	0.0115636	0.0126865	0.0121133	0.0124015
750	0.0706327	0.0480882	0.0272718	0.0241432	0.0118536	0.0131595	0.012402	0.0125067
755	0.0659896	0.046583	0.0254693	0.0229313	0.0122451	0.0138431	0.0128079	0.0127896
760	0.0619137	0.0451812	0.0245427	0.0224703	0.0127951	0.0147425	0.0133813	0.013348
765	0.0585436	0.0440289	0.0243524	0.0226704	0.0135973	0.015672	0.0142075	0.0140994
770	0.0557882	0.0431016	0.0246869	0.0233224	0.014817	0.0173674	0.0154743	0.0153127
775	0.0535484	0.0424108	0.0258044	0.024787	0.0167486	0.0199209	0.017512	0.0172172
780	0.0519203	0.0419918	0.0279083	0.0272982	0.020003	0.023982	0.0210254	0.0203936
785	0.0506516	0.0409698	0.0311232	0.0316722	0.0255456	0.031819	0.0272219	0.0259566
790	0.049451	0.0372621	0.032883	0.0336372	0.031424	0.0432409	0.0372199	0.0345894
795	0.0499647	0.0352007	0.0380863	0.0364573	0.0384436	0.0582555	0.0541909	0.0499852
800	0.0517925	0.0346262	0.0480147	0.0414027	0.0422538	0.0645891	0.0665182	0.0628091
805	0.0553988	0.0354843	0.0534845	0.043298	0.0366805	0.0531134	0.0557857	0.0537796
810	0.0616957	0.0381907	0.0429916	0.0364564	0.0280527	0.0404733	0.0413922	0.0398625
815	0.0723229	0.0437212	0.0313053	0.0287814	0.0222337	0.0333129	0.0335248	0.0320094
820	0.090499	0.0541923	0.0247083	0.0240797	0.0190302	0.029498	0.0301987	0.0287869
825	0.116042	0.0704053	0.021252	0.0213548	0.0173876	0.0275917	0.0294866	0.0282026
830	0.125313	0.0785525	0.0193758	0.0196782	0.0167229	0.0272455	0.0306145	0.0294435
835	0.103977	0.0659436	0.0183211	0.0185819	0.0168476	0.0279466	0.033599	0.0328849
840	0.0841199	0.0524621	0.0177175	0.017822	0.0178162	0.0300646	0.0390216	0.0389511
845	0.0758894	0.046328	0.0173806	0.0172652	0.0194169	0.033408	0.0464452	0.0478452
850	0.0762744	0.045986	0.0172172	0.0168407	0.0197735	0.0340148	0.049587	0.0529667
855	0.0803772	0.0484088	0.0171779	0.0165111	0.0183286	0.0313203	0.0469596	0.0516832
860	0.0776811	0.0467985	0.0172341	0.0162558	0.017777	0.0307906	0.0476897	0.0542506
865	0.0698984	0.041875	0.0173676	0.0160615	0.0188794	0.0337189	0.0545455	0.06414
870	0.0649741	0.0386813	0.017566	0.0159184	0.0212097	0.0391969	0.0659225	0.0800669
875	0.0629545	0.0373821	0.0178196	0.0158184	0.022656	0.0421818	0.0718064	0.0889667
880	0.0625314	0.0372003	0.0181204	0.0157547	0.0204563	0.0367297	0.061413	0.0762117
885	0.0629833	0.0377	0.0184607	0.0157228	0.0167407	0.0283722	0.0460927	0.0571375
890	0.0640054	0.0387162	0.0188352	0.0157233	0.0140858	0.0225706	0.0356909	0.0442568
895	0.0655399	0.0402646	0.0192463	0.0157619	0.0125775	0.0192859	0.0299901	0.0372108
900	0.067599	0.0423926	0.0197077	0.0158436	0.0117762	0.0176041	0.0272995	0.0339936
905	0.0695376	0.0444495	0.0202358	0.0159604	0.0113832	0.0170053	0.0265688	0.0332068
910	0.0701521	0.0452496	0.0208236	0.0160869	0.0111584	0.0167048	0.026305	0.0329758
915	0.0702086	0.0455899	0.0214314	0.0162058	0.0108844	0.0156879	0.0243573	0.0304049
920	0.0705542	0.0463182	0.0220414	0.016345	0.0106253	0.0143932	0.0216167	0.0266798
925	0.0712923	0.0475166	0.0227173	0.0165461	0.0104824	0.013443	0.0195617	0.0238896
930	0.0724758	0.0491916	0.0235074	0.0167773	0.0104382	0.0128082	0.0181997	0.0220084
935	0.0738592	0.0511658	0.0243181	0.0169784	0.010459	0.0124047	0.0172493	0.0206794
940	0.0752739	0.0533535	0.025118	0.0172098	0.0105281	0.0121442	0.0165417	0.0196936
945	0.0771916	0.0561474	0.0260636	0.0175214	0.0106483	0.0119622	0.0159954	0.0188964
950	0.0797661	0.0597506	0.0270807	0.0178042	0.0108279	0.0118724	0.0155482	0.0182361
955	0.0829135	0.0642538	0.0280603	0.0181057	0.0110874	0.0118761	0.0151798	0.0176743
960	0.0869448	0.0698132	0.0292379	0.0185044	0.0114544	0.0119496	0.0148898	0.0171849
965	0.0894373	0.0736752	0.0304325	0.0188526	0.0118346	0.01205	0.014629	0.0167471
970	0.0879328	0.0731863	0.0316739	0.0192874	0.0119797	0.0120567	0.0143683	0.0163394
975	0.0850988	0.0712973	0.033124	0.0197573	0.01192	0.0119555	0.0141065	0.0159567
980	0.0827728	0.0701537	0.0344978	0.0202234	0.0118775	0.011887	0.013878	0.0156224
985	0.0818241	0.0704506	0.0361633	0.020814	0.0119313	0.0119092	0.0137056	0.0153298
