100 nm


lambda, Y
770, 0.0431016
775, 0.0424108
780, 0.0419918
785, 0.0409698
790, 0.0372621
795, 0.0352007
800, 0.0346262
805, 0.0354843
810, 0.0381907
815, 0.0437212
820, 0.0541923
825, 0.0704053
830, 0.0785525
835, 0.0659436
840, 0.0524621
845, 0.046328
850, 0.045986
855, 0.0484088
860, 0.0467985
865, 0.041875
870, 0.0386813
875, 0.0373821
880, 0.0372003
885, 0.0377
890, 0.0387162
895, 0.0402646
900, 0.0423926
905, 0.0444495
910, 0.0452496
915, 0.0455899
920, 0.0463182
925, 0.0475166
930, 0.0491916
935, 0.0511658
940, 0.0533535
945, 0.0561474
950, 0.0597506
955, 0.0642538
960, 0.0698132
965, 0.0736752
970, 0.0731863
975, 0.0712973
980, 0.0701537
985, 0.0704506
990, 0.0712868
995, 0.0728939
1000, 0.0746925
1005, 0.0771904
1010, 0.0800122
1015, 0.0839309
1020, 0.0884152
1025, 0.0929338
1030, 0.0942887
1035, 0.0916704
1040, 0.0882402
1045, 0.0855773
1050, 0.0842362
1055, 0.0837077
1060, 0.0834954
1065, 0.0838762
1070, 0.0847121
1075, 0.0858547
1080, 0.0876746
1085, 0.0900637
1090, 0.0917243
1095, 0.0909237
1100, 0.0877745
1105, 0.0841513
1110, 0.0811523
1115, 0.0789062
1120, 0.0773485
1125, 0.076416
1130, 0.0760183
1135, 0.0760757
1140, 0.0765457
1145, 0.077276
1150, 0.0776849
1155, 0.0768223
1160, 0.0744745
1165, 0.0715991
1170, 0.0690942
1175, 0.0672246
1180, 0.0659443
1185, 0.065168
1190, 0.0648448
1195, 0.064923
1200, 0.0652346
1205, 0.0653437
1210, 0.0646793
1215, 0.0631489
1220, 0.0612986
1225, 0.0596734
1230, 0.0584859
1235, 0.0577444
1240, 0.0573881
1245, 0.0572998
1250, 0.0572466
1255, 0.0568894
1260, 0.0560374
1265, 0.0548774
1270, 0.0537523
1275, 0.0528641
1280, 0.0522527
1285, 0.0518645
1290, 0.051574
1295, 0.0512164
1300, 0.0507092
1305, 0.0501198
1310, 0.0495487
1315, 0.0490245
1320, 0.0485257
1325, 0.0480417
1330, 0.0476066
1335, 0.0472655
1340, 0.0469853
1345, 0.0466602
1350, 0.0462477
1355, 0.0458588
1360, 0.0456551
1365, 0.0456338
1370, 0.0455879
1375, 0.0453696
1380, 0.0451343
1385, 0.0451422
1390, 0.0453255
1395, 0.0453332
1400, 0.0451273
1405, 0.0451189
1410, 0.0454346
1415, 0.0455912
1420, 0.0454164
1425, 0.0455016
1430, 0.0460082
1435, 0.0462068
1440, 0.0460746
1445, 0.0465395
1450, 0.0473502
1455, 0.0474837
1460, 0.0478171
1465, 0.049417
1470, 0.0507767
1475, 0.0517954
1480, 0.0568326
1485, 0.0849547
1490, 0.0960545
1495, 0.0930798
1500, 0.110396
1505, 0.109781
1510, 0.100782
1515, 0.0967559
1520, 0.0954581
1525, 0.094997
1530, 0.0967082
1535, 0.0982807
1540, 0.0995376
1545, 0.100371
1550, 0.0995834
1555, 0.0979482
1560, 0.0953657
1565, 0.0923586
1570, 0.0892628
1575, 0.0862404
1580, 0.0834797
1585, 0.0808831
1590, 0.0786959
1595, 0.0765746
1600, 0.0748452

200 nm


lambda, Y
300, 0.37049
305, 0.369354
310, 0.367419
315, 0.364982
320, 0.362329
325, 0.359669
330, 0.357138
335, 0.354868
340, 0.35304
345, 0.351835
350, 0.35136
355, 0.351746
360, 0.352583
365, 0.352655
370, 0.350836
375, 0.347432
380, 0.343439
385, 0.339657
390, 0.333227
395, 0.328482
400, 0.328662
405, 0.325539
410, 0.316075
415, 0.304143
420, 0.295473
425, 0.302836
430, 0.316386
435, 0.315019
440, 0.304547
445, 0.287142
450, 0.266802
455, 0.248063
460, 0.233243
465, 0.22207
470, 0.21336
475, 0.206712
480, 0.202693
485, 0.200493
490, 0.19868
495, 0.196063
500, 0.19152
505, 0.183196
510, 0.168803
515, 0.15315
520, 0.140738
525, 0.130006
530, 0.120121
535, 0.111071
540, 0.102886
545, 0.095502
550, 0.0887581
555, 0.0824755
560, 0.0765245
565, 0.0708055
570, 0.0650653
575, 0.0593211
580, 0.054356
585, 0.0501547
590, 0.0466179
595, 0.043644
600, 0.0411869
605, 0.0392242
610, 0.0378077
615, 0.0370872
620, 0.0370514
625, 0.0370128
630, 0.036237
635, 0.035129
640, 0.03444
645, 0.0345053
650, 0.0353645
655, 0.0368375
660, 0.0392576
665, 0.0434298
670, 0.0500033
675, 0.0586923
680, 0.0667876
685, 0.0693581
690, 0.0648987
695, 0.0570123
700, 0.0493051
705, 0.043241
710, 0.0390881
715, 0.0368921
720, 0.0370144
725, 0.0403536
730, 0.0460947
735, 0.0452571
740, 0.0371016
745, 0.030761
750, 0.0272718
755, 0.0254693
760, 0.0245427
765, 0.0243524
770, 0.0246869
775, 0.0258044
780, 0.0279083
785, 0.0311232
790, 0.032883
795, 0.0380863
800, 0.0480147
805, 0.0534845
810, 0.0429916
815, 0.0313053
820, 0.0247083
825, 0.021252
830, 0.0193758
835, 0.0183211
840, 0.0177175
845, 0.0173806
850, 0.0172172
855, 0.0171779
860, 0.0172341
865, 0.0173676
870, 0.017566
875, 0.0178196
880, 0.0181204
885, 0.0184607
890, 0.0188352
895, 0.0192463
900, 0.0197077
905, 0.0202358
910, 0.0208236
915, 0.0214314
920, 0.0220414
925, 0.0227173
930, 0.0235074
935, 0.0243181
940, 0.025118
945, 0.0260636
950, 0.0270807
955, 0.0280603
960, 0.0292379
965, 0.0304325
970, 0.0316739
975, 0.033124
980, 0.0344978
985, 0.0361633
990, 0.0377423
995, 0.0396272
1000, 0.0414397
1005, 0.0435883
1010, 0.0456512
1015, 0.0481061
1020, 0.0504735
1025, 0.0532205
1030, 0.0560353
1035, 0.059012
1040, 0.062396
1045, 0.0657461
1050, 0.0695333
1055, 0.0736658
1060, 0.0778792
1065, 0.0826641
1070, 0.0879706
1075, 0.0935215
1080, 0.0996507
1085, 0.106478
1090, 0.113451
1095, 0.119843
1100, 0.124692
1105, 0.126471
1110, 0.1239
1115, 0.117382
1120, 0.108968
1125, 0.100776
1130, 0.0938743
1135, 0.0883732
1140, 0.0839851
1145, 0.0803962
1150, 0.0773841
1155, 0.0747999
1160, 0.0725316
1165, 0.0704855
1170, 0.0685878
1175, 0.0667844
1180, 0.065044
1185, 0.0633528
1190, 0.0617075
1195, 0.0601117
1200, 0.0585707
1205, 0.0570888
1210, 0.0556699
1215, 0.054317
1220, 0.0530302
1225, 0.0518095
1230, 0.0506545
1235, 0.0495623
1240, 0.0485299
1245, 0.0475523
1250, 0.046623
1255, 0.0457341
1260, 0.0448783
1265, 0.04405
1270, 0.0432488
1275, 0.0424829
1280, 0.0417686
1285, 0.0411273
1290, 0.0405742
1295, 0.0401056
1300, 0.0396874
1305, 0.0392624
1310, 0.0387778
1315, 0.0382268
1320, 0.0376728
1325, 0.0372202
1330, 0.0369307
1335, 0.0367439
