

Frequency (GHz), Normalized response (dB)
1e-06, -3
1.12202e-06, -3
1.25893e-06, -3
1.41254e-06, -3
1.58489e-06, -3
1.77828e-06, -3
1.99526e-06, -3
2.23872e-06, -3
2.51189e-06, -3
2.81838e-06, -3
3.16228e-06, -3
3.54813e-06, -3
3.98107e-06, -3
4.46684e-06, -3
5.01187e-06, -3
5.62341e-06, -3
6.30957e-06, -3
7.07946e-06, -3
7.94328e-06, -3
8.91251e-06, -3
1e-05, -3
1.12202e-05, -3
1.25893e-05, -3
1.41254e-05, -3
1.58489e-05, -3
1.77828e-05, -3
1.99526e-05, -3
2.23872e-05, -3
2.51189e-05, -3
2.81838e-05, -3
3.16228e-05, -3
3.54813e-05, -3
3.98107e-05, -3
4.46684e-05, -3
5.01187e-05, -3
5.62341e-05, -3
6.30957e-05, -3
7.07946e-05, -3
7.94328e-05, -3
8.91251e-05, -3
0.0001, -3
0.000112202, -3
0.000125893, -3
0.000141254, -3
0.000158489, -3
0.000177828, -3
0.000199526, -3
0.000223872, -3
0.000251189, -3
0.000281838, -3
0.000316228, -3
0.000354813, -3
0.000398107, -3
0.000446684, -3
0.000501187, -3
0.000562341, -3
0.000630957, -3
0.000707946, -3
0.000794328, -3
0.000891251, -3
0.001, -3
0.00112202, -3
0.00125893, -3
0.00141254, -3
0.00158489, -3
0.00177828, -3
0.00199526, -3
0.00223872, -3
0.00251189, -3
0.00281838, -3
0.00316228, -3
0.00354813, -3
0.00398107, -3
0.00446684, -3
0.00501187, -3
0.00562341, -3
0.00630957, -3
0.00707946, -3
0.00794328, -3
0.00891251, -3
0.01, -3
0.0112202, -3
0.0125893, -3
0.0141254, -3
0.0158489, -3
0.0177828, -3
0.0199526, -3
0.0223872, -3
0.0251189, -3
0.0281838, -3
0.0316228, -3
0.0354813, -3
0.0398107, -3
0.0446684, -3
0.0501187, -3
0.0562341, -3
0.0630957, -3
0.0707946, -3
0.0794328, -3
0.0891251, -3
0.1, -3
0.112202, -3
0.125893, -3
0.141254, -3
0.158489, -3
0.177828, -3
0.199526, -3
0.223872, -3
0.251189, -3
0.281838, -3
0.316228, -3
0.354813, -3
0.398107, -3
0.446684, -3
0.501187, -3
0.562341, -3
0.630957, -3
0.707946, -3
0.794328, -3
0.891251, -3
1, -3
1.12202, -3
1.25893, -3
1.41254, -3
1.58489, -3
1.77828, -3
1.99526, -3
2.23872, -3
2.51189, -3
2.81838, -3
3.16228, -3
3.54813, -3
3.98107, -3
4.46684, -3
5.01187, -3
5.62341, -3
6.30957, -3
7.07946, -3
7.94328, -3
8.91251, -3
10, -3
11.2202, -3
12.5893, -3
14.1254, -3
15.8489, -3
17.7828, -3
19.9526, -3
22.3872, -3
25.1189, -3
28.1838, -3
31.6228, -3
35.4813, -3
39.8107, -3
44.6684, -3
50.1187, -3
56.2341, -3
63.0957, -3
70.7946, -3
79.4328, -3
89.1251, -3
100, -3
112.202, -3
125.893, -3
141.254, -3
158.489, -3
177.828, -3
199.526, -3
223.872, -3
251.189, -3
281.838, -3
316.228, -3
354.813, -3
398.107, -3
446.684, -3
501.187, -3
562.341, -3
630.957, -3
707.946, -3
794.328, -3
891.251, -3
1000, -3



Frequency (GHz), Normalized response (dB)
1e-06, 0
1.12202e-06, -1.02219e-13
1.25893e-06, -7.90749e-14
1.41254e-06, -7.23246e-14
1.58489e-06, -2.11188e-13
1.77828e-06, -2.56511e-13
1.99526e-06, -3.06656e-13
2.23872e-06, -4.33947e-13
2.51189e-06, -5.57381e-13
2.81838e-06, -7.48318e-13
3.16228e-06, -9.26719e-13
3.54813e-06, -1.1678e-12
3.98107e-06, -1.61718e-12
4.46684e-06, -2.1572e-12
5.01187e-06, -2.81873e-12
5.62341e-06, -3.44458e-12
6.30957e-06, -4.3954e-12
7.07946e-06, -5.47738e-12
7.94328e-06, -6.86794e-12
8.91251e-06, -8.85156e-12
1e-05, -1.08053e-11
1.12202e-05, -1.38391e-11
1.25893e-05, -1.74379e-11
1.41254e-05, -2.19963e-11
1.58489e-05, -2.76048e-11
1.77828e-05, -3.47177e-11
1.99526e-05, -4.38528e-11
2.23872e-05, -5.51412e-11
2.51189e-05, -6.94268e-11
2.81838e-05, -8.74037e-11
3.16228e-05, -1.10019e-10
3.54813e-05, -1.38748e-10
3.98107e-05, -1.74731e-10
4.46684e-05, -2.20175e-10
5.01187e-05, -2.77103e-10
5.62341e-05, -3.48716e-10
6.30957e-05, -4.38822e-10
7.07946e-05, -5.5264e-10
7.94328e-05, -6.96012e-10
8.91251e-05, -8.76177e-10
0.0001, -1.10373e-09
0.000112202, -1.38911e-09
0.000125893, -1.74912e-09
0.000141254, -2.2018e-09
0.000158489, -2.77179e-09
0.000177828, -3.48907e-09
0.000199526, -4.39331e-09
0.000223872, -5.53023e-09
0.000251189, -6.96201e-09
0.000281838, -8.7645e-09
0.000316228, -1.10336e-08
0.000354813, -1.38911e-08
0.000398107, -1.74882e-08
0.000446684, -2.20168e-08
0.000501187, -2.77168e-08
0.000562341, -3.48938e-08
0.000630957, -4.39286e-08
0.000707946, -5.53026e-08
0.000794328, -6.96206e-08
0.000891251, -8.76479e-08
0.001, -1.10342e-07
0.00112202, -1.38913e-07
0.00125893, -1.74881e-07
0.00141254, -2.20161e-07
0.00158489, -2.77167e-07
0.00177828, -3.48932e-07
0.00199526, -4.39279e-07
0.00223872, -5.53019e-07
0.00251189, -6.9621e-07
0.00281838, -8.76476e-07
0.00316228, -1.10342e-06
0.00354813, -1.38912e-06
0.00398107, -1.7488e-06
0.00446684, -2.20161e-06
0.00501187, -2.77166e-06
0.00562341, -3.48931e-06
0.00630957, -4.39278e-06
0.00707946, -5.53018e-06
0.00794328, -6.96208e-06
0.00891251, -8.76473e-06
0.01, -1.10341e-05
0.0112202, -1.38911e-05
0.0125893, -1.74879e-05
0.0141254, -2.20159e-05
0.0158489, -2.77163e-05
0.0177828, -3.48926e-05
0.0199526, -4.3927e-05
0.0223872, -5.53005e-05
0.0251189, -6.96188e-05
0.0281838, -8.76442e-05
0.0316228, -0.000110336
0.0354813, -0.000138903
0.0398107, -0.000174866
0.0446684, -0.000220139
0.0501187, -0.000277131
0.0562341, -0.000348876
0.0630957, -0.000439191
0.0707946, -0.000552881
0.0794328, -0.00069599
0.0891251, -0.000876128
0.1, -0.00110287
0.112202, -0.00138825
0.125893, -0.00174742
0.141254, -0.00219941
0.158489, -0.00276818
0.177828, -0.00348381
0.199526, -0.00438406
0.223872, -0.00551637
0.251189, -0.0069402
0.281838, -0.00873009
0.316228, -0.0109793
0.354813, -0.0138043
0.398107, -0.0173505
0.446684, -0.0217987
0.501187, -0.0273729
0.562341, -0.0343502
0.630957, -0.0430709
0.707946, -0.0539507
0.794328, -0.0674932
0.891251, -0.0843023
1, -0.105093
1.12202, -0.130697
1.25893, -0.16206
1.41254, -0.200229
1.58489, -0.246314
1.77828, -0.301431
1.99526, -0.366605
2.23872, -0.44265
2.51189, -0.530015
2.81838, -0.628625
3.16228, -0.73774
3.54813, -0.855874
3.98107, -0.980813
4.46684, -1.10975
5.01187, -1.23952
5.62341, -1.36693
6.30957, -1.48911
7.07946, -1.60373
7.94328, -1.70921
8.91251, -1.80476
10, -1.89031
11.2202, -1.96641
12.5893, -2.03399
14.1254, -2.0943
15.8489, -2.14865
17.7828, -2.19836
19.9526, -2.24462
22.3872, -2.28842
25.1189, -2.33051
28.1838, -2.37141
31.6228, -2.41136
35.4813, -2.45041
39.8107, -2.48848
44.6684, -2.52542
50.1187, -2.56115
56.2341, -2.59564
63.0957, -2.62901
70.7946, -2.66149
79.4328, -2.69346
89.1251, -2.72535
100, -2.75766
112.202, -2.79093
125.893, -2.82572
141.254, -2.86258
158.489, -2.90211
177.828, -2.94491
199.526, -2.99162
223.872, -3.04297
251.189, -3.09974
281.838, -3.16285
316.228, -3.23336
354.813, -3.31251
398.107, -3.40174
446.684, -3.50274
501.187, -3.61749
562.341, -3.74826
630.957, -3.89771
707.946, -4.06886
794.328, -4.26514
891.251, -4.49041
1000, -4.74896

