

Frequency (GHz), Normalized response (dB)
1e-06, -3
1.12202e-06, -3
1.25893e-06, -3
1.41254e-06, -3
1.58489e-06, -3
1.77828e-06, -3
1.99526e-06, -3
2.23872e-06, -3
2.51189e-06, -3
2.81838e-06, -3
3.16228e-06, -3
3.54813e-06, -3
3.98107e-06, -3
4.46684e-06, -3
5.01187e-06, -3
5.62341e-06, -3
6.30957e-06, -3
7.07946e-06, -3
7.94328e-06, -3
8.91251e-06, -3
1e-05, -3
1.12202e-05, -3
1.25893e-05, -3
1.41254e-05, -3
1.58489e-05, -3
1.77828e-05, -3
1.99526e-05, -3
2.23872e-05, -3
2.51189e-05, -3
2.81838e-05, -3
3.16228e-05, -3
3.54813e-05, -3
3.98107e-05, -3
4.46684e-05, -3
5.01187e-05, -3
5.62341e-05, -3
6.30957e-05, -3
7.07946e-05, -3
7.94328e-05, -3
8.91251e-05, -3
0.0001, -3
0.000112202, -3
0.000125893, -3
0.000141254, -3
0.000158489, -3
0.000177828, -3
0.000199526, -3
0.000223872, -3
0.000251189, -3
0.000281838, -3
0.000316228, -3
0.000354813, -3
0.000398107, -3
0.000446684, -3
0.000501187, -3
0.000562341, -3
0.000630957, -3
0.000707946, -3
0.000794328, -3
0.000891251, -3
0.001, -3
0.00112202, -3
0.00125893, -3
0.00141254, -3
0.00158489, -3
0.00177828, -3
0.00199526, -3
0.00223872, -3
0.00251189, -3
0.00281838, -3
0.00316228, -3
0.00354813, -3
0.00398107, -3
0.00446684, -3
0.00501187, -3
0.00562341, -3
0.00630957, -3
0.00707946, -3
0.00794328, -3
0.00891251, -3
0.01, -3
0.0112202, -3
0.0125893, -3
0.0141254, -3
0.0158489, -3
0.0177828, -3
0.0199526, -3
0.0223872, -3
0.0251189, -3
0.0281838, -3
0.0316228, -3
0.0354813, -3
0.0398107, -3
0.0446684, -3
0.0501187, -3
0.0562341, -3
0.0630957, -3
0.0707946, -3
0.0794328, -3
0.0891251, -3
0.1, -3
0.112202, -3
0.125893, -3
0.141254, -3
0.158489, -3
0.177828, -3
0.199526, -3
0.223872, -3
0.251189, -3
0.281838, -3
0.316228, -3
0.354813, -3
0.398107, -3
0.446684, -3
0.501187, -3
0.562341, -3
0.630957, -3
0.707946, -3
0.794328, -3
0.891251, -3
1, -3
1.12202, -3
1.25893, -3
1.41254, -3
1.58489, -3
1.77828, -3
1.99526, -3
2.23872, -3
2.51189, -3
2.81838, -3
3.16228, -3
3.54813, -3
3.98107, -3
4.46684, -3
5.01187, -3
5.62341, -3
6.30957, -3
7.07946, -3
7.94328, -3
8.91251, -3
10, -3
11.2202, -3
12.5893, -3
14.1254, -3
15.8489, -3
17.7828, -3
19.9526, -3
22.3872, -3
25.1189, -3
28.1838, -3
31.6228, -3
35.4813, -3
39.8107, -3
44.6684, -3
50.1187, -3
56.2341, -3
63.0957, -3
70.7946, -3
79.4328, -3
89.1251, -3
100, -3
112.202, -3
125.893, -3
141.254, -3
158.489, -3
177.828, -3
199.526, -3
223.872, -3
251.189, -3
281.838, -3
316.228, -3
354.813, -3
398.107, -3
446.684, -3
501.187, -3
562.341, -3
630.957, -3
707.946, -3
794.328, -3
891.251, -3
1000, -3



Frequency (GHz), Normalized response (dB)
1e-06, 0
1.12202e-06, -8.38965e-14
1.25893e-06, -1.99616e-13
1.41254e-06, 4.43591e-14
1.58489e-06, -2.18902e-13
1.77828e-06, -6.57671e-13
1.99526e-06, -3.48122e-13
2.23872e-06, -7.6664e-13
2.51189e-06, -9.54684e-13
2.81838e-06, -1.32788e-12
3.16228e-06, -1.79461e-12
3.54813e-06, -2.2112e-12
3.98107e-06, -2.77726e-12
4.46684e-06, -3.47544e-12
5.01187e-06, -4.40505e-12
5.62341e-06, -6.07526e-12
6.30957e-06, -7.62012e-12
7.07946e-06, -9.51213e-12
7.94328e-06, -1.21071e-11
8.91251e-06, -1.50686e-11
1e-05, -1.91872e-11
1.12202e-05, -2.44168e-11
1.25893e-05, -3.11767e-11
1.41254e-05, -3.93349e-11
1.58489e-05, -4.96474e-11
1.77828e-05, -6.31046e-11
1.99526e-05, -8.02735e-11
2.23872e-05, -1.00962e-10
2.51189e-05, -1.27395e-10
2.81838e-05, -1.60816e-10
3.16228e-05, -2.03029e-10
3.54813e-05, -2.56135e-10
3.98107e-05, -3.23259e-10
4.46684e-05, -4.07633e-10
5.01187e-05, -5.13539e-10
5.62341e-05, -6.47399e-10
6.30957e-05, -8.14996e-10
7.07946e-05, -1.02742e-09
7.94328e-05, -1.29428e-09
8.91251e-05, -1.63002e-09
0.0001, -2.05258e-09
0.000112202, -2.58448e-09
0.000125893, -3.25494e-09
0.000141254, -4.09836e-09
0.000158489, -5.16108e-09
0.000177828, -6.49862e-09
0.000199526, -8.18186e-09
0.000223872, -1.03008e-08
0.000251189, -1.29692e-08
0.000281838, -1.63269e-08
0.000316228, -2.05556e-08
0.000354813, -2.588e-08
0.000398107, -3.25815e-08
0.000446684, -4.10183e-08
0.000501187, -5.16387e-08
0.000562341, -6.50105e-08
0.000630957, -8.18431e-08
0.000707946, -1.03034e-07
0.000794328, -1.29713e-07
0.000891251, -1.63299e-07
0.001, -2.05582e-07
0.00112202, -2.58812e-07
0.00125893, -3.25826e-07
0.00141254, -4.10191e-07
0.00158489, -5.164e-07
0.00177828, -6.5011e-07
0.00199526, -8.18439e-07
0.00223872, -1.03036e-06
0.00251189, -1.29714e-06
0.00281838, -1.633e-06
0.00316228, -2.05583e-06
0.00354813, -2.58814e-06
0.00398107, -3.25827e-06
0.00446684, -4.10192e-06
0.00501187, -5.16401e-06
0.00562341, -6.50111e-06
0.00630957, -8.18441e-06
0.00707946, -1.03036e-05
0.00794328, -1.29714e-05
0.00891251, -1.633e-05
0.01, -2.05583e-05
0.0112202, -2.58813e-05
0.0125893, -3.25826e-05
0.0141254, -4.1019e-05
0.0158489, -5.16398e-05
0.0177828, -6.50105e-05
0.0199526, -8.18432e-05
0.0223872, -0.000103034
0.0251189, -0.000129712
0.0281838, -0.000163297
0.0316228, -0.000205577
0.0354813, -0.000258804
0.0398107, -0.000325812
0.0446684, -0.000410168
0.0501187, -0.000516363
0.0562341, -0.00065005
0.0630957, -0.000818345
0.0707946, -0.0010302
0.0794328, -0.0012969
0.0891251, -0.00163262
0.1, -0.00205522
0.112202, -0.00258717
0.125893, -0.00325674
0.141254, -0.00409949
0.158489, -0.00516016
0.177828, -0.006495
0.199526, -0.00817474
0.223872, -0.0102882
0.251189, -0.0129471
0.281838, -0.0162916
0.316228, -0.0204974
0.354813, -0.0257849
0.398107, -0.03243
0.446684, -0.0407775
0.501187, -0.0512577
0.562341, -0.0644063
0.630957, -0.0808884
0.707946, -0.101526
0.794328, -0.127333
0.891251, -0.159548
1, -0.199679
1.12202, -0.249539
1.25893, -0.31129
1.41254, -0.387466
1.58489, -0.48099
1.77828, -0.595148
1.99526, -0.733532
2.23872, -0.899911
2.51189, -1.09804
2.81838, -1.33137
3.16228, -1.60272
3.54813, -1.9139
3.98107, -2.26529
4.46684, -2.65558
5.01187, -3.08158
5.62341, -3.53821
6.30957, -4.01878
7.07946, -4.51534
7.94328, -5.01931
8.91251, -5.5221
10, -6.01582
11.2202, -6.49391
12.5893, -6.95156
14.1254, -7.38604
15.8489, -7.79675
17.7828, -8.18497
19.9526, -8.55352
22.3872, -8.90619
25.1189, -9.2471
28.1838, -9.5802
31.6228, -9.90872
35.4813, -10.2349
39.8107, -10.56
44.6684, -10.8843
50.1187, -11.2072
56.2341, -11.528
63.0957, -11.8458
70.7946, -12.1599
79.4328, -12.4696
89.1251, -12.7745
100, -13.0743
112.202, -13.3685
125.893, -13.6565
141.254, -13.9378
158.489, -14.2115
177.828, -14.4767
199.526, -14.7326
223.872, -14.978
251.189, -15.2119
281.838, -15.4333
316.228, -15.6416
354.813, -15.8362
398.107, -16.0169
446.684, -16.184
501.187, -16.338
562.341, -16.4801
630.957, -16.6114
707.946, -16.7337
794.328, -16.8485
891.251, -16.9578
1000, -17.0637

