

Frequency (GHz), Normalized response (dB)
1e-06, -3
1.12202e-06, -3
1.25893e-06, -3
1.41254e-06, -3
1.58489e-06, -3
1.77828e-06, -3
1.99526e-06, -3
2.23872e-06, -3
2.51189e-06, -3
2.81838e-06, -3
3.16228e-06, -3
3.54813e-06, -3
3.98107e-06, -3
4.46684e-06, -3
5.01187e-06, -3
5.62341e-06, -3
6.30957e-06, -3
7.07946e-06, -3
7.94328e-06, -3
8.91251e-06, -3
1e-05, -3
1.12202e-05, -3
1.25893e-05, -3
1.41254e-05, -3
1.58489e-05, -3
1.77828e-05, -3
1.99526e-05, -3
2.23872e-05, -3
2.51189e-05, -3
2.81838e-05, -3
3.16228e-05, -3
3.54813e-05, -3
3.98107e-05, -3
4.46684e-05, -3
5.01187e-05, -3
5.62341e-05, -3
6.30957e-05, -3
7.07946e-05, -3
7.94328e-05, -3
8.91251e-05, -3
0.0001, -3
0.000112202, -3
0.000125893, -3
0.000141254, -3
0.000158489, -3
0.000177828, -3
0.000199526, -3
0.000223872, -3
0.000251189, -3
0.000281838, -3
0.000316228, -3
0.000354813, -3
0.000398107, -3
0.000446684, -3
0.000501187, -3
0.000562341, -3
0.000630957, -3
0.000707946, -3
0.000794328, -3
0.000891251, -3
0.001, -3
0.00112202, -3
0.00125893, -3
0.00141254, -3
0.00158489, -3
0.00177828, -3
0.00199526, -3
0.00223872, -3
0.00251189, -3
0.00281838, -3
0.00316228, -3
0.00354813, -3
0.00398107, -3
0.00446684, -3
0.00501187, -3
0.00562341, -3
0.00630957, -3
0.00707946, -3
0.00794328, -3
0.00891251, -3
0.01, -3
0.0112202, -3
0.0125893, -3
0.0141254, -3
0.0158489, -3
0.0177828, -3
0.0199526, -3
0.0223872, -3
0.0251189, -3
0.0281838, -3
0.0316228, -3
0.0354813, -3
0.0398107, -3
0.0446684, -3
0.0501187, -3
0.0562341, -3
0.0630957, -3
0.0707946, -3
0.0794328, -3
0.0891251, -3
0.1, -3
0.112202, -3
0.125893, -3
0.141254, -3
0.158489, -3
0.177828, -3
0.199526, -3
0.223872, -3
0.251189, -3
0.281838, -3
0.316228, -3
0.354813, -3
0.398107, -3
0.446684, -3
0.501187, -3
0.562341, -3
0.630957, -3
0.707946, -3
0.794328, -3
0.891251, -3
1, -3
1.12202, -3
1.25893, -3
1.41254, -3
1.58489, -3
1.77828, -3
1.99526, -3
2.23872, -3
2.51189, -3
2.81838, -3
3.16228, -3
3.54813, -3
3.98107, -3
4.46684, -3
5.01187, -3
5.62341, -3
6.30957, -3
7.07946, -3
7.94328, -3
8.91251, -3
10, -3
11.2202, -3
12.5893, -3
14.1254, -3
15.8489, -3
17.7828, -3
19.9526, -3
22.3872, -3
25.1189, -3
28.1838, -3
31.6228, -3
35.4813, -3
39.8107, -3
44.6684, -3
50.1187, -3
56.2341, -3
63.0957, -3
70.7946, -3
79.4328, -3
89.1251, -3
100, -3
112.202, -3
125.893, -3
141.254, -3
158.489, -3
177.828, -3
199.526, -3
223.872, -3
251.189, -3
281.838, -3
316.228, -3
354.813, -3
398.107, -3
446.684, -3
501.187, -3
562.341, -3
630.957, -3
707.946, -3
794.328, -3
891.251, -3
1000, -3



Frequency (GHz), Normalized response (dB)
1e-06, 0
1.12202e-06, -1.92865e-15
1.25893e-06, 3.85731e-14
1.41254e-06, -1.12826e-13
1.58489e-06, -3.40408e-13
1.77828e-06, -2.57475e-13
1.99526e-06, -5.2363e-13
2.23872e-06, -7.25174e-13
2.51189e-06, -9.58542e-13
2.81838e-06, -1.23723e-12
3.16228e-06, -1.70975e-12
3.54813e-06, -2.32885e-12
3.98107e-06, -3.00677e-12
4.46684e-06, -4.14757e-12
5.01187e-06, -5.24498e-12
5.62341e-06, -6.8448e-12
6.30957e-06, -8.75031e-12
7.07946e-06, -1.11573e-11
7.94328e-06, -1.41438e-11
8.91251e-06, -1.7841e-11
1e-05, -2.25865e-11
1.12202e-05, -2.87476e-11
1.25893e-05, -3.59106e-11
1.41254e-05, -4.60486e-11
1.58489e-05, -5.81509e-11
1.77828e-05, -7.35329e-11
1.99526e-05, -9.28763e-11
2.23872e-05, -1.17096e-10
2.51189e-05, -1.47682e-10
2.81838e-05, -1.86174e-10
3.16228e-05, -2.34523e-10
3.54813e-05, -2.95749e-10
3.98107e-05, -3.72732e-10
4.46684e-05, -4.69394e-10
5.01187e-05, -5.91168e-10
5.62341e-05, -7.44852e-10
6.30957e-05, -9.37988e-10
7.07946e-05, -1.18132e-09
7.94328e-05, -1.48775e-09
8.91251e-05, -1.87272e-09
0.0001, -2.35927e-09
0.000112202, -2.97053e-09
0.000125893, -3.74002e-09
0.000141254, -4.7092e-09
0.000158489, -5.92942e-09
0.000177828, -7.46548e-09
0.000199526, -9.3988e-09
0.000223872, -1.18339e-08
0.000251189, -1.48982e-08
0.000281838, -1.87559e-08
0.000316228, -2.36127e-08
0.000354813, -2.97273e-08
0.000398107, -3.74251e-08
0.000446684, -4.71154e-08
0.000501187, -5.93152e-08
0.000562341, -7.46739e-08
0.000630957, -9.40098e-08
0.000707946, -1.18351e-07
0.000794328, -1.48994e-07
0.000891251, -1.87574e-07
0.001, -2.36142e-07
0.00112202, -2.97285e-07
0.00125893, -3.74261e-07
0.00141254, -4.71167e-07
0.00158489, -5.93164e-07
0.00177828, -7.4675e-07
0.00199526, -9.40102e-07
0.00223872, -1.18352e-06
0.00251189, -1.48996e-06
0.00281838, -1.87575e-06
0.00316228, -2.36143e-06
0.00354813, -2.97287e-06
0.00398107, -3.74262e-06
0.00446684, -4.71167e-06
0.00501187, -5.93165e-06
0.00562341, -7.4675e-06
0.00630957, -9.40102e-06
0.00707946, -1.18352e-05
0.00794328, -1.48996e-05
0.00891251, -1.87575e-05
0.01, -2.36142e-05
0.0112202, -2.97286e-05
0.0125893, -3.7426e-05
0.0141254, -4.71165e-05
0.0158489, -5.9316e-05
0.0177828, -7.46743e-05
0.0199526, -9.40091e-05
0.0223872, -0.00011835
0.0251189, -0.000148993
0.0281838, -0.00018757
0.0316228, -0.000236135
0.0354813, -0.000297274
0.0398107, -0.000374241
0.0446684, -0.000471135
0.0501187, -0.000593114
0.0562341, -0.000746669
0.0630957, -0.000939974
0.0707946, -0.00118331
0.0794328, -0.00148964
0.0891251, -0.00187524
0.1, -0.00236062
0.112202, -0.00297157
0.125893, -0.00374057
0.141254, -0.00470842
0.158489, -0.0059265
0.177828, -0.00745934
0.199526, -0.00938809
0.223872, -0.0118147
0.251189, -0.0148672
0.281838, -0.0187061
0.316228, -0.0235329
0.354813, -0.0295997
0.398107, -0.0372221
0.446684, -0.0467938
0.501187, -0.0588057
0.562341, -0.0738677
0.630957, -0.092735
0.707946, -0.116339
0.794328, -0.145823
0.891251, -0.182579
1, -0.22829
1.12202, -0.284967
1.25893, -0.354983
1.41254, -0.441091
1.58489, -0.546413
1.77828, -0.674398
1.99526, -0.828717
2.23872, -1.01309
2.51189, -1.23105
2.81838, -1.4856
3.16228, -1.77887
3.54813, -2.11169
3.98107, -2.48328
4.46684, -2.89103
5.01187, -3.33044
5.62341, -3.79528
6.30957, -4.27797
7.07946, -4.7701
7.94328, -5.26312
8.91251, -5.74898
10, -6.22086
11.2202, -6.6736
12.5893, -7.10412
14.1254, -7.51145
15.8489, -7.89664
17.7828, -8.26232
19.9526, -8.61223
22.3872, -8.95051
25.1189, -9.28102
28.1838, -9.60677
31.6228, -9.92935
35.4813, -10.2487
39.8107, -10.563
44.6684, -10.8689
50.1187, -11.1619
56.2341, -11.437
63.0957, -11.689
70.7946, -11.9136
79.4328, -12.1069
89.1251, -12.2666
100, -12.3915
112.202, -12.4817
125.893, -12.5384
141.254, -12.564
158.489, -12.5616
177.828, -12.5349
199.526, -12.4875
223.872, -12.4231
251.189, -12.345
281.838, -12.256
316.228, -12.158
354.813, -12.0528
398.107, -11.9413
446.684, -11.8242
501.187, -11.7018
562.341, -11.5745
630.957, -11.4426
707.946, -11.3068
794.328, -11.1679
891.251, -11.0269
1000, -10.8848

