

Frequency (GHz), Normalized response (dB)
1e-06, -3
1.12202e-06, -3
1.25893e-06, -3
1.41254e-06, -3
1.58489e-06, -3
1.77828e-06, -3
1.99526e-06, -3
2.23872e-06, -3
2.51189e-06, -3
2.81838e-06, -3
3.16228e-06, -3
3.54813e-06, -3
3.98107e-06, -3
4.46684e-06, -3
5.01187e-06, -3
5.62341e-06, -3
6.30957e-06, -3
7.07946e-06, -3
7.94328e-06, -3
8.91251e-06, -3
1e-05, -3
1.12202e-05, -3
1.25893e-05, -3
1.41254e-05, -3
1.58489e-05, -3
1.77828e-05, -3
1.99526e-05, -3
2.23872e-05, -3
2.51189e-05, -3
2.81838e-05, -3
3.16228e-05, -3
3.54813e-05, -3
3.98107e-05, -3
4.46684e-05, -3
5.01187e-05, -3
5.62341e-05, -3
6.30957e-05, -3
7.07946e-05, -3
7.94328e-05, -3
8.91251e-05, -3
0.0001, -3
0.000112202, -3
0.000125893, -3
0.000141254, -3
0.000158489, -3
0.000177828, -3
0.000199526, -3
0.000223872, -3
0.000251189, -3
0.000281838, -3
0.000316228, -3
0.000354813, -3
0.000398107, -3
0.000446684, -3
0.000501187, -3
0.000562341, -3
0.000630957, -3
0.000707946, -3
0.000794328, -3
0.000891251, -3
0.001, -3
0.00112202, -3
0.00125893, -3
0.00141254, -3
0.00158489, -3
0.00177828, -3
0.00199526, -3
0.00223872, -3
0.00251189, -3
0.00281838, -3
0.00316228, -3
0.00354813, -3
0.00398107, -3
0.00446684, -3
0.00501187, -3
0.00562341, -3
0.00630957, -3
0.00707946, -3
0.00794328, -3
0.00891251, -3
0.01, -3
0.0112202, -3
0.0125893, -3
0.0141254, -3
0.0158489, -3
0.0177828, -3
0.0199526, -3
0.0223872, -3
0.0251189, -3
0.0281838, -3
0.0316228, -3
0.0354813, -3
0.0398107, -3
0.0446684, -3
0.0501187, -3
0.0562341, -3
0.0630957, -3
0.0707946, -3
0.0794328, -3
0.0891251, -3
0.1, -3
0.112202, -3
0.125893, -3
0.141254, -3
0.158489, -3
0.177828, -3
0.199526, -3
0.223872, -3
0.251189, -3
0.281838, -3
0.316228, -3
0.354813, -3
0.398107, -3
0.446684, -3
0.501187, -3
0.562341, -3
0.630957, -3
0.707946, -3
0.794328, -3
0.891251, -3
1, -3
1.12202, -3
1.25893, -3
1.41254, -3
1.58489, -3
1.77828, -3
1.99526, -3
2.23872, -3
2.51189, -3
2.81838, -3
3.16228, -3
3.54813, -3
3.98107, -3
4.46684, -3
5.01187, -3
5.62341, -3
6.30957, -3
7.07946, -3
7.94328, -3
8.91251, -3
10, -3
11.2202, -3
12.5893, -3
14.1254, -3
15.8489, -3
17.7828, -3
19.9526, -3
22.3872, -3
25.1189, -3
28.1838, -3
31.6228, -3
35.4813, -3
39.8107, -3
44.6684, -3
50.1187, -3
56.2341, -3
63.0957, -3
70.7946, -3
79.4328, -3
89.1251, -3
100, -3
112.202, -3
125.893, -3
141.254, -3
158.489, -3
177.828, -3
199.526, -3
223.872, -3
251.189, -3
281.838, -3
316.228, -3
354.813, -3
398.107, -3
446.684, -3
501.187, -3
562.341, -3
630.957, -3
707.946, -3
794.328, -3
891.251, -3
1000, -3



Frequency (GHz), Normalized response (dB)
1e-06, 0
1.12202e-06, 1.92865e-14
1.25893e-06, -6.65386e-14
1.41254e-06, -1.08969e-13
1.58489e-06, -2.74833e-13
1.77828e-06, -3.35586e-13
1.99526e-06, -5.34237e-13
2.23872e-06, -6.94316e-13
2.51189e-06, -8.84288e-13
2.81838e-06, -1.0974e-12
3.16228e-06, -1.47928e-12
3.54813e-06, -1.95083e-12
3.98107e-06, -2.55257e-12
4.46684e-06, -3.379e-12
5.01187e-06, -4.40794e-12
5.62341e-06, -5.6606e-12
6.30957e-06, -7.31442e-12
7.07946e-06, -9.25079e-12
7.94328e-06, -1.18448e-11
8.91251e-06, -1.5165e-11
1e-05, -1.92711e-11
1.12202e-05, -2.40648e-11
1.25893e-05, -3.06675e-11
1.41254e-05, -3.87361e-11
1.58489e-05, -4.89541e-11
1.77828e-05, -6.1959e-11
1.99526e-05, -7.8369e-11
2.23872e-05, -9.89304e-11
2.51189e-05, -1.24879e-10
2.81838e-05, -1.57588e-10
3.16228e-05, -1.98612e-10
3.54813e-05, -2.50673e-10
3.98107e-05, -3.15728e-10
4.46684e-05, -3.98209e-10
5.01187e-05, -5.01402e-10
5.62341e-05, -6.31651e-10
6.30957e-05, -7.9605e-10
7.07946e-05, -1.00296e-09
7.94328e-05, -1.26309e-09
8.91251e-05, -1.59063e-09
0.0001, -2.00338e-09
0.000112202, -2.52267e-09
0.000125893, -3.17692e-09
0.000141254, -4.00012e-09
0.000158489, -5.03683e-09
0.000177828, -6.34145e-09
0.000199526, -7.98462e-09
0.000223872, -1.00523e-08
0.000251189, -1.26564e-08
0.000281838, -1.59342e-08
0.000316228, -2.00602e-08
0.000354813, -2.52557e-08
0.000398107, -3.17954e-08
0.000446684, -4.00281e-08
0.000501187, -5.03929e-08
0.000562341, -6.34413e-08
0.000630957, -7.98682e-08
0.000707946, -1.00549e-07
0.000794328, -1.26584e-07
0.000891251, -1.59361e-07
0.001, -2.00624e-07
0.00112202, -2.52571e-07
0.00125893, -3.17968e-07
0.00141254, -4.00297e-07
0.00158489, -5.03946e-07
0.00177828, -6.3443e-07
0.00199526, -7.98701e-07
0.00223872, -1.00551e-06
0.00251189, -1.26586e-06
0.00281838, -1.59362e-06
0.00316228, -2.00625e-06
0.00354813, -2.52572e-06
0.00398107, -3.17969e-06
0.00446684, -4.00299e-06
0.00501187, -5.03947e-06
0.00562341, -6.34431e-06
0.00630957, -7.98701e-06
0.00707946, -1.0055e-05
0.00794328, -1.26586e-05
0.00891251, -1.59362e-05
0.01, -2.00624e-05
0.0112202, -2.52571e-05
0.0125893, -3.17968e-05
0.0141254, -4.00297e-05
0.0158489, -5.03943e-05
0.0177828, -6.34426e-05
0.0199526, -7.98693e-05
0.0223872, -0.000100549
0.0251189, -0.000126583
0.0281838, -0.000159358
0.0316228, -0.000200619
0.0354813, -0.000252563
0.0398107, -0.000317954
0.0446684, -0.000400276
0.0501187, -0.00050391
0.0562341, -0.000634373
0.0630957, -0.00079861
0.0707946, -0.00100536
0.0794328, -0.00126563
0.0891251, -0.00159325
0.1, -0.00200567
0.112202, -0.00252479
0.125893, -0.00317823
0.141254, -0.00400067
0.158489, -0.00503579
0.177828, -0.00633849
0.199526, -0.00797778
0.223872, -0.0100404
0.251189, -0.0126354
0.281838, -0.0158995
0.316228, -0.0200043
0.354813, -0.0251651
0.398107, -0.0316511
0.446684, -0.0397992
0.501187, -0.0500296
0.562341, -0.0628659
0.630957, -0.0789578
0.707946, -0.0991098
0.794328, -0.124312
0.891251, -0.155779
1, -0.194986
1.12202, -0.243712
1.25893, -0.304079
1.41254, -0.378579
1.58489, -0.47009
1.77828, -0.58186
1.99526, -0.717447
2.23872, -0.880601
2.51189, -1.07508
2.81838, -1.30437
3.16228, -1.57136
3.54813, -1.87796
3.98107, -2.22471
4.46684, -2.61046
5.01187, -3.0322
5.62341, -3.48506
6.30957, -3.96248
7.07946, -4.45666
7.94328, -4.9591
8.91251, -5.46126
10, -5.95527
11.2202, -6.43454
12.5893, -6.89424
14.1254, -7.33165
15.8489, -7.74615
17.7828, -8.13911
19.9526, -8.51345
22.3872, -8.87313
25.1189, -9.22255
28.1838, -9.56592
31.6228, -9.9068
35.4813, -10.2478
39.8107, -10.5904
44.6684, -10.9351
50.1187, -11.2816
56.2341, -11.6294
63.0957, -11.9776
70.7946, -12.3256
79.4328, -12.6729
89.1251, -13.0191
100, -13.3641
112.202, -13.7076
125.893, -14.0491
141.254, -14.3881
158.489, -14.7239
177.828, -15.0556
199.526, -15.3822
223.872, -15.7025
251.189, -16.0153
281.838, -16.3195
316.228, -16.6137
354.813, -16.897
398.107, -17.1686
446.684, -17.4281
501.187, -17.6753
562.341, -17.9105
630.957, -18.1339
707.946, -18.3465
794.328, -18.549
891.251, -18.7424
1000, -18.928

