

Frequency (GHz), Normalized response (dB)
1e-06, -3
1.12202e-06, -3
1.25893e-06, -3
1.41254e-06, -3
1.58489e-06, -3
1.77828e-06, -3
1.99526e-06, -3
2.23872e-06, -3
2.51189e-06, -3
2.81838e-06, -3
3.16228e-06, -3
3.54813e-06, -3
3.98107e-06, -3
4.46684e-06, -3
5.01187e-06, -3
5.62341e-06, -3
6.30957e-06, -3
7.07946e-06, -3
7.94328e-06, -3
8.91251e-06, -3
1e-05, -3
1.12202e-05, -3
1.25893e-05, -3
1.41254e-05, -3
1.58489e-05, -3
1.77828e-05, -3
1.99526e-05, -3
2.23872e-05, -3
2.51189e-05, -3
2.81838e-05, -3
3.16228e-05, -3
3.54813e-05, -3
3.98107e-05, -3
4.46684e-05, -3
5.01187e-05, -3
5.62341e-05, -3
6.30957e-05, -3
7.07946e-05, -3
7.94328e-05, -3
8.91251e-05, -3
0.0001, -3
0.000112202, -3
0.000125893, -3
0.000141254, -3
0.000158489, -3
0.000177828, -3
0.000199526, -3
0.000223872, -3
0.000251189, -3
0.000281838, -3
0.000316228, -3
0.000354813, -3
0.000398107, -3
0.000446684, -3
0.000501187, -3
0.000562341, -3
0.000630957, -3
0.000707946, -3
0.000794328, -3
0.000891251, -3
0.001, -3
0.00112202, -3
0.00125893, -3
0.00141254, -3
0.00158489, -3
0.00177828, -3
0.00199526, -3
0.00223872, -3
0.00251189, -3
0.00281838, -3
0.00316228, -3
0.00354813, -3
0.00398107, -3
0.00446684, -3
0.00501187, -3
0.00562341, -3
0.00630957, -3
0.00707946, -3
0.00794328, -3
0.00891251, -3
0.01, -3
0.0112202, -3
0.0125893, -3
0.0141254, -3
0.0158489, -3
0.0177828, -3
0.0199526, -3
0.0223872, -3
0.0251189, -3
0.0281838, -3
0.0316228, -3
0.0354813, -3
0.0398107, -3
0.0446684, -3
0.0501187, -3
0.0562341, -3
0.0630957, -3
0.0707946, -3
0.0794328, -3
0.0891251, -3
0.1, -3
0.112202, -3
0.125893, -3
0.141254, -3
0.158489, -3
0.177828, -3
0.199526, -3
0.223872, -3
0.251189, -3
0.281838, -3
0.316228, -3
0.354813, -3
0.398107, -3
0.446684, -3
0.501187, -3
0.562341, -3
0.630957, -3
0.707946, -3
0.794328, -3
0.891251, -3
1, -3
1.12202, -3
1.25893, -3
1.41254, -3
1.58489, -3
1.77828, -3
1.99526, -3
2.23872, -3
2.51189, -3
2.81838, -3
3.16228, -3
3.54813, -3
3.98107, -3
4.46684, -3
5.01187, -3
5.62341, -3
6.30957, -3
7.07946, -3
7.94328, -3
8.91251, -3
10, -3
11.2202, -3
12.5893, -3
14.1254, -3
15.8489, -3
17.7828, -3
19.9526, -3
22.3872, -3
25.1189, -3
28.1838, -3
31.6228, -3
35.4813, -3
39.8107, -3
44.6684, -3
50.1187, -3
56.2341, -3
63.0957, -3
70.7946, -3
79.4328, -3
89.1251, -3
100, -3
112.202, -3
125.893, -3
141.254, -3
158.489, -3
177.828, -3
199.526, -3
223.872, -3
251.189, -3
281.838, -3
316.228, -3
354.813, -3
398.107, -3
446.684, -3
501.187, -3
562.341, -3
630.957, -3
707.946, -3
794.328, -3
891.251, -3
1000, -3



Frequency (GHz), Normalized response (dB)
1e-06, 0
1.12202e-06, -2.7194e-13
1.25893e-06, -1.61043e-13
1.41254e-06, -2.5844e-13
1.58489e-06, -4.18518e-13
1.77828e-06, -4.2334e-13
1.99526e-06, -7.13602e-13
2.23872e-06, -8.72716e-13
2.51189e-06, -1.07908e-12
2.81838e-06, -1.38574e-12
3.16228e-06, -1.79268e-12
3.54813e-06, -2.31631e-12
3.98107e-06, -2.98845e-12
4.46684e-06, -3.73966e-12
5.01187e-06, -4.79464e-12
5.62341e-06, -6.45135e-12
6.30957e-06, -7.82552e-12
7.07946e-06, -9.81878e-12
7.94328e-06, -1.28661e-11
8.91251e-06, -1.60368e-11
1e-05, -2.06048e-11
1.12202e-05, -2.60291e-11
1.25893e-05, -3.25653e-11
1.41254e-05, -4.15374e-11
1.58489e-05, -5.23832e-11
1.77828e-05, -6.61394e-11
1.99526e-05, -8.32552e-11
2.23872e-05, -1.0544e-10
2.51189e-05, -1.33004e-10
2.81838e-05, -1.67691e-10
3.16228e-05, -2.11055e-10
3.54813e-05, -2.66371e-10
3.98107e-05, -3.35064e-10
4.46684e-05, -4.22507e-10
5.01187e-05, -5.31481e-10
5.62341e-05, -6.69932e-10
6.30957e-05, -8.43382e-10
7.07946e-05, -1.06249e-09
7.94328e-05, -1.3383e-09
8.91251e-05, -1.68518e-09
0.0001, -2.12152e-09
0.000112202, -2.67068e-09
0.000125893, -3.36342e-09
0.000141254, -4.23491e-09
0.000158489, -5.33215e-09
0.000177828, -6.71276e-09
0.000199526, -8.45204e-09
0.000223872, -1.0641e-08
0.000251189, -1.33966e-08
0.000281838, -1.68654e-08
0.000316228, -2.12324e-08
0.000354813, -2.67304e-08
0.000398107, -3.36529e-08
0.000446684, -4.23664e-08
0.000501187, -5.33362e-08
0.000562341, -6.71456e-08
0.000630957, -8.45326e-08
0.000707946, -1.0642e-07
0.000794328, -1.33975e-07
0.000891251, -1.68666e-07
0.001, -2.12337e-07
0.00112202, -2.67317e-07
0.00125893, -3.36533e-07
0.00141254, -4.2367e-07
0.00158489, -5.3337e-07
0.00177828, -6.71472e-07
0.00199526, -8.45334e-07
0.00223872, -1.06421e-06
0.00251189, -1.33977e-06
0.00281838, -1.68666e-06
0.00316228, -2.12338e-06
0.00354813, -2.67318e-06
0.00398107, -3.36534e-06
0.00446684, -4.23671e-06
0.00501187, -5.3337e-06
0.00562341, -6.71472e-06
0.00630957, -8.45333e-06
0.00707946, -1.06421e-05
0.00794328, -1.33976e-05
0.00891251, -1.68666e-05
0.01, -2.12338e-05
0.0112202, -2.67317e-05
0.0125893, -3.36532e-05
0.0141254, -4.23667e-05
0.0158489, -5.33364e-05
0.0177828, -6.71464e-05
0.0199526, -8.4532e-05
0.0223872, -0.000106419
0.0251189, -0.000133973
0.0281838, -0.000168661
0.0316228, -0.000212329
0.0354813, -0.000267304
0.0398107, -0.00033651
0.0446684, -0.000423634
0.0501187, -0.000533311
0.0562341, -0.00067138
0.0630957, -0.000845187
0.0707946, -0.00106398
0.0794328, -0.00133939
0.0891251, -0.00168608
0.1, -0.00212245
0.112202, -0.00267171
0.125893, -0.003363
0.141254, -0.004233
0.158489, -0.00532782
0.177828, -0.00670542
0.199526, -0.00843859
0.223872, -0.0106188
0.251189, -0.0133606
0.281838, -0.016808
0.316228, -0.021141
0.354813, -0.0265848
0.398107, -0.0334208
0.446684, -0.0419992
0.501187, -0.0527553
0.562341, -0.0662283
0.630957, -0.0830825
0.707946, -0.104133
0.794328, -0.130372
0.891251, -0.162997
1, -0.203438
1.12202, -0.253377
1.25893, -0.314761
1.41254, -0.389783
1.58489, -0.480847
1.77828, -0.590473
1.99526, -0.721154
2.23872, -0.875148
2.51189, -1.0542
2.81838, -1.25923
3.16228, -1.49
3.54813, -1.74486
3.98107, -2.02061
4.46684, -2.31251
5.01187, -2.61458
5.62341, -2.92005
6.30957, -3.22194
7.07946, -3.51376
7.94328, -3.79001
8.91251, -4.04667
10, -4.2813
11.2202, -4.49307
12.5893, -4.68253
14.1254, -4.85129
15.8489, -5.00168
17.7828, -5.13634
19.9526, -5.25797
22.3872, -5.36901
25.1189, -5.47152
28.1838, -5.56706
31.6228, -5.65666
35.4813, -5.74093
39.8107, -5.82011
44.6684, -5.89425
50.1187, -5.96337
56.2341, -6.02749
63.0957, -6.08679
70.7946, -6.14157
79.4328, -6.19223
89.1251, -6.23928
100, -6.28326
112.202, -6.32475
125.893, -6.36433
141.254, -6.40262
158.489, -6.4402
177.828, -6.47771
199.526, -6.51579
223.872, -6.55514
251.189, -6.5965
281.838, -6.6407
316.228, -6.68867
354.813, -6.74144
398.107, -6.80022
446.684, -6.86635
501.187, -6.94139
562.341, -7.02704
630.957, -7.12523
707.946, -7.23802
794.328, -7.36766
891.251, -7.51648
1000, -7.68693

