

Frequency (GHz), Normalized response (dB)
1e-06, -3
1.12202e-06, -3
1.25893e-06, -3
1.41254e-06, -3
1.58489e-06, -3
1.77828e-06, -3
1.99526e-06, -3
2.23872e-06, -3
2.51189e-06, -3
2.81838e-06, -3
3.16228e-06, -3
3.54813e-06, -3
3.98107e-06, -3
4.46684e-06, -3
5.01187e-06, -3
5.62341e-06, -3
6.30957e-06, -3
7.07946e-06, -3
7.94328e-06, -3
8.91251e-06, -3
1e-05, -3
1.12202e-05, -3
1.25893e-05, -3
1.41254e-05, -3
1.58489e-05, -3
1.77828e-05, -3
1.99526e-05, -3
2.23872e-05, -3
2.51189e-05, -3
2.81838e-05, -3
3.16228e-05, -3
3.54813e-05, -3
3.98107e-05, -3
4.46684e-05, -3
5.01187e-05, -3
5.62341e-05, -3
6.30957e-05, -3
7.07946e-05, -3
7.94328e-05, -3
8.91251e-05, -3
0.0001, -3
0.000112202, -3
0.000125893, -3
0.000141254, -3
0.000158489, -3
0.000177828, -3
0.000199526, -3
0.000223872, -3
0.000251189, -3
0.000281838, -3
0.000316228, -3
0.000354813, -3
0.000398107, -3
0.000446684, -3
0.000501187, -3
0.000562341, -3
0.000630957, -3
0.000707946, -3
0.000794328, -3
0.000891251, -3
0.001, -3
0.00112202, -3
0.00125893, -3
0.00141254, -3
0.00158489, -3
0.00177828, -3
0.00199526, -3
0.00223872, -3
0.00251189, -3
0.00281838, -3
0.00316228, -3
0.00354813, -3
0.00398107, -3
0.00446684, -3
0.00501187, -3
0.00562341, -3
0.00630957, -3
0.00707946, -3
0.00794328, -3
0.00891251, -3
0.01, -3
0.0112202, -3
0.0125893, -3
0.0141254, -3
0.0158489, -3
0.0177828, -3
0.0199526, -3
0.0223872, -3
0.0251189, -3
0.0281838, -3
0.0316228, -3
0.0354813, -3
0.0398107, -3
0.0446684, -3
0.0501187, -3
0.0562341, -3
0.0630957, -3
0.0707946, -3
0.0794328, -3
0.0891251, -3
0.1, -3
0.112202, -3
0.125893, -3
0.141254, -3
0.158489, -3
0.177828, -3
0.199526, -3
0.223872, -3
0.251189, -3
0.281838, -3
0.316228, -3
0.354813, -3
0.398107, -3
0.446684, -3
0.501187, -3
0.562341, -3
0.630957, -3
0.707946, -3
0.794328, -3
0.891251, -3
1, -3
1.12202, -3
1.25893, -3
1.41254, -3
1.58489, -3
1.77828, -3
1.99526, -3
2.23872, -3
2.51189, -3
2.81838, -3
3.16228, -3
3.54813, -3
3.98107, -3
4.46684, -3
5.01187, -3
5.62341, -3
6.30957, -3
7.07946, -3
7.94328, -3
8.91251, -3
10, -3
11.2202, -3
12.5893, -3
14.1254, -3
15.8489, -3
17.7828, -3
19.9526, -3
22.3872, -3
25.1189, -3
28.1838, -3
31.6228, -3
35.4813, -3
39.8107, -3
44.6684, -3
50.1187, -3
56.2341, -3
63.0957, -3
70.7946, -3
79.4328, -3
89.1251, -3
100, -3
112.202, -3
125.893, -3
141.254, -3
158.489, -3
177.828, -3
199.526, -3
223.872, -3
251.189, -3
281.838, -3
316.228, -3
354.813, -3
398.107, -3
446.684, -3
501.187, -3
562.341, -3
630.957, -3
707.946, -3
794.328, -3
891.251, -3
1000, -3



Frequency (GHz), Normalized response (dB)
1e-06, 0
1.12202e-06, 4.82164e-14
1.25893e-06, 2.31439e-14
1.41254e-06, -1.02219e-13
1.58489e-06, -1.24398e-13
1.77828e-06, -1.06076e-13
1.99526e-06, -2.41082e-14
2.23872e-06, -2.08295e-13
2.51189e-06, -1.28256e-13
2.81838e-06, -3.57765e-13
3.16228e-06, -6.08491e-13
3.54813e-06, -7.69533e-13
3.98107e-06, -1.36935e-12
4.46684e-06, -1.18805e-12
5.01187e-06, -1.5815e-12
5.62341e-06, -2.05209e-12
6.30957e-06, -2.83512e-12
7.07946e-06, -3.29125e-12
7.94328e-06, -4.05982e-12
8.91251e-06, -5.56513e-12
1e-05, -6.71751e-12
1.12202e-05, -8.56612e-12
1.25893e-05, -1.11303e-11
1.41254e-05, -1.41419e-11
1.58489e-05, -1.77996e-11
1.77828e-05, -2.18951e-11
1.99526e-05, -2.82982e-11
2.23872e-05, -3.51825e-11
2.51189e-05, -4.46783e-11
2.81838e-05, -5.64286e-11
3.16228e-05, -7.09022e-11
3.54813e-05, -8.98213e-11
3.98107e-05, -1.1274e-10
4.46684e-05, -1.42268e-10
5.01187e-05, -1.79107e-10
5.62341e-05, -2.2546e-10
6.30957e-05, -2.83737e-10
7.07946e-05, -3.57918e-10
7.94328e-05, -4.50357e-10
8.91251e-05, -5.67267e-10
0.0001, -7.13925e-10
0.000112202, -8.99136e-10
0.000125893, -1.13102e-09
0.000141254, -1.4248e-09
0.000158489, -1.7938e-09
0.000177828, -2.2588e-09
0.000199526, -2.84371e-09
0.000223872, -3.58034e-09
0.000251189, -4.50695e-09
0.000281838, -5.67478e-09
0.000316228, -7.14403e-09
0.000354813, -8.994e-09
0.000398107, -1.13218e-08
0.000446684, -1.42541e-08
0.000501187, -1.79448e-08
0.000562341, -2.25912e-08
0.000630957, -2.84402e-08
0.000707946, -3.58049e-08
0.000794328, -4.50752e-08
0.000891251, -5.67451e-08
0.001, -7.14389e-08
0.00112202, -8.99354e-08
0.00125893, -1.13222e-07
0.00141254, -1.42539e-07
0.00158489, -1.79446e-07
0.00177828, -2.2591e-07
0.00199526, -2.84402e-07
0.00223872, -3.58042e-07
0.00251189, -4.50748e-07
0.00281838, -5.67458e-07
0.00316228, -7.14387e-07
0.00354813, -8.99359e-07
0.00398107, -1.13223e-06
0.00446684, -1.42539e-06
0.00501187, -1.79446e-06
0.00562341, -2.25909e-06
0.00630957, -2.84402e-06
0.00707946, -3.58041e-06
0.00794328, -4.50746e-06
0.00891251, -5.67456e-06
0.01, -7.14384e-06
0.0112202, -8.99355e-06
0.0125893, -1.13222e-05
0.0141254, -1.42538e-05
0.0158489, -1.79444e-05
0.0177828, -2.25906e-05
0.0199526, -2.84397e-05
0.0223872, -3.58034e-05
0.0251189, -4.50735e-05
0.0281838, -5.67437e-05
0.0316228, -7.14355e-05
0.0354813, -8.99309e-05
0.0398107, -0.000113215
0.0446684, -0.000142526
0.0501187, -0.000179426
0.0562341, -0.000225877
0.0630957, -0.000284352
0.0707946, -0.000357961
0.0794328, -0.00045062
0.0891251, -0.000567255
0.1, -0.000714065
0.112202, -0.00089885
0.125893, -0.00113142
0.141254, -0.00142411
0.158489, -0.00179243
0.177828, -0.00225587
0.199526, -0.00283893
0.223872, -0.00357235
0.251189, -0.00449469
0.281838, -0.00565433
0.316228, -0.00711182
0.354813, -0.00894286
0.398107, -0.011242
0.446684, -0.0141269
0.501187, -0.0177437
0.562341, -0.0222735
0.630957, -0.027939
0.707946, -0.0350135
0.794328, -0.0438288
0.891251, -0.0547853
1, -0.0683595
1.12202, -0.0851104
1.25893, -0.105681
1.41254, -0.130791
1.58489, -0.161221
1.77828, -0.197774
1.99526, -0.241222
2.23872, -0.292223
2.51189, -0.351222
2.81838, -0.418336
3.16228, -0.493239
3.54813, -0.57509
3.98107, -0.662509
4.46684, -0.753639
5.01187, -0.846298
5.62341, -0.938197
6.30957, -1.02718
7.07946, -1.11143
7.94328, -1.18966
8.91251, -1.26113
10, -1.32566
11.2202, -1.38354
12.5893, -1.43542
14.1254, -1.48219
15.8489, -1.52487
17.7828, -1.56449
19.9526, -1.60203
22.3872, -1.63838
25.1189, -1.67427
28.1838, -1.71028
31.6228, -1.74684
35.4813, -1.78425
39.8107, -1.82272
44.6684, -1.86243
50.1187, -1.90359
56.2341, -1.94645
63.0957, -1.99133
70.7946, -2.03862
79.4328, -2.08877
89.1251, -2.14227
100, -2.1996
112.202, -2.26124
125.893, -2.32764
141.254, -2.39917
158.489, -2.47613
177.828, -2.55874
199.526, -2.64712
223.872, -2.74136
251.189, -2.84154
281.838, -2.94783
316.228, -3.06056
354.813, -3.18032
398.107, -3.30804
446.684, -3.44506
501.187, -3.59315
562.341, -3.75453
630.957, -3.93185
707.946, -4.1282
794.328, -4.34699
891.251, -4.59196
1000, -4.8671

