

Frequency (GHz), Normalized response (dB)
1e-06, -3
1.12202e-06, -3
1.25893e-06, -3
1.41254e-06, -3
1.58489e-06, -3
1.77828e-06, -3
1.99526e-06, -3
2.23872e-06, -3
2.51189e-06, -3
2.81838e-06, -3
3.16228e-06, -3
3.54813e-06, -3
3.98107e-06, -3
4.46684e-06, -3
5.01187e-06, -3
5.62341e-06, -3
6.30957e-06, -3
7.07946e-06, -3
7.94328e-06, -3
8.91251e-06, -3
1e-05, -3
1.12202e-05, -3
1.25893e-05, -3
1.41254e-05, -3
1.58489e-05, -3
1.77828e-05, -3
1.99526e-05, -3
2.23872e-05, -3
2.51189e-05, -3
2.81838e-05, -3
3.16228e-05, -3
3.54813e-05, -3
3.98107e-05, -3
4.46684e-05, -3
5.01187e-05, -3
5.62341e-05, -3
6.30957e-05, -3
7.07946e-05, -3
7.94328e-05, -3
8.91251e-05, -3
0.0001, -3
0.000112202, -3
0.000125893, -3
0.000141254, -3
0.000158489, -3
0.000177828, -3
0.000199526, -3
0.000223872, -3
0.000251189, -3
0.000281838, -3
0.000316228, -3
0.000354813, -3
0.000398107, -3
0.000446684, -3
0.000501187, -3
0.000562341, -3
0.000630957, -3
0.000707946, -3
0.000794328, -3
0.000891251, -3
0.001, -3
0.00112202, -3
0.00125893, -3
0.00141254, -3
0.00158489, -3
0.00177828, -3
0.00199526, -3
0.00223872, -3
0.00251189, -3
0.00281838, -3
0.00316228, -3
0.00354813, -3
0.00398107, -3
0.00446684, -3
0.00501187, -3
0.00562341, -3
0.00630957, -3
0.00707946, -3
0.00794328, -3
0.00891251, -3
0.01, -3
0.0112202, -3
0.0125893, -3
0.0141254, -3
0.0158489, -3
0.0177828, -3
0.0199526, -3
0.0223872, -3
0.0251189, -3
0.0281838, -3
0.0316228, -3
0.0354813, -3
0.0398107, -3
0.0446684, -3
0.0501187, -3
0.0562341, -3
0.0630957, -3
0.0707946, -3
0.0794328, -3
0.0891251, -3
0.1, -3
0.112202, -3
0.125893, -3
0.141254, -3
0.158489, -3
0.177828, -3
0.199526, -3
0.223872, -3
0.251189, -3
0.281838, -3
0.316228, -3
0.354813, -3
0.398107, -3
0.446684, -3
0.501187, -3
0.562341, -3
0.630957, -3
0.707946, -3
0.794328, -3
0.891251, -3
1, -3
1.12202, -3
1.25893, -3
1.41254, -3
1.58489, -3
1.77828, -3
1.99526, -3
2.23872, -3
2.51189, -3
2.81838, -3
3.16228, -3
3.54813, -3
3.98107, -3
4.46684, -3
5.01187, -3
5.62341, -3
6.30957, -3
7.07946, -3
7.94328, -3
8.91251, -3
10, -3
11.2202, -3
12.5893, -3
14.1254, -3
15.8489, -3
17.7828, -3
19.9526, -3
22.3872, -3
25.1189, -3
28.1838, -3
31.6228, -3
35.4813, -3
39.8107, -3
44.6684, -3
50.1187, -3
56.2341, -3
63.0957, -3
70.7946, -3
79.4328, -3
89.1251, -3
100, -3
112.202, -3
125.893, -3
141.254, -3
158.489, -3
177.828, -3
199.526, -3
223.872, -3
251.189, -3
281.838, -3
316.228, -3
354.813, -3
398.107, -3
446.684, -3
501.187, -3
562.341, -3
630.957, -3
707.946, -3
794.328, -3
891.251, -3
1000, -3



Frequency (GHz), Normalized response (dB)
1e-06, 0
1.12202e-06, -2.89298e-13
1.25893e-06, -3.0087e-13
1.41254e-06, -6.38385e-13
1.58489e-06, -1.24398e-13
1.77828e-06, -5.3038e-13
1.99526e-06, -7.3096e-13
2.23872e-06, -1.13501e-12
2.51189e-06, -1.28931e-12
2.81838e-06, -1.28738e-12
3.16228e-06, -2.26038e-12
3.54813e-06, -2.73098e-12
3.98107e-06, -3.3954e-12
4.46684e-06, -4.59116e-12
5.01187e-06, -5.58249e-12
5.62341e-06, -7.11867e-12
6.30957e-06, -8.91521e-12
7.07946e-06, -1.13723e-11
7.94328e-06, -1.45604e-11
8.91251e-06, -1.86906e-11
1e-05, -2.31236e-11
1.12202e-05, -3.00089e-11
1.25893e-05, -3.82838e-11
1.41254e-05, -4.83649e-11
1.58489e-05, -6.16687e-11
1.77828e-05, -7.6909e-11
1.99526e-05, -9.77761e-11
2.23872e-05, -1.2325e-10
2.51189e-05, -1.56658e-10
2.81838e-05, -1.96886e-10
3.16228e-05, -2.48282e-10
3.54813e-05, -3.12855e-10
3.98107e-05, -3.94164e-10
4.46684e-05, -4.97238e-10
5.01187e-05, -6.26228e-10
5.62341e-05, -7.8835e-10
6.30957e-05, -9.94465e-10
7.07946e-05, -1.25279e-09
7.94328e-05, -1.57759e-09
8.91251e-05, -1.98775e-09
0.0001, -2.50322e-09
0.000112202, -3.15175e-09
0.000125893, -3.96913e-09
0.000141254, -4.99765e-09
0.000158489, -6.29183e-09
0.000177828, -7.9211e-09
0.000199526, -9.97441e-09
0.000223872, -1.25567e-08
0.000251189, -1.58083e-08
0.000281838, -1.99022e-08
0.000316228, -2.50568e-08
0.000354813, -3.15456e-08
0.000398107, -3.97127e-08
0.000446684, -4.99956e-08
0.000501187, -6.29419e-08
0.000562341, -7.92389e-08
0.000630957, -9.97562e-08
0.000707946, -1.25586e-07
0.000794328, -1.58104e-07
0.000891251, -1.99043e-07
0.001, -2.5058e-07
0.00112202, -3.1546e-07
0.00125893, -3.97143e-07
0.00141254, -4.99972e-07
0.00158489, -6.29428e-07
0.00177828, -7.92404e-07
0.00199526, -9.97579e-07
0.00223872, -1.25588e-06
0.00251189, -1.58105e-06
0.00281838, -1.99043e-06
0.00316228, -2.5058e-06
0.00354813, -3.15462e-06
0.00398107, -3.97143e-06
0.00446684, -4.99974e-06
0.00501187, -6.2943e-06
0.00562341, -7.92404e-06
0.00630957, -9.97578e-06
0.00707946, -1.25588e-05
0.00794328, -1.58105e-05
0.00891251, -1.99043e-05
0.01, -2.5058e-05
0.0112202, -3.15461e-05
0.0125893, -3.97141e-05
0.0141254, -4.9997e-05
0.0158489, -6.29423e-05
0.0177828, -7.92394e-05
0.0199526, -9.97562e-05
0.0223872, -0.000125585
0.0251189, -0.000158101
0.0281838, -0.000199036
0.0316228, -0.000250569
0.0354813, -0.000315444
0.0398107, -0.000397115
0.0446684, -0.000499929
0.0501187, -0.000629358
0.0562341, -0.000792291
0.0630957, -0.000997398
0.0707946, -0.00125559
0.0794328, -0.0015806
0.0891251, -0.00198971
0.1, -0.00250466
0.112202, -0.00315281
0.125893, -0.00396856
0.141254, -0.00499519
0.158489, -0.00628709
0.177828, -0.00791263
0.199526, -0.00995769
0.223872, -0.0125301
0.251189, -0.0157651
0.281838, -0.0198324
0.316228, -0.0249442
0.354813, -0.031366
0.398107, -0.0394291
0.446684, -0.0495463
0.501187, -0.0622299
0.562341, -0.0781141
0.630957, -0.09798
0.707946, -0.122785
0.794328, -0.153692
0.891251, -0.192104
1, -0.239693
1.12202, -0.298422
1.25893, -0.370553
1.41254, -0.458631
1.58489, -0.565431
1.77828, -0.69385
1.99526, -0.84674
2.23872, -1.02666
2.51189, -1.23558
2.81838, -1.47451
3.16228, -1.74317
3.54813, -2.03966
3.98107, -2.36037
4.46684, -2.69997
5.01187, -3.05169
5.62341, -3.40781
6.30957, -3.7603
7.07946, -4.10147
7.94328, -4.42463
8.91251, -4.72457
10, -4.99776
11.2202, -5.24246
12.5893, -5.45848
14.1254, -5.64692
15.8489, -5.80974
17.7828, -5.94942
19.9526, -6.06858
22.3872, -6.16971
25.1189, -6.25497
28.1838, -6.32613
31.6228, -6.3845
35.4813, -6.43097
39.8107, -6.46615
44.6684, -6.49048
50.1187, -6.50431
56.2341, -6.50809
63.0957, -6.50237
70.7946, -6.48791
79.4328, -6.46567
89.1251, -6.43677
100, -6.40244
112.202, -6.36401
125.893, -6.32282
141.254, -6.28023
158.489, -6.23757
177.828, -6.19616
199.526, -6.15734
223.872, -6.12248
251.189, -6.093
281.838, -6.07039
316.228, -6.05625
354.813, -6.05231
398.107, -6.06044
446.684, -6.08272
501.187, -6.12135
562.341, -6.17878
630.957, -6.25761
707.946, -6.3606
794.328, -6.4907
891.251, -6.6509
1000, -6.84428

